time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.0015621, 0, 0, 0
2e-11, 0.0087591, 0, 2.44313e-08, 0
3e-11, 0.0237013, 0, 1.37638e-05, 0
4e-11, 0.0473291, 0, 3.97773e-05, 0
5e-11, 0.0795655, 0, 7.17418e-05, 0
6e-11, 0.119357, 0, 0.000105652, 0
7e-11, 0.164803, 0, 0.000137655, 0
8e-11, 0.213399, 0, 0.00016416, 0
9e-11, 0.26238, 0, 0.000182251, 0
1e-10, 0.30908, 0, 0.000190118, 0
1.1e-10, 0.3513, 0, 0.000187338, 0
1.2e-10, 0.387539, 0, 0.000174906, 0
1.3e-10, 0.417084, 0, 0.000154988, 0
1.4e-10, 0.439966, 0.001012, 0.000130459, 0
1.5e-10, 0.456796, 0.00689927, 0.000104341, 8.88634e-08
1.6e-10, 0.468548, 0.0199382, 7.92874e-05, 4.23873e-07
1.7e-10, 0.476337, 0.0412282, 5.72218e-05, 8.78853e-07
1.8e-10, 0.481236, 0.0709245, 3.92006e-05, 1.39075e-06
1.9e-10, 0.484161, 0.108272, 2.54744e-05, 1.90279e-06
2e-10, 0.485821, 0.151696, 1.56915e-05, 2.36007e-06
2.1e-10, 0.48672, 0.19899, 9.15388e-06, 2.71396e-06
2.2e-10, 0.48718, 0.247599, 5.05296e-06, 2.92833e-06
2.3e-10, 0.487403, 0.294952, 2.63684e-06, 2.98486e-06
2.4e-10, 0.487505, 0.338783, 1.2996e-06, 2.88559e-06
2.5e-10, 0.487545, 0.377388, 6.04375e-07, 2.65188e-06
2.6e-10, 0.487555, 0.409764, 2.64942e-07, 2.31969e-06
2.7e-10, 0.487594, 0.435623, 1.09375e-07, 1.93252e-06
2.8e-10, 0.487722, 0.455291, 4.24798e-08, 1.53356e-06
2.9e-10, 0.48797, 0.46953, 1.55067e-08, 1.159e-06
3e-10, 0.488351, 0.479339, 5.31499e-09, 8.33905e-07
3.1e-10, 0.488864, 0.485765, 1.70887e-09, 5.70902e-07
3.2e-10, 0.489495, 0.489763, 5.14895e-10, 3.71654e-07
3.3e-10, 0.490215, 0.492126, 1.45249e-10, 2.29897e-07
3.4e-10, 0.490987, 0.493451, 3.83246e-11, 1.35022e-07
3.5e-10, 0.491772, 0.494154, 9.4493e-12, 7.52303e-08
3.6e-10, 0.49253, 0.494508, 2.17505e-12, 3.97306e-08
3.7e-10, 0.493227, 0.494677, 4.66963e-13, 1.9871e-08
3.8e-10, 0.493838, 0.494753, 9.34183e-14, 9.40352e-09
3.9e-10, 0.494349, 0.494786, 1.73993e-14, 4.20672e-09
4e-10, 0.494757, 0.494801, 3.01321e-15, 1.77739e-09
4.1e-10, 0.495068, 0.494809, 4.83988e-16, 7.08626e-10
4.2e-10, 0.495294, 0.494816, 7.11237e-17, 2.66347e-10
4.3e-10, 0.495451, 0.494824, 1.04083e-17, 9.42937e-11
4.4e-10, 0.495554, 0.494832, 1.73472e-18, 3.14143e-11
4.5e-10, 0.49562, 0.494842, 0, 9.83991e-12
4.6e-10, 0.495659, 0.494852, 0, 2.89524e-12
4.7e-10, 0.495681, 0.494862, 0, 7.9951e-13
4.8e-10, 0.495693, 0.494872, 0, 2.07025e-13
4.9e-10, 0.4957, 0.494881, 0, 5.02232e-14
5e-10, 0.495703, 0.49489, 0, 1.14048e-14
5.1e-10, 0.495704, 0.494896, 0, 2.42216e-15
5.2e-10, 0.495705, 0.494902, 0, 4.80708e-16
5.3e-10, 0.495705, 0.494906, 0, 8.90672e-17
5.4e-10, 0.495705, 0.494909, 0, 1.53686e-17
5.5e-10, 0.495705, 0.494912, 0, 2.49366e-18
5.6e-10, 0.495705, 0.494913, 0, 3.79471e-19
5.7e-10, 0.495705, 0.494914, 0, 8.13152e-20
5.8e-10, 0.495705, 0.494915, 0, 0
5.9e-10, 0.495705, 0.494915, 0, 0
6e-10, 0.495705, 0.494915, 0, 0
6.1e-10, 0.495705, 0.494915, 0, 0
6.2e-10, 0.495705, 0.494915, 0, 0
6.3e-10, 0.495705, 0.494915, 0, 0
6.4e-10, 0.495705, 0.494915, 0, 0
6.5e-10, 0.495705, 0.494915, 0, 0
6.6e-10, 0.495705, 0.494915, 0, 0
