time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00157588, 0, 0, 0
2e-11, 0.00884927, 0, 0, 0
3e-11, 0.0239959, 0, 0, 0
4e-11, 0.0479436, 0, 0, 0
5e-11, 0.0805949, 0, 0, 0
6e-11, 0.120868, 0, 0, 0
7e-11, 0.166829, 0, 0, 0
8e-11, 0.215938, 0, 0, 0
9e-11, 0.265397, 0, 0, 0
1e-10, 0.312523, 0, 0, 0
1.1e-10, 0.3551, 0, 0, 0
1.2e-10, 0.391616, 0, 0, 0
1.3e-10, 0.421359, 0, 0, 0
1.4e-10, 0.444366, 0.0012064, 0, 0
1.5e-10, 0.461264, 0.00753702, 0, 0
1.6e-10, 0.473041, 0.0211944, 0, 0
1.7e-10, 0.48082, 0.0432314, 0, 0
1.8e-10, 0.485687, 0.0737465, 0, 0
1.9e-10, 0.488566, 0.111919, 0, 0
2e-10, 0.490176, 0.156107, 0, 0
2.1e-10, 0.491023, 0.204045, 0, 0
2.2e-10, 0.491436, 0.253134, 0, 0
2.3e-10, 0.491622, 0.300783, 0, 0
2.4e-10, 0.491698, 0.344732, 0, 0
2.5e-10, 0.491726, 0.3833, 0, 0
2.6e-10, 0.491741, 0.415526, 0, 0
2.7e-10, 0.491805, 0.441167, 0, 0
2.8e-10, 0.491969, 0.460593, 0, 0
2.9e-10, 0.49226, 0.474601, 0, 0
3e-10, 0.492685, 0.48421, 0, 0
3.1e-10, 0.493238, 0.490476, 0, 0
3.2e-10, 0.493901, 0.494358, 0, 0
3.3e-10, 0.494643, 0.496642, 0, 0
3.4e-10, 0.495426, 0.497915, 0, 0
3.5e-10, 0.496212, 0.498588, 0, 0
3.6e-10, 0.496962, 0.498925, 0, 0
3.7e-10, 0.497643, 0.499085, 0, 0
3.8e-10, 0.498235, 0.499157, 0, 0
3.9e-10, 0.498726, 0.49919, 0, 0
4e-10, 0.499115, 0.499205, 0, 0
4.1e-10, 0.499408, 0.499215, 0, 0
4.2e-10, 0.49962, 0.499224, 0, 0
4.3e-10, 0.499766, 0.499232, 0, 0
4.4e-10, 0.499862, 0.499242, 0, 0
4.5e-10, 0.499922, 0.499252, 0, 0
4.6e-10, 0.499957, 0.499262, 0, 0
4.7e-10, 0.499977, 0.499271, 0, 0
4.8e-10, 0.499988, 0.499279, 0, 0
4.9e-10, 0.499994, 0.499287, 0, 0
5e-10, 0.499997, 0.499293, 0, 0
5.1e-10, 0.499998, 0.499298, 0, 0
5.2e-10, 0.499998, 0.499302, 0, 0
5.3e-10, 0.499999, 0.499305, 0, 0
5.4e-10, 0.499999, 0.499307, 0, 0
5.5e-10, 0.499999, 0.499308, 0, 0
5.6e-10, 0.499999, 0.499309, 0, 0
5.7e-10, 0.499999, 0.49931, 0, 0
5.8e-10, 0.499999, 0.49931, 0, 0
5.9e-10, 0.499999, 0.49931, 0, 0
6e-10, 0.499999, 0.49931, 0, 0
6.1e-10, 0.499999, 0.49931, 0, 0
6.2e-10, 0.499999, 0.49931, 0, 0
6.3e-10, 0.499999, 0.49931, 0, 0
6.4e-10, 0.499999, 0.49931, 0, 0
6.5e-10, 0.499999, 0.49931, 0, 0
6.6e-10, 0.499999, 0.49931, 0, 0
6.7e-10, 0.499999, 0.49931, 0, 0
6.8e-10, 0.499999, 0.49931, 0, 0
6.9e-10, 0.499999, 0.49931, 0, 0
7e-10, 0.499999, 0.49931, 0, 0
7.1e-10, 0.499999, 0.49931, 0, 0
7.2e-10, 0.499999, 0.49931, 0, 0
7.3e-10, 0.499999, 0.49931, 0, 0
7.4e-10, 0.499999, 0.49931, 0, 0
7.5e-10, 0.499999, 0.49931, 0, 0
7.6e-10, 0.499999, 0.49931, 0, 0
7.7e-10, 0.499999, 0.49931, 0, 0
7.8e-10, 0.499999, 0.49931, 0, 0
7.9e-10, 0.499999, 0.49931, 0, 0
8e-10, 0.499999, 0.49931, 0, 0
8.1e-10, 0.499999, 0.49931, 0, 0
8.2e-10, 0.499999, 0.49931, 0, 0
8.3e-10, 0.499999, 0.49931, 0, 0
8.4e-10, 0.499999, 0.49931, 0, 0
8.5e-10, 0.499999, 0.49931, 0, 0
8.6e-10, 0.499999, 0.49931, 0, 0
8.7e-10, 0.499999, 0.49931, 0, 0
8.8e-10, 0.499999, 0.49931, 0, 0
8.9e-10, 0.499999, 0.49931, 0, 0
9e-10, 0.499999, 0.49931, 0, 0
9.1e-10, 0.499999, 0.49931, 0, 0
9.2e-10, 0.499999, 0.49931, 0, 0
9.3e-10, 0.499999, 0.49931, 0, 0
9.4e-10, 0.499999, 0.49931, 0, 0
9.5e-10, 0.499999, 0.49931, 0, 0
9.6e-10, 0.499999, 0.49931, 0, 0
9.7e-10, 0.499999, 0.49931, 0, 0
9.8e-10, 0.499999, 0.49931, 0, 0
