time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00155864, 0, 0, 0
2e-11, 0.00871432, 0, 0, 0
3e-11, 0.0235809, 0, 0, 0
4e-11, 0.0471066, 0, 0, 0
5e-11, 0.0792067, 0, 0, 0
6e-11, 0.118842, 0, 0, 0
7e-11, 0.164125, 0, 0, 0
8e-11, 0.212569, 0, 0, 0
9e-11, 0.26142, 0, 0, 0
1e-10, 0.308034, 0, 0, 0
1.1e-10, 0.350214, 0, 0, 0
1.2e-10, 0.386456, 0, 0, 0
1.3e-10, 0.416039, 0, 0, 0
1.4e-10, 0.438983, 0.00104695, 0, 0
1.5e-10, 0.455886, 0.00700236, 0, 0
1.6e-10, 0.467711, 0.0201177, 0, 0
1.7e-10, 0.47556, 0.0414787, 0, 0
1.8e-10, 0.480494, 0.0712289, 0, 0
1.9e-10, 0.483425, 0.108604, 0, 0
2e-10, 0.485065, 0.15202, 0, 0
2.1e-10, 0.485925, 0.199271, 0, 0
2.2e-10, 0.486339, 0.247802, 0, 0
2.3e-10, 0.486515, 0.295049, 0, 0
2.4e-10, 0.486566, 0.338754, 0, 0
2.5e-10, 0.486563, 0.377224, 0, 0
2.6e-10, 0.486546, 0.409466, 0, 0
2.7e-10, 0.486576, 0.435203, 0, 0
2.8e-10, 0.48671, 0.454765, 0, 0
2.9e-10, 0.486975, 0.46892, 0, 0
3e-10, 0.487383, 0.478665, 0, 0
3.1e-10, 0.487928, 0.485043, 0, 0
3.2e-10, 0.488592, 0.48901, 0, 0
3.3e-10, 0.489342, 0.491353, 0, 0
3.4e-10, 0.49014, 0.492665, 0, 0
3.5e-10, 0.490946, 0.493362, 0, 0
3.6e-10, 0.491718, 0.493712, 0, 0
3.7e-10, 0.492423, 0.493879, 0, 0
3.8e-10, 0.493038, 0.493954, 0, 0
3.9e-10, 0.493549, 0.493986, 0, 0
4e-10, 0.493955, 0.494, 0, 0
4.1e-10, 0.494263, 0.494008, 0, 0
4.2e-10, 0.494486, 0.494014, 0, 0
4.3e-10, 0.49464, 0.494021, 0, 0
4.4e-10, 0.494741, 0.494029, 0, 0
4.5e-10, 0.494805, 0.494038, 0, 0
4.6e-10, 0.494843, 0.494048, 0, 0
4.7e-10, 0.494864, 0.494059, 0, 0
4.8e-10, 0.494876, 0.494069, 0, 0
4.9e-10, 0.494882, 0.494078, 0, 0
5e-10, 0.494885, 0.494087, 0, 0
5.1e-10, 0.494886, 0.494095, 0, 0
5.2e-10, 0.494887, 0.494101, 0, 0
5.3e-10, 0.494887, 0.494106, 0, 0
5.4e-10, 0.494887, 0.494109, 0, 0
5.5e-10, 0.494887, 0.494112, 0, 0
5.6e-10, 0.494887, 0.494114, 0, 0
5.7e-10, 0.494887, 0.494115, 0, 0
5.8e-10, 0.494887, 0.494116, 0, 0
5.9e-10, 0.494887, 0.494116, 0, 0
6e-10, 0.494887, 0.494116, 0, 0
6.1e-10, 0.494887, 0.494117, 0, 0
6.2e-10, 0.494887, 0.494117, 0, 0
6.3e-10, 0.494887, 0.494117, 0, 0
6.4e-10, 0.494887, 0.494117, 0, 0
6.5e-10, 0.494887, 0.494117, 0, 0
6.6e-10, 0.494887, 0.494117, 0, 0
