time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00155716, 0, 0, 0
2e-11, 0.00870359, 0, 7.54635e-06, 0
3e-11, 0.0235426, 0, 0.000114196, 0
4e-11, 0.0470248, 0, 0.000361478, 0
5e-11, 0.0790756, 0, 0.000766432, 0
6e-11, 0.118634, 0, 0.00141148, 0
7e-11, 0.163821, 0, 0.00229983, 0
8e-11, 0.212162, 0, 0.00329242, 0
9e-11, 0.26091, 0, 0.00428485, 0
1e-10, 0.307433, 0, 0.00517019, 0
1.1e-10, 0.349539, 0, 0.00585194, 0
1.2e-10, 0.385717, 0, 0.00635697, 0
1.3e-10, 0.415248, 0, 0.00670089, 1.42542e-07
1.4e-10, 0.43814, 0.0010353, 0.00692811, 1.67332e-06
1.5e-10, 0.454993, 0.00696173, 0.00710083, 4.87108e-06
1.6e-10, 0.466774, 0.0200341, 0.00720585, 1.0083e-05
1.7e-10, 0.474589, 0.0413403, 0.0072112, 1.70066e-05
1.8e-10, 0.479506, 0.0710271, 0.00710936, 2.63178e-05
1.9e-10, 0.482443, 0.108334, 0.00689416, 3.884e-05
2e-10, 0.484113, 0.151683, 0.00655971, 5.26421e-05
2.1e-10, 0.485024, 0.198871, 0.00610453, 6.52653e-05
2.2e-10, 0.48551, 0.247348, 0.00555575, 7.52406e-05
2.3e-10, 0.485764, 0.294551, 0.0049553, 8.1921e-05
2.4e-10, 0.4859, 0.338225, 0.00432743, 8.54784e-05
2.5e-10, 0.48597, 0.376676, 0.00378459, 8.67417e-05
2.6e-10, 0.486015, 0.408908, 0.00337479, 8.66268e-05
2.7e-10, 0.4861, 0.434643, 0.00307252, 8.63568e-05
2.8e-10, 0.486277, 0.454208, 0.00286383, 8.65031e-05
2.9e-10, 0.486573, 0.468367, 0.00272582, 8.65408e-05
3e-10, 0.487001, 0.478117, 0.00262723, 8.62313e-05
3.1e-10, 0.487559, 0.484501, 0.00253433, 8.52285e-05
3.2e-10, 0.488229, 0.488472, 0.00241781, 8.2927e-05
3.3e-10, 0.488983, 0.490818, 0.00225843, 7.91506e-05
3.4e-10, 0.489784, 0.492132, 0.00204985, 7.40923e-05
3.5e-10, 0.49059, 0.49283, 0.0017982, 6.80761e-05
3.6e-10, 0.491361, 0.493181, 0.00151898, 6.09798e-05
3.7e-10, 0.492065, 0.493348, 0.00123241, 5.39642e-05
3.8e-10, 0.492677, 0.493423, 0.000958651, 4.83812e-05
3.9e-10, 0.493184, 0.493456, 0.000713946, 4.40225e-05
4e-10, 0.493586, 0.49347, 0.000508486, 4.07946e-05
4.1e-10, 0.493889, 0.493478, 0.000345993, 3.85541e-05
4.2e-10, 0.494108, 0.493485, 0.000224713, 3.70135e-05
4.3e-10, 0.494258, 0.493492, 0.000139178, 3.57843e-05
4.4e-10, 0.494356, 0.493501, 8.21311e-05, 3.44624e-05
4.5e-10, 0.494417, 0.49351, 4.61372e-05, 3.27165e-05
4.6e-10, 0.494454, 0.49352, 2.46497e-05, 3.03537e-05
4.7e-10, 0.494474, 0.493531, 1.2514e-05, 2.73456e-05
4.8e-10, 0.494485, 0.493541, 6.03133e-06, 2.38135e-05
4.9e-10, 0.494491, 0.493551, 2.7572e-06, 1.99831e-05
5e-10, 0.494493, 0.493559, 1.19445e-06, 1.61238e-05
5.1e-10, 0.494494, 0.493567, 4.89913e-07, 1.24897e-05
5.2e-10, 0.494495, 0.493573, 1.90079e-07, 9.27698e-06
5.3e-10, 0.494495, 0.493578, 6.9699e-08, 6.60078e-06
5.4e-10, 0.494495, 0.493581, 2.4133e-08, 4.49508e-06
5.5e-10, 0.494495, 0.493584, 7.88335e-09, 2.92733e-06
5.6e-10, 0.494495, 0.493585, 2.42744e-09, 1.82156e-06
5.7e-10, 0.494495, 0.493586, 7.03966e-10, 1.08219e-06
5.8e-10, 0.494495, 0.493587, 1.92112e-10, 6.13324e-07
5.9e-10, 0.494495, 0.493588, 4.92941e-11, 3.31319e-07
6e-10, 0.494495, 0.493588, 1.18826e-11, 1.70454e-07
6.1e-10, 0.494495, 0.493588, 2.68878e-12, 8.34465e-08
6.2e-10, 0.494495, 0.493588, 5.70648e-13, 3.88402e-08
6.3e-10, 0.494495, 0.493588, 1.13503e-13, 1.71735e-08
6.4e-10, 0.494495, 0.493588, 2.11398e-14, 7.20739e-09
6.5e-10, 0.494495, 0.493588, 3.68238e-15, 2.86862e-09
6.6e-10, 0.494495, 0.493588, 5.96311e-16, 1.08189e-09
