time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.0015621, 0, 0, 0
2e-11, 0.0087591, 0, 0, 0
3e-11, 0.0237013, 0, 0, 0
4e-11, 0.0473291, 0, 1.15135e-05, 0
5e-11, 0.0795655, 0, 3.67607e-05, 0
6e-11, 0.119357, 0, 6.8497e-05, 0
7e-11, 0.164803, 0, 0.000169566, 0
8e-11, 0.213399, 0, 0.000426185, 0
9e-11, 0.26238, 0, 0.000768228, 0
1e-10, 0.30908, 0, 0.00114634, 0
1.1e-10, 0.3513, 0, 0.00152948, 0
1.2e-10, 0.387538, 0, 0.001884, 0
1.3e-10, 0.417084, 0, 0.00216629, 0
1.4e-10, 0.439966, 0.001012, 0.00234581, 0
1.5e-10, 0.456796, 0.00689923, 0.00240683, 0
1.6e-10, 0.468548, 0.019938, 0.00235027, 7.29273e-08
1.7e-10, 0.476337, 0.0412278, 0.00221472, 9.51402e-07
1.8e-10, 0.481236, 0.070924, 0.0020303, 2.67037e-06
1.9e-10, 0.484161, 0.108271, 0.00181577, 5.06676e-06
2e-10, 0.485821, 0.151695, 0.00166504, 9.85045e-06
2.1e-10, 0.48672, 0.198988, 0.00159024, 1.61462e-05
2.2e-10, 0.48718, 0.247597, 0.00157036, 2.29132e-05
2.3e-10, 0.487403, 0.29495, 0.00162613, 2.93376e-05
2.4e-10, 0.487505, 0.338782, 0.00179652, 3.47521e-05
2.5e-10, 0.487545, 0.377387, 0.00205627, 3.8696e-05
2.6e-10, 0.487555, 0.409763, 0.00233537, 4.07734e-05
2.7e-10, 0.487594, 0.435622, 0.00258527, 4.08428e-05
2.8e-10, 0.487722, 0.45529, 0.00276877, 3.90061e-05
2.9e-10, 0.48797, 0.469529, 0.00286028, 3.57645e-05
3e-10, 0.488351, 0.479339, 0.00284715, 3.17104e-05
3.1e-10, 0.488864, 0.485764, 0.0027298, 2.72149e-05
3.2e-10, 0.489495, 0.489763, 0.00252044, 2.32347e-05
3.3e-10, 0.490214, 0.492126, 0.00224038, 2.08935e-05
3.4e-10, 0.490987, 0.49345, 0.00191634, 1.97627e-05
3.5e-10, 0.491772, 0.494154, 0.00157636, 1.98176e-05
3.6e-10, 0.49253, 0.494508, 0.00124605, 2.1674e-05
3.7e-10, 0.493227, 0.494677, 0.000945619, 2.5416e-05
3.8e-10, 0.493838, 0.494753, 0.000688281, 3.00333e-05
3.9e-10, 0.494349, 0.494786, 0.000479975, 3.46448e-05
4e-10, 0.494757, 0.494801, 0.000320325, 3.85854e-05
4.1e-10, 0.495068, 0.494809, 0.000204358, 4.13489e-05
4.2e-10, 0.495294, 0.494816, 0.000124486, 4.261e-05
4.3e-10, 0.495451, 0.494824, 7.23252e-05, 4.22392e-05
4.4e-10, 0.495554, 0.494832, 4.0032e-05, 4.02979e-05
4.5e-10, 0.49562, 0.494842, 2.1086e-05, 3.70128e-05
4.6e-10, 0.495659, 0.494852, 1.0558e-05, 3.27308e-05
4.7e-10, 0.495681, 0.494862, 5.02005e-06, 2.78627e-05
4.8e-10, 0.495693, 0.494872, 2.26426e-06, 2.28236e-05
4.9e-10, 0.495699, 0.494881, 9.67826e-07, 1.79802e-05
5e-10, 0.495703, 0.494889, 3.91645e-07, 1.36127e-05
5.1e-10, 0.495704, 0.494896, 1.49897e-07, 9.89642e-06
5.2e-10, 0.495705, 0.494902, 5.42111e-08, 6.90256e-06
5.3e-10, 0.495705, 0.494906, 1.85087e-08, 4.61453e-06
5.4e-10, 0.495705, 0.494909, 5.96017e-09, 2.95394e-06
5.5e-10, 0.495705, 0.494912, 1.80863e-09, 1.80883e-06
5.6e-10, 0.495705, 0.494913, 5.16732e-10, 1.05847e-06
5.7e-10, 0.495705, 0.494914, 1.38877e-10, 5.91294e-07
5.8e-10, 0.495705, 0.494915, 3.50806e-11, 3.15021e-07
5.9e-10, 0.495705, 0.494915, 8.32169e-12, 1.59904e-07
6e-10, 0.495705, 0.494915, 1.85225e-12, 7.7257e-08
6.1e-10, 0.495705, 0.494915, 3.86515e-13, 3.54947e-08
6.2e-10, 0.495705, 0.494915, 7.55541e-14, 1.54929e-08
6.3e-10, 0.495705, 0.494915, 1.38257e-14, 6.41863e-09
6.4e-10, 0.495705, 0.494915, 2.36616e-15, 2.52177e-09
6.5e-10, 0.495705, 0.494915, 3.76435e-16, 9.38728e-10
6.6e-10, 0.495705, 0.494915, 5.55112e-17, 3.30802e-10
