time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00156066, 0, 0, 0
2e-11, 0.00872779, 0, 7.56636e-06, 0
3e-11, 0.0236133, 0, 0.000114475, 0
4e-11, 0.0471606, 0, 0.000362599, 0
5e-11, 0.0793022, 0, 0.000768891, 0
6e-11, 0.118986, 0, 0.00141579, 0
7e-11, 0.164301, 0, 0.00230687, 0
8e-11, 0.212762, 0, 0.00330263, 0
9e-11, 0.26162, 0, 0.00429827, 0
1e-10, 0.308238, 0, 0.0051865, 0
1.1e-10, 0.350424, 0, 0.0058705, 0
1.2e-10, 0.386675, 0, 0.00637713, 0
1.3e-10, 0.416263, 0, 0.00672197, 0
1.4e-10, 0.439205, 0.000990427, 0.00694955, 2.10091e-07
1.5e-10, 0.456097, 0.00682935, 0.00712269, 3.91198e-06
1.6e-10, 0.467901, 0.0198045, 0.00722814, 1.24285e-05
1.7e-10, 0.475731, 0.041022, 0.00723375, 2.47913e-05
1.8e-10, 0.480659, 0.0706437, 0.00713194, 4.08663e-05
1.9e-10, 0.483602, 0.107922, 0.00691649, 6.1335e-05
2e-10, 0.485275, 0.151287, 0.00658145, 8.33112e-05
2.1e-10, 0.486186, 0.198538, 0.00612527, 0.000103808
2.2e-10, 0.48667, 0.247124, 0.00557511, 0.000119975
2.3e-10, 0.486927, 0.294473, 0.00497295, 0.000130268
2.4e-10, 0.487075, 0.338318, 0.00434311, 0.000135382
2.5e-10, 0.48717, 0.37695, 0.00379798, 0.000136581
2.6e-10, 0.487232, 0.40936, 0.00338614, 0.000135162
2.7e-10, 0.487318, 0.435257, 0.00308213, 0.000132714
2.8e-10, 0.487484, 0.454961, 0.00287201, 0.000130245
2.9e-10, 0.48776, 0.469233, 0.0027329, 0.000127415
3e-10, 0.48816, 0.479068, 0.00263351, 0.00012418
3.1e-10, 0.488684, 0.485513, 0.00254004, 0.000120359
3.2e-10, 0.48932, 0.489526, 0.00242308, 0.000115578
3.3e-10, 0.490042, 0.491898, 0.00226333, 0.000108971
3.4e-10, 0.490817, 0.493229, 0.00205436, 0.000100707
3.5e-10, 0.491606, 0.493936, 0.00180227, 9.1611e-05
3.6e-10, 0.492371, 0.494292, 0.00152256, 8.15091e-05
3.7e-10, 0.493077, 0.494461, 0.00123545, 7.15405e-05
3.8e-10, 0.493699, 0.494538, 0.000961139, 6.34526e-05
3.9e-10, 0.494222, 0.49457, 0.0007159, 5.70034e-05
4e-10, 0.494641, 0.494585, 0.000509955, 5.2102e-05
4.1e-10, 0.494963, 0.494592, 0.000347051, 4.85813e-05
4.2e-10, 0.495197, 0.494598, 0.00022544, 4.60857e-05
4.3e-10, 0.49536, 0.494605, 0.000139655, 4.41257e-05
4.4e-10, 0.495469, 0.494612, 8.24292e-05, 4.21857e-05
4.5e-10, 0.495537, 0.494621, 4.63146e-05, 3.98373e-05
4.6e-10, 0.495579, 0.494631, 2.47501e-05, 3.6821e-05
4.7e-10, 0.495602, 0.49464, 1.2568e-05, 3.30812e-05
4.8e-10, 0.495615, 0.49465, 6.05892e-06, 2.87482e-05
4.9e-10, 0.495622, 0.494659, 2.77055e-06, 2.40833e-05
5e-10, 0.495625, 0.494668, 1.20057e-06, 1.94035e-05
5.1e-10, 0.495626, 0.494675, 4.92571e-07, 1.50099e-05
5.2e-10, 0.495627, 0.494681, 1.91169e-07, 1.11345e-05
5.3e-10, 0.495627, 0.494685, 7.01215e-08, 7.91248e-06
5.4e-10, 0.495627, 0.494689, 2.42875e-08, 5.38171e-06
5.5e-10, 0.495627, 0.494691, 7.93662e-09, 3.50053e-06
5.6e-10, 0.495627, 0.494693, 2.44474e-09, 2.17573e-06
5.7e-10, 0.495627, 0.494694, 7.09252e-10, 1.29117e-06
5.8e-10, 0.495627, 0.494695, 1.93631e-10, 7.31003e-07
5.9e-10, 0.495627, 0.494696, 4.97041e-11, 3.94508e-07
6e-10, 0.495627, 0.494696, 1.19865e-11, 2.02783e-07
6.1e-10, 0.495627, 0.494696, 2.71345e-12, 9.91941e-08
6.2e-10, 0.495627, 0.494696, 5.76147e-13, 4.6137e-08
6.3e-10, 0.495627, 0.494696, 1.1465e-13, 2.03871e-08
6.4e-10, 0.495627, 0.494696, 2.13579e-14, 8.5514e-09
6.5e-10, 0.495627, 0.494696, 3.72792e-15, 3.40195e-09
6.6e-10, 0.495627, 0.494696, 6.07153e-16, 1.28252e-09
