time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00155907, 0, 0, 0
2e-11, 0.00871744, 0, 0, 0
3e-11, 0.0235873, 0, 0, 0
4e-11, 0.0471201, 0, 9.27603e-07, 0
5e-11, 0.0792477, 0, 7.0075e-06, 0
6e-11, 0.118926, 0, 1.58775e-05, 0
7e-11, 0.164257, 0, 2.61089e-05, 0
8e-11, 0.212743, 0, 3.64983e-05, 0
9e-11, 0.261627, 0, 4.58814e-05, 0
1e-10, 0.308256, 0, 5.32156e-05, 0
1.1e-10, 0.350424, 0, 5.77153e-05, 0
1.2e-10, 0.386619, 0, 5.89712e-05, 0
1.3e-10, 0.416131, 3.03892e-07, 5.70112e-05, 0
1.4e-10, 0.438987, 0.00161043, 5.2279e-05, 0
1.5e-10, 0.455795, 0.008683, 4.55331e-05, 0
1.6e-10, 0.467531, 0.0232462, 3.76904e-05, 0
1.7e-10, 0.475311, 0.0462346, 2.9655e-05, 0
1.8e-10, 0.48021, 0.0776275, 2.21741e-05, 0
1.9e-10, 0.483146, 0.116487, 1.57504e-05, 0
2e-10, 0.484829, 0.161069, 1.06214e-05, 0
2.1e-10, 0.485753, 0.209039, 6.79541e-06, 0
2.2e-10, 0.486245, 0.257774, 4.12144e-06, 0
2.3e-10, 0.486541, 0.304707, 2.36764e-06, 0
2.4e-10, 0.486798, 0.347648, 1.28716e-06, 0
2.5e-10, 0.487101, 0.38502, 6.61607e-07, 0
2.6e-10, 0.487489, 0.415977, 3.21225e-07, 0
2.7e-10, 0.487979, 0.440388, 1.4718e-07, 0
2.8e-10, 0.48857, 0.458706, 6.35765e-08, 0
2.9e-10, 0.489248, 0.471784, 2.58664e-08, 0
3e-10, 0.489985, 0.480662, 9.90256e-09, 0
3.1e-10, 0.490747, 0.486388, 3.56377e-09, 0
3.2e-10, 0.491499, 0.489894, 1.20449e-09, 0
3.3e-10, 0.492208, 0.491932, 3.81954e-10, 0
3.4e-10, 0.492847, 0.493054, 1.13532e-10, 0
3.5e-10, 0.493399, 0.493639, 3.16022e-11, 0
3.6e-10, 0.493856, 0.493929, 8.22989e-12, 0
3.7e-10, 0.494219, 0.494067, 2.00329e-12, 0
3.8e-10, 0.494496, 0.494131, 4.55371e-13, 0
3.9e-10, 0.494699, 0.494161, 9.65738e-14, 0
4e-10, 0.494841, 0.494178, 1.90908e-14, 0
4.1e-10, 0.494937, 0.494191, 3.51477e-15, 0
4.2e-10, 0.494999, 0.494201, 6.02166e-16, 0
4.3e-10, 0.495038, 0.494212, 9.56266e-17, 0
4.4e-10, 0.495062, 0.494222, 1.40946e-17, 0
4.5e-10, 0.495075, 0.494231, 2.1684e-18, 0
4.6e-10, 0.495083, 0.494239, 2.1684e-19, 0
4.7e-10, 0.495087, 0.494246, 0, 0
4.8e-10, 0.495089, 0.494252, 0, 0
4.9e-10, 0.495089, 0.494257, 0, 0
5e-10, 0.49509, 0.49426, 0, 0
5.1e-10, 0.49509, 0.494263, 0, 0
5.2e-10, 0.49509, 0.494264, 0, 0
5.3e-10, 0.49509, 0.494266, 0, 0
5.4e-10, 0.49509, 0.494266, 0, 0
5.5e-10, 0.49509, 0.494267, 0, 0
5.6e-10, 0.49509, 0.494267, 0, 0
5.7e-10, 0.49509, 0.494267, 0, 0
5.8e-10, 0.49509, 0.494267, 0, 0
5.9e-10, 0.49509, 0.494267, 0, 0
6e-10, 0.49509, 0.494267, 0, 0
6.1e-10, 0.49509, 0.494267, 0, 0
6.2e-10, 0.49509, 0.494267, 0, 0
6.3e-10, 0.49509, 0.494267, 0, 0
6.4e-10, 0.49509, 0.494267, 0, 0
6.5e-10, 0.49509, 0.494267, 0, 0
