time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00155907, 0, 0, 0
2e-11, 0.00871744, 0, 0, 0
3e-11, 0.0235873, 0, 0, 0
4e-11, 0.0471201, 0, 0, 0
5e-11, 0.0792477, 0, 0, 0
6e-11, 0.118926, 0, 0, 0
7e-11, 0.164257, 0, 0, 0
8e-11, 0.212743, 0, 0, 0
9e-11, 0.261627, 0, 0, 0
1e-10, 0.308256, 0, 0, 0
1.1e-10, 0.350424, 0, 0, 0
1.2e-10, 0.386619, 0, 0, 0
1.3e-10, 0.416131, 3.03892e-07, 0, 0
1.4e-10, 0.438987, 0.00161043, 0, 0
1.5e-10, 0.455795, 0.008683, 0, 0
1.6e-10, 0.467531, 0.0232462, 0, 0
1.7e-10, 0.475311, 0.0462346, 0, 0
1.8e-10, 0.48021, 0.0776275, 0, 0
1.9e-10, 0.483146, 0.116487, 0, 0
2e-10, 0.484829, 0.161069, 0, 0
2.1e-10, 0.485753, 0.209039, 0, 0
2.2e-10, 0.486245, 0.257774, 0, 0
2.3e-10, 0.486541, 0.304707, 0, 0
2.4e-10, 0.486798, 0.347648, 0, 0
2.5e-10, 0.487101, 0.38502, 0, 0
2.6e-10, 0.487489, 0.415977, 0, 0
2.7e-10, 0.487979, 0.440388, 0, 0
2.8e-10, 0.48857, 0.458706, 0, 0
2.9e-10, 0.489248, 0.471784, 0, 0
3e-10, 0.489985, 0.480662, 0, 0
3.1e-10, 0.490747, 0.486388, 0, 0
3.2e-10, 0.491499, 0.489894, 0, 0
3.3e-10, 0.492208, 0.491932, 0, 0
3.4e-10, 0.492847, 0.493054, 0, 0
3.5e-10, 0.493399, 0.493639, 0, 0
3.6e-10, 0.493856, 0.493929, 0, 0
3.7e-10, 0.494219, 0.494067, 0, 0
3.8e-10, 0.494496, 0.494131, 0, 0
3.9e-10, 0.494699, 0.494161, 0, 0
4e-10, 0.494841, 0.494178, 0, 0
4.1e-10, 0.494937, 0.494191, 0, 0
4.2e-10, 0.494999, 0.494201, 0, 0
4.3e-10, 0.495038, 0.494212, 0, 0
4.4e-10, 0.495062, 0.494222, 0, 0
4.5e-10, 0.495075, 0.494231, 0, 0
4.6e-10, 0.495083, 0.494239, 0, 0
4.7e-10, 0.495087, 0.494246, 0, 0
4.8e-10, 0.495089, 0.494252, 0, 0
4.9e-10, 0.495089, 0.494257, 0, 0
5e-10, 0.49509, 0.49426, 0, 0
5.1e-10, 0.49509, 0.494263, 0, 0
5.2e-10, 0.49509, 0.494264, 0, 0
5.3e-10, 0.49509, 0.494266, 0, 0
5.4e-10, 0.49509, 0.494266, 0, 0
5.5e-10, 0.49509, 0.494267, 0, 0
5.6e-10, 0.49509, 0.494267, 0, 0
5.7e-10, 0.49509, 0.494267, 0, 0
5.8e-10, 0.49509, 0.494267, 0, 0
5.9e-10, 0.49509, 0.494267, 0, 0
6e-10, 0.49509, 0.494267, 0, 0
6.1e-10, 0.49509, 0.494267, 0, 0
6.2e-10, 0.49509, 0.494267, 0, 0
6.3e-10, 0.49509, 0.494267, 0, 0
6.4e-10, 0.49509, 0.494267, 0, 0
6.5e-10, 0.49509, 0.494267, 0, 0
