time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00155864, 0, 0, 0
2e-11, 0.00871432, 0, 0, 0
3e-11, 0.0235809, 0, 0, 0
4e-11, 0.0471066, 0, 1.14866e-05, 0
5e-11, 0.0792067, 0, 3.66749e-05, 0
6e-11, 0.118842, 0, 6.83371e-05, 0
7e-11, 0.164125, 0, 0.000169226, 0
8e-11, 0.212569, 0, 0.000425432, 0
9e-11, 0.26142, 0, 0.000766938, 0
1e-10, 0.308033, 0, 0.00114447, 0
1.1e-10, 0.350214, 0, 0.00152703, 6.45584e-08
1.2e-10, 0.386456, 0, 0.00188101, 8.84169e-07
1.3e-10, 0.416039, 0, 0.00216289, 2.31085e-06
1.4e-10, 0.438983, 0.00104695, 0.00234215, 4.03473e-06
1.5e-10, 0.455886, 0.00700231, 0.00240309, 5.84841e-06
1.6e-10, 0.467711, 0.0201176, 0.00234663, 7.72364e-06
1.7e-10, 0.47556, 0.0414783, 0.0022113, 9.49043e-06
1.8e-10, 0.480493, 0.0712282, 0.00202717, 1.09034e-05
1.9e-10, 0.483425, 0.108603, 0.00181296, 1.28309e-05
2e-10, 0.485065, 0.152019, 0.00166247, 1.63226e-05
2.1e-10, 0.485925, 0.199269, 0.00158778, 2.0324e-05
2.2e-10, 0.486339, 0.2478, 0.00156796, 2.43205e-05
2.3e-10, 0.486515, 0.295047, 0.00162359, 2.79104e-05
2.4e-10, 0.486566, 0.338752, 0.00179345, 3.07388e-05
2.5e-10, 0.486563, 0.377222, 0.00205232, 3.25119e-05
2.6e-10, 0.486546, 0.409465, 0.00233039, 3.30314e-05
2.7e-10, 0.486576, 0.435202, 0.00257927, 3.22287e-05
2.8e-10, 0.48671, 0.454764, 0.00276187, 3.02037e-05
2.9e-10, 0.486975, 0.468919, 0.00285272, 2.74683e-05
3e-10, 0.487383, 0.478664, 0.00283924, 2.42319e-05
3.1e-10, 0.487928, 0.485043, 0.00272187, 2.08121e-05
3.2e-10, 0.488591, 0.48901, 0.00251284, 1.85307e-05
3.3e-10, 0.489342, 0.491353, 0.0022334, 1.74598e-05
3.4e-10, 0.49014, 0.492665, 0.00191018, 1.7304e-05
3.5e-10, 0.490946, 0.493362, 0.00157116, 1.8369e-05
3.6e-10, 0.491718, 0.493712, 0.00124184, 2.11726e-05
3.7e-10, 0.492423, 0.493879, 0.000942366, 2.53107e-05
3.8e-10, 0.493037, 0.493954, 0.000685873, 2.98026e-05
3.9e-10, 0.493549, 0.493986, 0.000478271, 3.39569e-05
4e-10, 0.493955, 0.494, 0.000319174, 3.72286e-05
4.1e-10, 0.494263, 0.494008, 0.000203615, 3.92261e-05
4.2e-10, 0.494486, 0.494014, 0.00012403, 3.97324e-05
4.3e-10, 0.49464, 0.494021, 7.20582e-05, 3.87126e-05
4.4e-10, 0.494741, 0.494029, 3.98833e-05, 3.63013e-05
4.5e-10, 0.494805, 0.494038, 2.10073e-05, 3.27693e-05
4.6e-10, 0.494843, 0.494048, 1.05184e-05, 2.84763e-05
4.7e-10, 0.494864, 0.494059, 5.00115e-06, 2.38154e-05
4.8e-10, 0.494876, 0.494069, 2.25571e-06, 1.91599e-05
4.9e-10, 0.494882, 0.494078, 9.64163e-07, 1.48187e-05
5e-10, 0.494885, 0.494087, 3.9016e-07, 1.10099e-05
5.1e-10, 0.494886, 0.494095, 1.49327e-07, 7.85122e-06
5.2e-10, 0.494887, 0.494101, 5.40048e-08, 5.36874e-06
5.3e-10, 0.494887, 0.494106, 1.84381e-08, 3.51696e-06
5.4e-10, 0.494887, 0.494109, 5.93743e-09, 2.2049e-06
5.5e-10, 0.494887, 0.494112, 1.80172e-09, 1.32159e-06
5.6e-10, 0.494887, 0.494114, 5.14758e-10, 7.56579e-07
5.7e-10, 0.494887, 0.494115, 1.38346e-10, 4.13257e-07
5.8e-10, 0.494887, 0.494116, 3.49464e-11, 2.15161e-07
5.9e-10, 0.494887, 0.494116, 8.28984e-12, 1.06673e-07
6e-10, 0.494887, 0.494116, 1.84516e-12, 5.03127e-08
6.1e-10, 0.494887, 0.494117, 3.85034e-13, 2.25538e-08
6.2e-10, 0.494887, 0.494117, 7.52644e-14, 9.60015e-09
6.3e-10, 0.494887, 0.494117, 1.37737e-14, 3.87665e-09
6.4e-10, 0.494887, 0.494117, 2.35749e-15, 1.48377e-09
6.5e-10, 0.494887, 0.494117, 3.76435e-16, 5.37813e-10
6.6e-10, 0.494887, 0.494117, 5.55112e-17, 1.84448e-10
