time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00156066, 0, 0, 0
2e-11, 0.00872779, 0, 0, 0
3e-11, 0.0236133, 0, 0, 0
4e-11, 0.0471606, 0, 9.27411e-07, 0
5e-11, 0.0793022, 0, 6.997e-06, 0
6e-11, 0.118986, 0, 1.58503e-05, 0
7e-11, 0.164301, 0, 2.60619e-05, 0
8e-11, 0.212762, 0, 3.64306e-05, 0
9e-11, 0.26162, 0, 4.57945e-05, 0
1e-10, 0.308238, 0, 5.31131e-05, 0
1.1e-10, 0.350424, 0, 5.76025e-05, 0
1.2e-10, 0.386675, 0, 5.88545e-05, 0
1.3e-10, 0.416263, 0, 5.68969e-05, 0
1.4e-10, 0.439205, 0.000990429, 5.2173e-05, 0
1.5e-10, 0.456097, 0.00682946, 4.54397e-05, 0
1.6e-10, 0.467902, 0.0198049, 3.76122e-05, 0
1.7e-10, 0.475731, 0.0410228, 2.95928e-05, 0
1.8e-10, 0.480659, 0.0706451, 2.2127e-05, 0
1.9e-10, 0.483602, 0.107924, 1.57166e-05, 0
2e-10, 0.485275, 0.15129, 1.05984e-05, 0
2.1e-10, 0.486186, 0.198542, 6.7805e-06, 0
2.2e-10, 0.48667, 0.247128, 4.11229e-06, 0
2.3e-10, 0.486927, 0.294478, 2.36233e-06, 0
2.4e-10, 0.487075, 0.338323, 1.28424e-06, 0
2.5e-10, 0.487171, 0.376954, 6.60085e-07, 0
2.6e-10, 0.487232, 0.409364, 3.20477e-07, 0
2.7e-10, 0.487318, 0.43526, 1.46833e-07, 0
2.8e-10, 0.487484, 0.454964, 6.34248e-08, 0
2.9e-10, 0.48776, 0.469235, 2.58039e-08, 0
3e-10, 0.48816, 0.47907, 9.87833e-09, 0
3.1e-10, 0.488684, 0.485514, 3.55493e-09, 0
3.2e-10, 0.48932, 0.489527, 1.20146e-09, 0
3.3e-10, 0.490042, 0.491899, 3.80983e-10, 0
3.4e-10, 0.490817, 0.493229, 1.1324e-10, 0
3.5e-10, 0.491606, 0.493936, 3.15197e-11, 0
3.6e-10, 0.492371, 0.494292, 8.20812e-12, 0
3.7e-10, 0.493077, 0.494462, 1.99792e-12, 0
3.8e-10, 0.493699, 0.494538, 4.54134e-13, 0
3.9e-10, 0.494222, 0.494571, 9.63082e-14, 0
4e-10, 0.494641, 0.494585, 1.90377e-14, 0
4.1e-10, 0.494963, 0.494593, 3.50458e-15, 0
4.2e-10, 0.495197, 0.494599, 6.00431e-16, 0
4.3e-10, 0.49536, 0.494605, 9.54098e-17, 0
4.4e-10, 0.495469, 0.494613, 1.38778e-17, 0
4.5e-10, 0.495537, 0.494621, 2.1684e-18, 0
4.6e-10, 0.495578, 0.494631, 2.1684e-19, 0
4.7e-10, 0.495602, 0.494641, 0, 0
4.8e-10, 0.495615, 0.49465, 0, 0
4.9e-10, 0.495621, 0.494659, 0, 0
5e-10, 0.495625, 0.494668, 0, 0
5.1e-10, 0.495626, 0.494675, 0, 0
5.2e-10, 0.495627, 0.494681, 0, 0
5.3e-10, 0.495627, 0.494685, 0, 0
5.4e-10, 0.495627, 0.494689, 0, 0
5.5e-10, 0.495627, 0.494692, 0, 0
5.6e-10, 0.495627, 0.494693, 0, 0
5.7e-10, 0.495627, 0.494695, 0, 0
5.8e-10, 0.495627, 0.494695, 0, 0
5.9e-10, 0.495627, 0.494696, 0, 0
6e-10, 0.495627, 0.494696, 0, 0
6.1e-10, 0.495627, 0.494696, 0, 0
6.2e-10, 0.495627, 0.494696, 0, 0
6.3e-10, 0.495627, 0.494696, 0, 0
6.4e-10, 0.495627, 0.494696, 0, 0
6.5e-10, 0.495627, 0.494696, 0, 0
