time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00155716, 0, 0, 0
2e-11, 0.0087036, 0, 2.43735e-08, 0
3e-11, 0.0235427, 0, 2.77019e-05, 0
4e-11, 0.0470248, 0, 0.0001044, 0
5e-11, 0.0790757, 0, 0.000206144, 0
6e-11, 0.118634, 0, 0.000321595, 0
7e-11, 0.163822, 0, 0.000484829, 0
8e-11, 0.212162, 0, 0.000715734, 0
9e-11, 0.26091, 0, 0.000975332, 0
1e-10, 0.307434, 0, 0.00122647, 0
1.1e-10, 0.349539, 0, 0.00146203, 0
1.2e-10, 0.385717, 0, 0.00167733, 0
1.3e-10, 0.415248, 0, 0.0018404, 1.56302e-08
1.4e-10, 0.43814, 0.0010353, 0.00193383, 4.28899e-07
1.5e-10, 0.454993, 0.00696179, 0.00195084, 1.45623e-06
1.6e-10, 0.466774, 0.0200343, 0.00190271, 3.56604e-06
1.7e-10, 0.474589, 0.0413408, 0.00184736, 6.27064e-06
1.8e-10, 0.479507, 0.071028, 0.0018134, 9.12854e-06
1.9e-10, 0.482443, 0.108335, 0.00185439, 1.22124e-05
2e-10, 0.484113, 0.151685, 0.00194925, 1.59098e-05
2.1e-10, 0.485025, 0.198873, 0.00206665, 1.98848e-05
2.2e-10, 0.48551, 0.24735, 0.0021823, 2.3541e-05
2.3e-10, 0.485765, 0.294554, 0.00231027, 2.65595e-05
2.4e-10, 0.4859, 0.338228, 0.00248421, 2.91328e-05
2.5e-10, 0.48597, 0.376678, 0.00264889, 3.08614e-05
2.6e-10, 0.486015, 0.408911, 0.00276693, 3.15738e-05
2.7e-10, 0.4861, 0.434645, 0.00281737, 3.11608e-05
2.8e-10, 0.486277, 0.454209, 0.00279006, 2.98231e-05
2.9e-10, 0.486573, 0.468368, 0.00268443, 2.82554e-05
3e-10, 0.487002, 0.478118, 0.00250787, 2.67688e-05
3.1e-10, 0.487559, 0.484502, 0.00227381, 2.61427e-05
3.2e-10, 0.488229, 0.488473, 0.00199946, 2.6421e-05
3.3e-10, 0.488983, 0.490818, 0.00170365, 2.72934e-05
3.4e-10, 0.489784, 0.492133, 0.00140487, 2.85612e-05
3.5e-10, 0.49059, 0.49283, 0.00111958, 2.9991e-05
3.6e-10, 0.491362, 0.493181, 0.000860848, 3.23924e-05
3.7e-10, 0.492065, 0.493349, 0.000637509, 3.52786e-05
3.8e-10, 0.492677, 0.493424, 0.000453893, 3.79071e-05
3.9e-10, 0.493185, 0.493456, 0.000310134, 3.98353e-05
4e-10, 0.493586, 0.493471, 0.000203012, 4.07713e-05
4.1e-10, 0.49389, 0.493479, 0.000127101, 4.05603e-05
4.2e-10, 0.494108, 0.493485, 7.59895e-05, 3.91785e-05
4.3e-10, 0.494258, 0.493492, 4.33213e-05, 3.67196e-05
4.4e-10, 0.494356, 0.493501, 2.35178e-05, 3.33719e-05
4.5e-10, 0.494417, 0.49351, 1.21419e-05, 2.93885e-05
4.6e-10, 0.494454, 0.493521, 5.95449e-06, 2.50553e-05
4.7e-10, 0.494474, 0.493531, 2.77066e-06, 2.06578e-05
4.8e-10, 0.494485, 0.493541, 1.22189e-06, 1.6451e-05
4.9e-10, 0.494491, 0.493551, 5.10208e-07, 1.26371e-05
5e-10, 0.494493, 0.49356, 2.01512e-07, 9.35046e-06
5.1e-10, 0.494495, 0.493567, 7.52107e-08, 6.65463e-06
5.2e-10, 0.494495, 0.493573, 2.65023e-08, 4.5488e-06
5.3e-10, 0.494495, 0.493578, 8.8089e-09, 2.98224e-06
5.4e-10, 0.494495, 0.493581, 2.7594e-09, 1.87271e-06
5.5e-10, 0.494496, 0.493584, 8.13931e-10, 1.12491e-06
5.6e-10, 0.494496, 0.493586, 2.25878e-10, 6.45568e-07
5.7e-10, 0.494496, 0.493587, 5.8927e-11, 3.53537e-07
5.8e-10, 0.494496, 0.493587, 1.44394e-11, 1.84547e-07
5.9e-10, 0.494496, 0.493588, 3.32069e-12, 9.17262e-08
6e-10, 0.494496, 0.493588, 7.16148e-13, 4.33659e-08
6.1e-10, 0.494496, 0.493588, 1.44716e-13, 1.94825e-08
6.2e-10, 0.494496, 0.493588, 2.73826e-14, 8.30942e-09
6.3e-10, 0.494496, 0.493588, 4.84855e-15, 3.36146e-09
6.4e-10, 0.494496, 0.493588, 8.00575e-16, 1.28863e-09
6.5e-10, 0.494496, 0.493588, 1.24033e-16, 4.67734e-10
6.6e-10, 0.494496, 0.493588, 1.9082e-17, 1.60609e-10
