time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00157588, 0, 0, 0
2e-11, 0.00884927, 0, 0, 0
3e-11, 0.0239959, 0, 7.17335e-06, 0
4e-11, 0.0479436, 0, 6.28377e-05, 0
5e-11, 0.0805949, 0, 0.000224904, 0
6e-11, 0.120868, 0, 0.000534052, 0
7e-11, 0.166829, 0, 0.000995974, 0
8e-11, 0.215938, 0, 0.00158995, 0
9e-11, 0.265397, 0, 0.0022771, 0
1e-10, 0.312523, 0, 0.00299467, 0
1.1e-10, 0.3551, 0, 0.00364265, 0
1.2e-10, 0.391616, 0, 0.0041483, 0
1.3e-10, 0.421359, 0, 0.00446127, 0
1.4e-10, 0.444366, 0.00120639, 0.00455641, 0
1.5e-10, 0.461264, 0.00753694, 0.00443643, 2.22421e-08
1.6e-10, 0.473041, 0.0211942, 0.0041745, 7.82917e-07
1.7e-10, 0.48082, 0.0432309, 0.00388114, 3.18464e-06
1.8e-10, 0.485686, 0.0737457, 0.00362507, 7.62795e-06
1.9e-10, 0.488566, 0.111918, 0.00341118, 1.40288e-05
2e-10, 0.490176, 0.156106, 0.00324534, 2.20967e-05
2.1e-10, 0.491022, 0.204043, 0.00317536, 3.13177e-05
2.2e-10, 0.491436, 0.253132, 0.0032018, 4.0468e-05
2.3e-10, 0.491622, 0.300781, 0.00326262, 4.84638e-05
2.4e-10, 0.491698, 0.344729, 0.00331151, 5.44806e-05
2.5e-10, 0.491726, 0.383298, 0.00331029, 5.79571e-05
2.6e-10, 0.491741, 0.415524, 0.00323286, 5.86461e-05
2.7e-10, 0.491805, 0.441166, 0.0030682, 5.6916e-05
2.8e-10, 0.491969, 0.460592, 0.00282046, 5.41293e-05
2.9e-10, 0.49226, 0.4746, 0.00250623, 5.1372e-05
3e-10, 0.492685, 0.484209, 0.00215005, 4.87917e-05
3.1e-10, 0.493238, 0.490476, 0.00177922, 4.64156e-05
3.2e-10, 0.493901, 0.494358, 0.00141926, 4.47579e-05
3.3e-10, 0.494643, 0.496641, 0.00109054, 4.44492e-05
3.4e-10, 0.495426, 0.497915, 0.000806549, 4.48174e-05
3.5e-10, 0.496212, 0.498588, 0.000573622, 4.52905e-05
3.6e-10, 0.496961, 0.498925, 0.000391896, 4.53754e-05
3.7e-10, 0.497643, 0.499085, 0.000256892, 4.46805e-05
3.8e-10, 0.498235, 0.499157, 0.000161364, 4.29697e-05
3.9e-10, 0.498726, 0.499189, 9.6995e-05, 4.01875e-05
4e-10, 0.499114, 0.499205, 5.57142e-05, 3.64498e-05
4.1e-10, 0.499408, 0.499215, 3.0538e-05, 3.20038e-05
4.2e-10, 0.49962, 0.499224, 1.59501e-05, 2.71703e-05
4.3e-10, 0.499766, 0.499232, 7.92741e-06, 2.22841e-05
4.4e-10, 0.499862, 0.499242, 3.74423e-06, 1.76434e-05
4.5e-10, 0.499922, 0.499252, 1.67838e-06, 1.34749e-05
4.6e-10, 0.499957, 0.499261, 7.13146e-07, 9.91904e-06
4.7e-10, 0.499977, 0.499271, 2.86881e-07, 7.03083e-06
4.8e-10, 0.499988, 0.499279, 1.09135e-07, 4.79382e-06
4.9e-10, 0.499994, 0.499287, 3.92177e-08, 3.14045e-06
5e-10, 0.499997, 0.499293, 1.32984e-08, 1.97425e-06
5.1e-10, 0.499998, 0.499298, 4.25075e-09, 1.18945e-06
5.2e-10, 0.499998, 0.499302, 1.27954e-09, 6.8589e-07
5.3e-10, 0.499999, 0.499305, 3.62362e-10, 3.78045e-07
5.4e-10, 0.499999, 0.499307, 9.64558e-11, 1.98904e-07
5.5e-10, 0.499999, 0.499308, 2.41109e-11, 9.97683e-08
5.6e-10, 0.499999, 0.499309, 5.65467e-12, 4.76484e-08
5.7e-10, 0.499999, 0.499309, 1.24318e-12, 2.16414e-08
5.8e-10, 0.499999, 0.49931, 2.55983e-13, 9.3368e-09
5.9e-10, 0.499999, 0.49931, 4.93286e-14, 3.82212e-09
6e-10, 0.499999, 0.49931, 8.88872e-15, 1.48299e-09
6.1e-10, 0.499999, 0.49931, 1.49533e-15, 5.44817e-10
6.2e-10, 0.499999, 0.49931, 2.35922e-16, 1.89328e-10
6.3e-10, 0.499999, 0.49931, 3.46945e-17, 6.21746e-11
6.4e-10, 0.499999, 0.49931, 3.46945e-18, 1.92772e-11
6.5e-10, 0.499999, 0.49931, 0, 5.63791e-12
