time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00155907, 0, 0, 0
2e-11, 0.00871744, 0, 1.10652e-07, 0
3e-11, 0.0235873, 0, 2.94388e-05, 0
4e-11, 0.0471201, 0, 0.000130526, 0
5e-11, 0.0792477, 0, 0.000290363, 0
6e-11, 0.118926, 0, 0.000480057, 0
7e-11, 0.164257, 0, 0.000675072, 0
8e-11, 0.212743, 0, 0.000886912, 0
9e-11, 0.261627, 0, 0.00119453, 0
1e-10, 0.308256, 0, 0.00159927, 0
1.1e-10, 0.350423, 0, 0.00210213, 0
1.2e-10, 0.386619, 0, 0.00275842, 1.52377e-07
1.3e-10, 0.416131, 3.03992e-07, 0.00359811, 7.88882e-07
1.4e-10, 0.438987, 0.00161041, 0.0045606, 1.79143e-06
1.5e-10, 0.455795, 0.00868286, 0.00557262, 3.67147e-06
1.6e-10, 0.467531, 0.0232458, 0.00656682, 6.06236e-06
1.7e-10, 0.475311, 0.0462337, 0.00742866, 8.598e-06
1.8e-10, 0.48021, 0.0776261, 0.00806192, 1.09915e-05
1.9e-10, 0.483146, 0.116485, 0.00840531, 1.31055e-05
2e-10, 0.484829, 0.161067, 0.00842424, 1.58876e-05
2.1e-10, 0.485753, 0.209036, 0.0081244, 1.97996e-05
2.2e-10, 0.486245, 0.257771, 0.00755095, 2.48678e-05
2.3e-10, 0.48654, 0.304704, 0.00684469, 3.16381e-05
2.4e-10, 0.486798, 0.347644, 0.00609167, 4.0852e-05
2.5e-10, 0.487101, 0.385017, 0.00533225, 5.22904e-05
2.6e-10, 0.487489, 0.415974, 0.00461202, 6.49528e-05
2.7e-10, 0.487978, 0.440385, 0.00396332, 7.80335e-05
2.8e-10, 0.48857, 0.458704, 0.00340014, 9.03429e-05
2.9e-10, 0.489248, 0.471782, 0.00292002, 0.000100267
3e-10, 0.489985, 0.48066, 0.00250946, 0.000106737
3.1e-10, 0.490747, 0.486387, 0.00215064, 0.000109137
3.2e-10, 0.491499, 0.489894, 0.00182731, 0.000107318
3.3e-10, 0.492207, 0.491931, 0.00152862, 0.00010158
3.4e-10, 0.492846, 0.493053, 0.00125038, 9.3222e-05
3.5e-10, 0.493399, 0.493639, 0.000993987, 8.38151e-05
3.6e-10, 0.493856, 0.493929, 0.00076404, 7.39604e-05
3.7e-10, 0.494219, 0.494067, 0.000565582, 6.42723e-05
3.8e-10, 0.494496, 0.49413, 0.000401924, 5.53003e-05
3.9e-10, 0.494698, 0.494161, 0.000273516, 4.73732e-05
4e-10, 0.494841, 0.494178, 0.000177889, 4.05853e-05
4.1e-10, 0.494937, 0.494191, 0.00011039, 3.4842e-05
4.2e-10, 0.494999, 0.494201, 6.52711e-05, 2.99378e-05
4.3e-10, 0.495038, 0.494212, 3.6728e-05, 2.56383e-05
4.4e-10, 0.495062, 0.494222, 1.96461e-05, 2.17476e-05
4.5e-10, 0.495075, 0.494231, 9.97967e-06, 1.81453e-05
4.6e-10, 0.495083, 0.494239, 4.80943e-06, 1.47931e-05
4.7e-10, 0.495086, 0.494246, 2.19687e-06, 1.17168e-05
4.8e-10, 0.495088, 0.494252, 9.50289e-07, 8.97406e-06
4.9e-10, 0.495089, 0.494257, 3.88922e-07, 6.62224e-06
5e-10, 0.49509, 0.49426, 1.50469e-07, 4.69487e-06
5.1e-10, 0.49509, 0.494263, 5.49842e-08, 3.19067e-06
5.2e-10, 0.49509, 0.494264, 1.89611e-08, 2.07496e-06
5.3e-10, 0.49509, 0.494265, 6.1654e-09, 1.28936e-06
5.4e-10, 0.49509, 0.494266, 1.88872e-09, 7.64617e-07
5.5e-10, 0.49509, 0.494267, 5.44657e-10, 4.32256e-07
5.6e-10, 0.49509, 0.494267, 1.47731e-10, 2.32722e-07
5.7e-10, 0.49509, 0.494267, 3.76583e-11, 1.19215e-07
5.8e-10, 0.49509, 0.494267, 9.01444e-12, 5.80549e-08
5.9e-10, 0.49509, 0.494267, 2.02468e-12, 2.68531e-08
6e-10, 0.49509, 0.494267, 4.26353e-13, 1.17878e-08
6.1e-10, 0.49509, 0.494267, 8.41081e-14, 4.90689e-09
6.2e-10, 0.49509, 0.494267, 1.5531e-14, 1.93536e-09
6.3e-10, 0.49509, 0.494267, 2.68448e-15, 7.22692e-10
6.4e-10, 0.49509, 0.494267, 4.31079e-16, 2.55293e-10
6.5e-10, 0.49509, 0.494267, 6.59195e-17, 8.5247e-11
