time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00156889, 0, 2.71435e-06, 0
2e-11, 0.00880838, 0, 4.38689e-05, 0
3e-11, 0.0238574, 0, 0.000110634, 0
4e-11, 0.047644, 0, 0.000190178, 0
5e-11, 0.0800803, 0, 0.00030908, 0
6e-11, 0.120102, 0, 0.000504548, 0
7e-11, 0.165793, 0, 0.000795481, 0
8e-11, 0.214634, 0, 0.00118822, 0
9e-11, 0.263841, 0, 0.00166791, 0
1e-10, 0.310743, 0, 0.00222662, 0
1.1e-10, 0.353127, 0, 0.0028702, 0
1.2e-10, 0.389484, 0, 0.00360651, 0
1.3e-10, 0.419088, 0, 0.00437391, -2.70856e-07
1.4e-10, 0.441962, 0.00112471, 0.00508258, -1.01971e-05
1.5e-10, 0.458725, 0.00725358, 0.0056489, -3.26774e-05
1.6e-10, 0.470372, 0.0206052, 0.00603983, -6.11887e-05
1.7e-10, 0.478037, 0.0422473, 0.00622326, -9.12581e-05
1.8e-10, 0.482809, 0.0723044, 0.006179, -0.000119084
1.9e-10, 0.485623, 0.109992, 0.00591656, -0.000141128
2e-10, 0.487201, 0.153711, 0.00547596, -0.000154631
2.1e-10, 0.488052, 0.201237, 0.00496621, -0.000157808
2.2e-10, 0.488508, 0.250006, 0.00445836, -0.000149929
2.3e-10, 0.488761, 0.297449, 0.0039662, -0.00013128
2.4e-10, 0.488919, 0.341309, 0.00353967, -0.000103951
2.5e-10, 0.489027, 0.379897, 0.00324467, -7.19645e-05
2.6e-10, 0.48911, 0.412225, 0.00305288, -3.91993e-05
2.7e-10, 0.489225, 0.438023, 0.00292993, -9.02856e-06
2.8e-10, 0.489423, 0.457629, 0.00284187, 1.60095e-05
2.9e-10, 0.489731, 0.471813, 0.00275523, 3.44368e-05
3e-10, 0.490162, 0.481579, 0.00264219, 4.58584e-05
3.1e-10, 0.490716, 0.487972, 0.00248478, 5.08006e-05
3.2e-10, 0.491379, 0.491949, 0.00227692, 5.08272e-05
3.3e-10, 0.492125, 0.494298, 0.00202382, 4.82143e-05
3.4e-10, 0.49292, 0.495614, 0.00173937, 4.40763e-05
3.5e-10, 0.493724, 0.496313, 0.00144222, 3.94922e-05
3.6e-10, 0.494498, 0.496665, 0.00115179, 3.60091e-05
3.7e-10, 0.495208, 0.496833, 0.00088478, 3.39691e-05
3.8e-10, 0.495829, 0.496908, 0.000653001, 3.30349e-05
3.9e-10, 0.496348, 0.49694, 0.000462527, 3.28216e-05
4e-10, 0.496762, 0.496953, 0.000314082, 3.28589e-05
4.1e-10, 0.497077, 0.496958, 0.00020425, 3.26871e-05
4.2e-10, 0.497306, 0.49696, 0.000127062, 3.19458e-05
4.3e-10, 0.497464, 0.49696, 7.55306e-05, 3.04294e-05
4.4e-10, 0.497568, 0.496961, 4.28533e-05, 2.81033e-05
4.5e-10, 0.497633, 0.496961, 2.31794e-05, 2.50837e-05
4.6e-10, 0.497672, 0.496961, 1.19392e-05, 2.15932e-05
4.7e-10, 0.497695, 0.496961, 5.84935e-06, 1.79041e-05
4.8e-10, 0.497707, 0.496961, 2.72275e-06, 1.42852e-05
4.9e-10, 0.497713, 0.496961, 1.20279e-06, 1.09589e-05
5e-10, 0.497716, 0.496961, 5.03714e-07, 8.07753e-06
5.1e-10, 0.497717, 0.496961, 1.99766e-07, 5.71596e-06
5.2e-10, 0.497718, 0.496961, 7.49471e-08, 3.88019e-06
5.3e-10, 0.497718, 0.496961, 2.65729e-08, 2.52465e-06
5.4e-10, 0.497718, 0.496961, 8.89503e-09, 1.57305e-06
5.5e-10, 0.497718, 0.496961, 2.8084e-09, 9.37706e-07
5.6e-10, 0.497718, 0.496961, 8.3554e-10, 5.34257e-07
5.7e-10, 0.497718, 0.496961, 2.3403e-10, 2.90641e-07
5.8e-10, 0.497718, 0.496961, 6.16572e-11, 1.50815e-07
5.9e-10, 0.497718, 0.496961, 1.52658e-11, 7.45717e-08
6e-10, 0.497718, 0.496961, 3.54901e-12, 3.50995e-08
6.1e-10, 0.497718, 0.496961, 7.74065e-13, 1.57104e-08
6.2e-10, 0.497718, 0.496961, 1.58255e-13, 6.68042e-09
6.3e-10, 0.497718, 0.496961, 3.03039e-14, 2.69603e-09
6.4e-10, 0.497718, 0.496961, 5.42622e-15, 1.03165e-09
6.5e-10, 0.497718, 0.496961, 9.1073e-16, 3.73958e-10
6.6e-10, 0.497718, 0.496961, 1.42247e-16, 1.28291e-10
