time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00156888, 0, 0, 0
2e-11, 0.00880838, 0, 1.11368e-07, 0
3e-11, 0.0238574, 0, 2.96149e-05, 0
4e-11, 0.047644, 0, 0.00013126, 0
5e-11, 0.0800803, 0, 0.000291936, 0
6e-11, 0.120102, 0, 0.000482611, 0
7e-11, 0.165793, 0, 0.000678625, 0
8e-11, 0.214634, 0, 0.000891565, 0
9e-11, 0.263841, 0, 0.00120084, 0
1e-10, 0.310743, 0, 0.00160777, 0
1.1e-10, 0.353127, 0, 0.00211339, 0
1.2e-10, 0.389484, 0, 0.0027734, 0
1.3e-10, 0.419088, 0, 0.00361791, 0
1.4e-10, 0.441962, 0.00112471, 0.00458593, 0
1.5e-10, 0.458725, 0.00725357, 0.00560377, 2.29547e-07
1.6e-10, 0.470372, 0.0206052, 0.00660368, 1.80413e-06
1.7e-10, 0.478036, 0.0422471, 0.00747046, 4.21724e-06
1.8e-10, 0.482809, 0.0723042, 0.00810735, 7.0471e-06
1.9e-10, 0.485623, 0.109992, 0.0084527, 9.9684e-06
2e-10, 0.487201, 0.153711, 0.00847174, 1.2887e-05
2.1e-10, 0.488052, 0.201236, 0.00817019, 1.69075e-05
2.2e-10, 0.488507, 0.250006, 0.00759348, 2.22985e-05
2.3e-10, 0.48876, 0.297449, 0.00688322, 2.90221e-05
2.4e-10, 0.488919, 0.341309, 0.00612597, 3.77086e-05
2.5e-10, 0.489027, 0.379896, 0.00536233, 4.90399e-05
2.6e-10, 0.48911, 0.412225, 0.00463811, 6.25347e-05
2.7e-10, 0.489225, 0.438023, 0.00398584, 7.71013e-05
2.8e-10, 0.489423, 0.457628, 0.00341958, 9.18543e-05
2.9e-10, 0.489731, 0.471813, 0.00293683, 0.000105385
3e-10, 0.490162, 0.481578, 0.00252402, 0.000115984
3.1e-10, 0.490716, 0.487971, 0.0021632, 0.000122558
3.2e-10, 0.491379, 0.491948, 0.00183805, 0.000124506
3.3e-10, 0.492125, 0.494298, 0.00153766, 0.000121739
3.4e-10, 0.49292, 0.495614, 0.00125781, 0.000114658
3.5e-10, 0.493724, 0.496313, 0.000999918, 0.000104938
3.6e-10, 0.494498, 0.496665, 0.000768614, 9.41563e-05
3.7e-10, 0.495208, 0.496833, 0.000568976, 8.29427e-05
3.8e-10, 0.495829, 0.496908, 0.000404342, 7.1999e-05
3.9e-10, 0.496348, 0.49694, 0.000275165, 6.19184e-05
4e-10, 0.496762, 0.496953, 0.000178963, 5.30418e-05
4.1e-10, 0.497077, 0.496958, 0.000111057, 4.54504e-05
4.2e-10, 0.497306, 0.49696, 6.56664e-05, 3.9022e-05
4.3e-10, 0.497464, 0.49696, 3.69507e-05, 3.35186e-05
4.4e-10, 0.497568, 0.496961, 1.97654e-05, 2.86788e-05
4.5e-10, 0.497633, 0.496961, 1.00404e-05, 2.4289e-05
4.6e-10, 0.497672, 0.496961, 4.83871e-06, 2.02227e-05
4.7e-10, 0.497695, 0.496961, 2.21026e-06, 1.64445e-05
4.8e-10, 0.497707, 0.496961, 9.56089e-07, 1.29872e-05
4.9e-10, 0.497713, 0.496961, 3.91299e-07, 9.91648e-06
5e-10, 0.497716, 0.496961, 1.5139e-07, 7.29448e-06
5.1e-10, 0.497717, 0.496961, 5.53211e-08, 5.15492e-06
5.2e-10, 0.497718, 0.496961, 1.90775e-08, 3.49221e-06
5.3e-10, 0.497718, 0.496961, 6.20327e-09, 2.26399e-06
5.4e-10, 0.497718, 0.496961, 1.90033e-09, 1.40257e-06
5.5e-10, 0.497718, 0.496961, 5.4801e-10, 8.29314e-07
5.6e-10, 0.497718, 0.496961, 1.48642e-10, 4.67513e-07
5.7e-10, 0.497718, 0.496961, 3.78906e-11, 2.51028e-07
5.8e-10, 0.497718, 0.496961, 9.07011e-12, 1.28264e-07
5.9e-10, 0.497718, 0.496961, 2.0372e-12, 6.23111e-08
6e-10, 0.497718, 0.496961, 4.2899e-13, 2.87564e-08
6.1e-10, 0.497718, 0.496961, 8.46285e-14, 1.25967e-08
6.2e-10, 0.497718, 0.496961, 1.56264e-14, 5.23331e-09
6.3e-10, 0.497718, 0.496961, 2.70096e-15, 2.06039e-09
6.4e-10, 0.497718, 0.496961, 4.33681e-16, 7.68127e-10
6.5e-10, 0.497718, 0.496961, 6.59195e-17, 2.70947e-10
