time, V(in), V(out), V(next), V(fext)
0, 0, 0, 0, 0
1e-11, 0.00155716, 0, 0, 0
2e-11, 0.0087036, 0, 0, 0
3e-11, 0.0235427, 0, 0, 0
4e-11, 0.0470248, 0, 0, 0
5e-11, 0.0790757, 0, 0, 0
6e-11, 0.118634, 0, 0, 0
7e-11, 0.163822, 0, 0, 0
8e-11, 0.212162, 0, 0, 0
9e-11, 0.26091, 0, 0, 0
1e-10, 0.307434, 0, 0, 0
1.1e-10, 0.349539, 0, 0, 0
1.2e-10, 0.385717, 0, 0, 0
1.3e-10, 0.415248, 0, 0, 0
1.4e-10, 0.43814, 0.00103531, 0, 0
1.5e-10, 0.454993, 0.00696184, 0, 0
1.6e-10, 0.466774, 0.0200345, 0, 0
1.7e-10, 0.474589, 0.0413411, 0, 0
1.8e-10, 0.479507, 0.0710285, 0, 0
1.9e-10, 0.482443, 0.108336, 0, 0
2e-10, 0.484113, 0.151686, 0, 0
2.1e-10, 0.485025, 0.198875, 0, 0
2.2e-10, 0.48551, 0.247352, 0, 0
2.3e-10, 0.485765, 0.294556, 0, 0
2.4e-10, 0.4859, 0.33823, 0, 0
2.5e-10, 0.48597, 0.37668, 0, 0
2.6e-10, 0.486015, 0.408912, 0, 0
2.7e-10, 0.4861, 0.434646, 0, 0
2.8e-10, 0.486277, 0.45421, 0, 0
2.9e-10, 0.486573, 0.468369, 0, 0
3e-10, 0.487002, 0.478119, 0, 0
3.1e-10, 0.487559, 0.484502, 0, 0
3.2e-10, 0.488229, 0.488473, 0, 0
3.3e-10, 0.488983, 0.490819, 0, 0
3.4e-10, 0.489784, 0.492133, 0, 0
3.5e-10, 0.49059, 0.492831, 0, 0
3.6e-10, 0.491362, 0.493182, 0, 0
3.7e-10, 0.492065, 0.493349, 0, 0
3.8e-10, 0.492677, 0.493424, 0, 0
3.9e-10, 0.493185, 0.493456, 0, 0
4e-10, 0.493586, 0.493471, 0, 0
4.1e-10, 0.49389, 0.493479, 0, 0
4.2e-10, 0.494108, 0.493485, 0, 0
4.3e-10, 0.494258, 0.493493, 0, 0
4.4e-10, 0.494356, 0.493501, 0, 0
4.5e-10, 0.494417, 0.49351, 0, 0
4.6e-10, 0.494454, 0.493521, 0, 0
4.7e-10, 0.494474, 0.493531, 0, 0
4.8e-10, 0.494485, 0.493542, 0, 0
4.9e-10, 0.494491, 0.493551, 0, 0
5e-10, 0.494493, 0.49356, 0, 0
5.1e-10, 0.494495, 0.493567, 0, 0
5.2e-10, 0.494495, 0.493573, 0, 0
5.3e-10, 0.494495, 0.493578, 0, 0
5.4e-10, 0.494495, 0.493581, 0, 0
5.5e-10, 0.494496, 0.493584, 0, 0
5.6e-10, 0.494496, 0.493586, 0, 0
5.7e-10, 0.494496, 0.493587, 0, 0
5.8e-10, 0.494496, 0.493587, 0, 0
5.9e-10, 0.494496, 0.493588, 0, 0
6e-10, 0.494496, 0.493588, 0, 0
6.1e-10, 0.494496, 0.493588, 0, 0
6.2e-10, 0.494496, 0.493588, 0, 0
6.3e-10, 0.494496, 0.493588, 0, 0
6.4e-10, 0.494496, 0.493588, 0, 0
6.5e-10, 0.494496, 0.493588, 0, 0
6.6e-10, 0.494496, 0.493588, 0, 0
