4.134642337914e-03 0.000000000000e+000  9.958653575621e-01 0.000000000000e+000  5.789827204670e-06 0.000000000000e+000  -5.789827204670e-06 0.000000000000e+000  5.787689455598e-06 0.000000000000e+000  -5.787689455598e-06 0.000000000000e+000  5.787420573671e-06 0.000000000000e+000  -5.787420573671e-06 0.000000000000e+000  5.788198015398e-06 0.000000000000e+000  -5.788198015397e-06 0.000000000000e+000  5.788177045067e-06 0.000000000000e+000  -5.788177045067e-06 0.000000000000e+000  5.787567479000e-06 0.000000000000e+000  -5.787567479000e-06 0.000000000000e+000  5.787618245700e-06 0.000000000000e+000  -5.787618245700e-06 0.000000000000e+000  5.799246711713e-06 0.000000000000e+000  -5.799246711713e-06 0.000000000000e+000  5.799353486862e-06 0.000000000000e+000  -5.799353486862e-06 0.000000000000e+000  
9.958653575621e-01 0.000000000000e+000  4.134642337914e-03 0.000000000000e+000  -5.789827204670e-06 0.000000000000e+000  5.789827204670e-06 0.000000000000e+000  -5.787689455598e-06 0.000000000000e+000  5.787689455598e-06 0.000000000000e+000  -5.787420573671e-06 0.000000000000e+000  5.787420573671e-06 0.000000000000e+000  -5.788198015398e-06 0.000000000000e+000  5.788198015398e-06 0.000000000000e+000  -5.788177045067e-06 0.000000000000e+000  5.788177045067e-06 0.000000000000e+000  -5.787567479000e-06 0.000000000000e+000  5.787567479000e-06 0.000000000000e+000  -5.787618245700e-06 0.000000000000e+000  5.787618245700e-06 0.000000000000e+000  -5.799246711713e-06 0.000000000000e+000  5.799246711713e-06 0.000000000000e+000  -5.799353486862e-06 0.000000000000e+000  5.799353486862e-06 0.000000000000e+000  
5.789827204670e-06 0.000000000000e+000  -5.789827204670e-06 0.000000000000e+000  3.848766893174e-03 0.000000000000e+000  9.961512330068e-01 0.000000000000e+000  5.789350892964e-06 0.000000000000e+000  -5.789350892964e-06 0.000000000000e+000  5.789081933851e-06 0.000000000000e+000  -5.789081933851e-06 0.000000000000e+000  5.789859598753e-06 0.000000000000e+000  -5.789859598753e-06 0.000000000000e+000  5.789838622402e-06 0.000000000000e+000  -5.789838622402e-06 0.000000000000e+000  5.789228881351e-06 0.000000000000e+000  -5.789228881351e-06 0.000000000000e+000  5.789279662624e-06 0.000000000000e+000  -5.789279662624e-06 0.000000000000e+000  5.800911466751e-06 0.000000000000e+000  -5.800911466751e-06 0.000000000000e+000  5.801018272551e-06 0.000000000000e+000  -5.801018272551e-06 0.000000000000e+000  
-5.789827204670e-06 0.000000000000e+000  5.789827204670e-06 0.000000000000e+000  9.961512330068e-01 0.000000000000e+000  3.848766893174e-03 0.000000000000e+000  -5.789350892964e-06 0.000000000000e+000  5.789350892964e-06 0.000000000000e+000  -5.789081933851e-06 0.000000000000e+000  5.789081933851e-06 0.000000000000e+000  -5.789859598753e-06 0.000000000000e+000  5.789859598753e-06 0.000000000000e+000  -5.789838622402e-06 0.000000000000e+000  5.789838622402e-06 0.000000000000e+000  -5.789228881351e-06 0.000000000000e+000  5.789228881351e-06 0.000000000000e+000  -5.789279662625e-06 0.000000000000e+000  5.789279662625e-06 0.000000000000e+000  -5.800911466751e-06 0.000000000000e+000  5.800911466751e-06 0.000000000000e+000  -5.801018272552e-06 0.000000000000e+000  5.801018272551e-06 0.000000000000e+000  
5.787689455598e-06 0.000000000000e+000  -5.787689455598e-06 0.000000000000e+000  5.789350892964e-06 0.000000000000e+000  -5.789350892964e-06 0.000000000000e+000  4.216568715699e-03 0.000000000000e+000  9.957834311843e-01 0.000000000000e+000  5.786944459951e-06 0.000000000000e+000  -5.786944459951e-06 0.000000000000e+000  5.787721837720e-06 0.000000000000e+000  -5.787721837720e-06 0.000000000000e+000  5.787700869114e-06 0.000000000000e+000  -5.787700869114e-06 0.000000000000e+000  5.787091353195e-06 0.000000000000e+000  -5.787091353195e-06 0.000000000000e+000  5.787142115718e-06 0.000000000000e+000  -5.787142115718e-06 0.000000000000e+000  5.798769625092e-06 0.000000000000e+000  -5.798769625092e-06 0.000000000000e+000  5.798876391457e-06 0.000000000000e+000  -5.798876391457e-06 0.000000000000e+000  
-5.787689455598e-06 0.000000000000e+000  5.787689455598e-06 0.000000000000e+000  -5.789350892964e-06 0.000000000000e+000  5.789350892964e-06 0.000000000000e+000  9.957834311843e-01 0.000000000000e+000  4.216568715699e-03 0.000000000000e+000  -5.786944459952e-06 0.000000000000e+000  5.786944459952e-06 0.000000000000e+000  -5.787721837720e-06 0.000000000000e+000  5.787721837720e-06 0.000000000000e+000  -5.787700869114e-06 0.000000000000e+000  5.787700869114e-06 0.000000000000e+000  -5.787091353195e-06 0.000000000000e+000  5.787091353195e-06 0.000000000000e+000  -5.787142115719e-06 0.000000000000e+000  5.787142115719e-06 0.000000000000e+000  -5.798769625092e-06 0.000000000000e+000  5.798769625092e-06 0.000000000000e+000  -5.798876391457e-06 0.000000000000e+000  5.798876391457e-06 0.000000000000e+000  
5.787420573671e-06 0.000000000000e+000  -5.787420573671e-06 0.000000000000e+000  5.789081933851e-06 0.000000000000e+000  -5.789081933851e-06 0.000000000000e+000  5.786944459951e-06 0.000000000000e+000  -5.786944459952e-06 0.000000000000e+000  4.262830114693e-03 0.000000000000e+000  9.957371697853e-01 0.000000000000e+000  5.787452954289e-06 0.000000000000e+000  -5.787452954289e-06 0.000000000000e+000  5.787431986657e-06 0.000000000000e+000  -5.787431986658e-06 0.000000000000e+000  5.786822499055e-06 0.000000000000e+000  -5.786822499055e-06 0.000000000000e+000  5.786873259220e-06 0.000000000000e+000  -5.786873259220e-06 0.000000000000e+000  5.798500228408e-06 0.000000000000e+000  -5.798500228408e-06 0.000000000000e+000  5.798606989813e-06 0.000000000000e+000  -5.798606989813e-06 0.000000000000e+000  
-5.787420573671e-06 0.000000000000e+000  5.787420573671e-06 0.000000000000e+000  -5.789081933851e-06 0.000000000000e+000  5.789081933851e-06 0.000000000000e+000  -5.786944459951e-06 0.000000000000e+000  5.786944459952e-06 0.000000000000e+000  9.957371697853e-01 0.000000000000e+000  4.262830114693e-03 0.000000000000e+000  -5.787452954289e-06 0.000000000000e+000  5.787452954289e-06 0.000000000000e+000  -5.787431986657e-06 0.000000000000e+000  5.787431986658e-06 0.000000000000e+000  -5.786822499055e-06 0.000000000000e+000  5.786822499055e-06 0.000000000000e+000  -5.786873259220e-06 0.000000000000e+000  5.786873259220e-06 0.000000000000e+000  -5.798500228408e-06 0.000000000000e+000  5.798500228408e-06 0.000000000000e+000  -5.798606989813e-06 0.000000000000e+000  5.798606989813e-06 0.000000000000e+000  
5.788198015398e-06 0.000000000000e+000  -5.788198015398e-06 0.000000000000e+000  5.789859598753e-06 0.000000000000e+000  -5.789859598753e-06 0.000000000000e+000  5.787721837720e-06 0.000000000000e+000  -5.787721837720e-06 0.000000000000e+000  5.787452954289e-06 0.000000000000e+000  -5.787452954289e-06 0.000000000000e+000  4.129070503702e-03 0.000000000000e+000  9.958709293963e-01 0.000000000000e+000  5.788209429917e-06 0.000000000000e+000  -5.788209429917e-06 0.000000000000e+000  5.787599860440e-06 0.000000000000e+000  -5.787599860440e-06 0.000000000000e+000  5.787650627424e-06 0.000000000000e+000  -5.787650627424e-06 0.000000000000e+000  5.799279158498e-06 0.000000000000e+000  -5.799279158498e-06 0.000000000000e+000  5.799385934244e-06 0.000000000000e+000  -5.799385934244e-06 0.000000000000e+000  
-5.788198015397e-06 0.000000000000e+000  5.788198015398e-06 0.000000000000e+000  -5.789859598753e-06 0.000000000000e+000  5.789859598753e-06 0.000000000000e+000  -5.787721837720e-06 0.000000000000e+000  5.787721837720e-06 0.000000000000e+000  -5.787452954289e-06 0.000000000000e+000  5.787452954289e-06 0.000000000000e+000  9.958709293963e-01 0.000000000000e+000  4.129070503702e-03 0.000000000000e+000  -5.788209429917e-06 0.000000000000e+000  5.788209429917e-06 0.000000000000e+000  -5.787599860440e-06 0.000000000000e+000  5.787599860440e-06 0.000000000000e+000  -5.787650627424e-06 0.000000000000e+000  5.787650627424e-06 0.000000000000e+000  -5.799279158498e-06 0.000000000000e+000  5.799279158498e-06 0.000000000000e+000  -5.799385934244e-06 0.000000000000e+000  5.799385934244e-06 0.000000000000e+000  
5.788177045067e-06 0.000000000000e+000  -5.788177045067e-06 0.000000000000e+000  5.789838622402e-06 0.000000000000e+000  -5.789838622402e-06 0.000000000000e+000  5.787700869114e-06 0.000000000000e+000  -5.787700869114e-06 0.000000000000e+000  5.787431986657e-06 0.000000000000e+000  -5.787431986657e-06 0.000000000000e+000  5.788209429917e-06 0.000000000000e+000  -5.788209429917e-06 0.000000000000e+000  4.132678469673e-03 0.000000000000e+000  9.958673214303e-01 0.000000000000e+000  5.787578892276e-06 0.000000000000e+000  -5.787578892276e-06 0.000000000000e+000  5.787629659076e-06 0.000000000000e+000  -5.787629659076e-06 0.000000000000e+000  5.799258148021e-06 0.000000000000e+000  -5.799258148020e-06 0.000000000000e+000  5.799364923380e-06 0.000000000000e+000  -5.799364923380e-06 0.000000000000e+000  
