2.818261109385e-03 0.000000000000e+000  9.971817387906e-01 0.000000000000e+000  5.730655931680e-06 0.000000000000e+000  -5.730655931760e-06 0.000000000000e+000  5.729655232144e-06 0.000000000000e+000  -5.729655232222e-06 0.000000000000e+000  5.729508922348e-06 0.000000000000e+000  -5.729508922397e-06 0.000000000000e+000  5.729883063307e-06 0.000000000000e+000  -5.729883063323e-06 0.000000000000e+000  5.729870936609e-06 0.000000000000e+000  -5.729870936610e-06 0.000000000000e+000  5.729605602439e-06 0.000000000000e+000  -5.729605602453e-06 0.000000000000e+000  5.729630959433e-06 0.000000000000e+000  -5.729630959522e-06 0.000000000000e+000  5.736439579939e-06 0.000000000000e+000  -5.736439580034e-06 0.000000000000e+000  5.736523485315e-06 0.000000000000e+000  -5.736523472218e-06 0.000000000000e+000  
9.971817387906e-01 0.000000000000e+000  2.818261109384e-03 0.000000000000e+000  -5.730655931726e-06 0.000000000000e+000  5.730655931762e-06 0.000000000000e+000  -5.729655232210e-06 0.000000000000e+000  5.729655232196e-06 0.000000000000e+000  -5.729508922404e-06 0.000000000000e+000  5.729508922431e-06 0.000000000000e+000  -5.729883063260e-06 0.000000000000e+000  5.729883063289e-06 0.000000000000e+000  -5.729870936645e-06 0.000000000000e+000  5.729870936674e-06 0.000000000000e+000  -5.729605602446e-06 0.000000000000e+000  5.729605602481e-06 0.000000000000e+000  -5.729630959494e-06 0.000000000000e+000  5.729630959522e-06 0.000000000000e+000  -5.736439579909e-06 0.000000000000e+000  5.736439579936e-06 0.000000000000e+000  -5.736523472338e-06 0.000000000000e+000  5.736523485243e-06 0.000000000000e+000  
5.730655931680e-06 0.000000000000e+000  -5.730655931726e-06 0.000000000000e+000  2.681847279910e-03 0.000000000000e+000  9.973181526200e-01 0.000000000000e+000  5.730439050080e-06 0.000000000000e+000  -5.730439050109e-06 0.000000000000e+000  5.730292720106e-06 0.000000000000e+000  -5.730292720231e-06 0.000000000000e+000  5.730666913985e-06 0.000000000000e+000  -5.730666913922e-06 0.000000000000e+000  5.730654782373e-06 0.000000000000e+000  -5.730654783803e-06 0.000000000000e+000  5.730389413925e-06 0.000000000000e+000  -5.730389412898e-06 0.000000000000e+000  5.730414773871e-06 0.000000000000e+000  -5.730414774045e-06 0.000000000000e+000  5.737224325536e-06 0.000000000000e+000  -5.737224325690e-06 0.000000000000e+000  5.737308256723e-06 0.000000000000e+000  -5.737308215277e-06 0.000000000000e+000  
-5.730655931760e-06 0.000000000000e+000  5.730655931762e-06 0.000000000000e+000  9.973181526200e-01 0.000000000000e+000  2.681847279911e-03 0.000000000000e+000  -5.730439049996e-06 0.000000000000e+000  5.730439050111e-06 0.000000000000e+000  -5.730292719925e-06 0.000000000000e+000  5.730292719937e-06 0.000000000000e+000  -5.730666913987e-06 0.000000000000e+000  5.730666913945e-06 0.000000000000e+000  -5.730654783730e-06 0.000000000000e+000  5.730654782199e-06 0.000000000000e+000  -5.730389413088e-06 0.000000000000e+000  5.730389413979e-06 0.000000000000e+000  -5.730414773964e-06 0.000000000000e+000  5.730414773956e-06 0.000000000000e+000  -5.737224325745e-06 0.000000000000e+000  5.737224325657e-06 0.000000000000e+000  -5.737308215458e-06 0.000000000000e+000  5.737308256694e-06 0.000000000000e+000  
5.729655232144e-06 0.000000000000e+000  -5.729655232210e-06 0.000000000000e+000  5.730439050080e-06 0.000000000000e+000  -5.730439049996e-06 0.000000000000e+000  2.856000265357e-03 0.000000000000e+000  9.971439996346e-01 0.000000000000e+000  5.729292082771e-06 0.000000000000e+000  -5.729292083478e-06 0.000000000000e+000  5.729666209134e-06 0.000000000000e+000  -5.729666210577e-06 0.000000000000e+000  5.729654081342e-06 0.000000000000e+000  -5.729654085856e-06 0.000000000000e+000  5.729388759420e-06 0.000000000000e+000  -5.729388759271e-06 0.000000000000e+000  5.729414116071e-06 0.000000000000e+000  -5.729414115137e-06 0.000000000000e+000  5.736222478427e-06 0.000000000000e+000  -5.736222478527e-06 0.000000000000e+000  5.736306380461e-06 0.000000000000e+000  -5.736306367664e-06 0.000000000000e+000  
-5.729655232222e-06 0.000000000000e+000  5.729655232196e-06 0.000000000000e+000  -5.730439050109e-06 0.000000000000e+000  5.730439050111e-06 0.000000000000e+000  9.971439996346e-01 0.000000000000e+000  2.856000265357e-03 0.000000000000e+000  -5.729292083229e-06 0.000000000000e+000  5.729292082521e-06 0.000000000000e+000  -5.729666210581e-06 0.000000000000e+000  5.729666209325e-06 0.000000000000e+000  -5.729654085757e-06 0.000000000000e+000  5.729654081141e-06 0.000000000000e+000  -5.729388759253e-06 0.000000000000e+000  5.729388759548e-06 0.000000000000e+000  -5.729414115311e-06 0.000000000000e+000  5.729414115981e-06 0.000000000000e+000  -5.736222478506e-06 0.000000000000e+000  5.736222478494e-06 0.000000000000e+000  -5.736306367876e-06 0.000000000000e+000  5.736306380717e-06 0.000000000000e+000  
5.729508922348e-06 0.000000000000e+000  -5.729508922404e-06 0.000000000000e+000  5.730292720106e-06 0.000000000000e+000  -5.730292719925e-06 0.000000000000e+000  5.729292082771e-06 0.000000000000e+000  -5.729292083229e-06 0.000000000000e+000  2.881462720937e-03 0.000000000000e+000  9.971185371791e-01 0.000000000000e+000  5.729519899841e-06 0.000000000000e+000  -5.729519899651e-06 0.000000000000e+000  5.729507773649e-06 0.000000000000e+000  -5.729507774218e-06 0.000000000000e+000  5.729242456592e-06 0.000000000000e+000  -5.729242456814e-06 0.000000000000e+000  5.729267812019e-06 0.000000000000e+000  -5.729267811963e-06 0.000000000000e+000  5.736076001133e-06 0.000000000000e+000  -5.736076000906e-06 0.000000000000e+000  5.736159898187e-06 0.000000000000e+000  -5.736159890758e-06 0.000000000000e+000  
-5.729508922397e-06 0.000000000000e+000  5.729508922431e-06 0.000000000000e+000  -5.730292720231e-06 0.000000000000e+000  5.730292719937e-06 0.000000000000e+000  -5.729292083478e-06 0.000000000000e+000  5.729292082521e-06 0.000000000000e+000  9.971185371791e-01 0.000000000000e+000  2.881462720938e-03 0.000000000000e+000  -5.729519899786e-06 0.000000000000e+000  5.729519899928e-06 0.000000000000e+000  -5.729507774225e-06 0.000000000000e+000  5.729507773597e-06 0.000000000000e+000  -5.729242456717e-06 0.000000000000e+000  5.729242456315e-06 0.000000000000e+000  -5.729267811810e-06 0.000000000000e+000  5.729267812005e-06 0.000000000000e+000  -5.736076001019e-06 0.000000000000e+000  5.736076001130e-06 0.000000000000e+000  -5.736159890911e-06 0.000000000000e+000  5.736159898329e-06 0.000000000000e+000  
5.729883063307e-06 0.000000000000e+000  -5.729883063260e-06 0.000000000000e+000  5.730666913985e-06 0.000000000000e+000  -5.730666913987e-06 0.000000000000e+000  5.729666209134e-06 0.000000000000e+000  -5.729666210581e-06 0.000000000000e+000  5.729519899841e-06 0.000000000000e+000  -5.729519899786e-06 0.000000000000e+000  2.816350566916e-03 0.000000000000e+000  9.971836493331e-01 0.000000000000e+000  5.729881914312e-06 0.000000000000e+000  -5.729881915051e-06 0.000000000000e+000  5.729616579825e-06 0.000000000000e+000  -5.729616580191e-06 0.000000000000e+000  5.729641937482e-06 0.000000000000e+000  -5.729641936800e-06 0.000000000000e+000  5.736450570697e-06 0.000000000000e+000  -5.736450570752e-06 0.000000000000e+000  5.736534473998e-06 0.000000000000e+000  -5.736534465394e-06 0.000000000000e+000  
-5.729883063323e-06 0.000000000000e+000  5.729883063289e-06 0.000000000000e+000  -5.730666913922e-06 0.000000000000e+000  5.730666913945e-06 0.000000000000e+000  -5.729666210577e-06 0.000000000000e+000  5.729666209325e-06 0.000000000000e+000  -5.729519899651e-06 0.000000000000e+000  5.729519899928e-06 0.000000000000e+000  9.971836493331e-01 0.000000000000e+000  2.816350566916e-03 0.000000000000e+000  -5.729881914900e-06 0.000000000000e+000  5.729881914611e-06 0.000000000000e+000  -5.729616579984e-06 0.000000000000e+000  5.729616579872e-06 0.000000000000e+000  -5.729641936672e-06 0.000000000000e+000  5.729641937473e-06 0.000000000000e+000  -5.736450570736e-06 0.000000000000e+000  5.736450570694e-06 0.000000000000e+000  -5.736534465361e-06 0.000000000000e+000  5.736534473961e-06 0.000000000000e+000  
5.729870936609e-06 0.000000000000e+000  -5.729870936645e-06 0.000000000000e+000  5.730654782373e-06 0.000000000000e+000  -5.730654783730e-06 0.000000000000e+000  5.729654081342e-06 0.000000000000e+000  -5.729654085757e-06 0.000000000000e+000  5.729507773649e-06 0.000000000000e+000  -5.729507774225e-06 0.000000000000e+000  5.729881914312e-06 0.000000000000e+000  -5.729881914900e-06 0.000000000000e+000  2.818460995473e-03 0.000000000000e+000  9.971815389045e-01 0.000000000000e+000  5.729604455891e-06 0.000000000000e+000  -5.729604451919e-06 0.000000000000e+000  5.729629811314e-06 0.000000000000e+000  -5.729629810549e-06 0.000000000000e+000  5.736438429849e-06 0.000000000000e+000  -5.736438430266e-06 0.000000000000e+000  5.736522341415e-06 0.000000000000e+000  -5.736522316355e-06 0.000000000000e+000  
