1.485955472495e-03 0.000000000000e+000  9.985140444276e-01 0.000000000000e+000  3.689681745859e-06 0.000000000000e+000  -3.689681745847e-06 0.000000000000e+000  3.689789610847e-06 0.000000000000e+000  -3.689789610831e-06 0.000000000000e+000  3.689750342946e-06 0.000000000000e+000  -3.689750342901e-06 0.000000000000e+000  3.689728448203e-06 0.000000000000e+000  -3.689728448179e-06 0.000000000000e+000  3.689745124735e-06 0.000000000000e+000  -3.689745240177e-06 0.000000000000e+000  3.689801535692e-06 0.000000000000e+000  -3.689801535733e-06 0.000000000000e+000  3.689819996742e-06 0.000000000000e+000  -3.689819996721e-06 0.000000000000e+000  3.689062594853e-06 0.000000000000e+000  -3.689062594856e-06 0.000000000000e+000  3.689114620902e-06 0.000000000000e+000  -3.689114620873e-06 0.000000000000e+000  
9.985140444276e-01 0.000000000000e+000  1.485955472494e-03 0.000000000000e+000  -3.689681745686e-06 0.000000000000e+000  3.689681745661e-06 0.000000000000e+000  -3.689789610643e-06 0.000000000000e+000  3.689789610666e-06 0.000000000000e+000  -3.689750342794e-06 0.000000000000e+000  3.689750342750e-06 0.000000000000e+000  -3.689728448060e-06 0.000000000000e+000  3.689728448091e-06 0.000000000000e+000  -3.689745240389e-06 0.000000000000e+000  3.689745124794e-06 0.000000000000e+000  -3.689801535701e-06 0.000000000000e+000  3.689801535721e-06 0.000000000000e+000  -3.689819996532e-06 0.000000000000e+000  3.689819996548e-06 0.000000000000e+000  -3.689062590025e-06 0.000000000000e+000  3.689062590047e-06 0.000000000000e+000  -3.689114619528e-06 0.000000000000e+000  3.689114619580e-06 0.000000000000e+000  
3.689681745859e-06 0.000000000000e+000  -3.689681745686e-06 0.000000000000e+000  1.505192786140e-03 0.000000000000e+000  9.984948071139e-01 0.000000000000e+000  3.689718522278e-06 0.000000000000e+000  -3.689718523957e-06 0.000000000000e+000  3.689679255908e-06 0.000000000000e+000  -3.689679256152e-06 0.000000000000e+000  3.689657361939e-06 0.000000000000e+000  -3.689657362043e-06 0.000000000000e+000  3.689674069555e-06 0.000000000000e+000  -3.689674121913e-06 0.000000000000e+000  3.689730447856e-06 0.000000000000e+000  -3.689730447962e-06 0.000000000000e+000  3.689748908532e-06 0.000000000000e+000  -3.689748908360e-06 0.000000000000e+000  3.688991518068e-06 0.000000000000e+000  -3.688991520034e-06 0.000000000000e+000  3.689043546732e-06 0.000000000000e+000  -3.689043544751e-06 0.000000000000e+000  
-3.689681745847e-06 0.000000000000e+000  3.689681745661e-06 0.000000000000e+000  9.984948071139e-01 0.000000000000e+000  1.505192786140e-03 0.000000000000e+000  -3.689718524140e-06 0.000000000000e+000  3.689718522141e-06 0.000000000000e+000  -3.689679255987e-06 0.000000000000e+000  3.689679255897e-06 0.000000000000e+000  -3.689657361837e-06 0.000000000000e+000  3.689657362004e-06 0.000000000000e+000  -3.689674122085e-06 0.000000000000e+000  3.689674069540e-06 0.000000000000e+000  -3.689730447935e-06 0.000000000000e+000  3.689730447825e-06 0.000000000000e+000  -3.689748908381e-06 0.000000000000e+000  3.689748908383e-06 0.000000000000e+000  -3.688991519935e-06 0.000000000000e+000  3.688991518037e-06 0.000000000000e+000  -3.689043544768e-06 0.000000000000e+000  3.689043546586e-06 0.000000000000e+000  
3.689789610847e-06 0.000000000000e+000  -3.689789610643e-06 0.000000000000e+000  3.689718522278e-06 0.000000000000e+000  -3.689718524140e-06 0.000000000000e+000  1.476002609832e-03 0.000000000000e+000  9.985239972902e-01 0.000000000000e+000  3.689787120799e-06 0.000000000000e+000  -3.689787121190e-06 0.000000000000e+000  3.689765226944e-06 0.000000000000e+000  -3.689765225750e-06 0.000000000000e+000  3.689781948956e-06 0.000000000000e+000  -3.689781972202e-06 0.000000000000e+000  3.689838315997e-06 0.000000000000e+000  -3.689838313892e-06 0.000000000000e+000  3.689856775664e-06 0.000000000000e+000  -3.689856775735e-06 0.000000000000e+000  3.689099364631e-06 0.000000000000e+000  -3.689099363448e-06 0.000000000000e+000  3.689151392206e-06 0.000000000000e+000  -3.689151392078e-06 0.000000000000e+000  
-3.689789610831e-06 0.000000000000e+000  3.689789610666e-06 0.000000000000e+000  -3.689718523957e-06 0.000000000000e+000  3.689718522141e-06 0.000000000000e+000  9.985239972902e-01 0.000000000000e+000  1.476002609832e-03 0.000000000000e+000  -3.689787121148e-06 0.000000000000e+000  3.689787120772e-06 0.000000000000e+000  -3.689765225677e-06 0.000000000000e+000  3.689765226857e-06 0.000000000000e+000  -3.689781972268e-06 0.000000000000e+000  3.689781948877e-06 0.000000000000e+000  -3.689838313997e-06 0.000000000000e+000  3.689838315863e-06 0.000000000000e+000  -3.689856775864e-06 0.000000000000e+000  3.689856775749e-06 0.000000000000e+000  -3.689099363471e-06 0.000000000000e+000  3.689099364592e-06 0.000000000000e+000  -3.689151392290e-06 0.000000000000e+000  3.689151392144e-06 0.000000000000e+000  
3.689750342946e-06 0.000000000000e+000  -3.689750342794e-06 0.000000000000e+000  3.689679255908e-06 0.000000000000e+000  -3.689679255987e-06 0.000000000000e+000  3.689787120799e-06 0.000000000000e+000  -3.689787121148e-06 0.000000000000e+000  1.486629283134e-03 0.000000000000e+000  9.985133706169e-01 0.000000000000e+000  3.689725957891e-06 0.000000000000e+000  -3.689725958443e-06 0.000000000000e+000  3.689742686956e-06 0.000000000000e+000  -3.689742699271e-06 0.000000000000e+000  3.689799045302e-06 0.000000000000e+000  -3.689799046018e-06 0.000000000000e+000  3.689817506664e-06 0.000000000000e+000  -3.689817506675e-06 0.000000000000e+000  3.689060103666e-06 0.000000000000e+000  -3.689060102501e-06 0.000000000000e+000  3.689112131579e-06 0.000000000000e+000  -3.689112129958e-06 0.000000000000e+000  
-3.689750342901e-06 0.000000000000e+000  3.689750342750e-06 0.000000000000e+000  -3.689679256152e-06 0.000000000000e+000  3.689679255897e-06 0.000000000000e+000  -3.689787121190e-06 0.000000000000e+000  3.689787120772e-06 0.000000000000e+000  9.985133706169e-01 0.000000000000e+000  1.486629283134e-03 0.000000000000e+000  -3.689725958097e-06 0.000000000000e+000  3.689725957971e-06 0.000000000000e+000  -3.689742699235e-06 0.000000000000e+000  3.689742686976e-06 0.000000000000e+000  -3.689799046067e-06 0.000000000000e+000  3.689799045224e-06 0.000000000000e+000  -3.689817506878e-06 0.000000000000e+000  3.689817506771e-06 0.000000000000e+000  -3.689060102414e-06 0.000000000000e+000  3.689060103656e-06 0.000000000000e+000  -3.689112129919e-06 0.000000000000e+000  3.689112131502e-06 0.000000000000e+000  
3.689728448203e-06 0.000000000000e+000  -3.689728448060e-06 0.000000000000e+000  3.689657361939e-06 0.000000000000e+000  -3.689657361837e-06 0.000000000000e+000  3.689765226944e-06 0.000000000000e+000  -3.689765225677e-06 0.000000000000e+000  3.689725957891e-06 0.000000000000e+000  -3.689725958097e-06 0.000000000000e+000  1.492554263163e-03 0.000000000000e+000  9.985074456368e-01 0.000000000000e+000  3.689720815218e-06 0.000000000000e+000  -3.689720781363e-06 0.000000000000e+000  3.689777151236e-06 0.000000000000e+000  -3.689777151032e-06 0.000000000000e+000  3.689795611324e-06 0.000000000000e+000  -3.689795612504e-06 0.000000000000e+000  3.689038212178e-06 0.000000000000e+000  -3.689038213414e-06 0.000000000000e+000  3.689090238972e-06 0.000000000000e+000  -3.689090241444e-06 0.000000000000e+000  
-3.689728448179e-06 0.000000000000e+000  3.689728448091e-06 0.000000000000e+000  -3.689657362043e-06 0.000000000000e+000  3.689657362004e-06 0.000000000000e+000  -3.689765225750e-06 0.000000000000e+000  3.689765226857e-06 0.000000000000e+000  -3.689725958443e-06 0.000000000000e+000  3.689725957971e-06 0.000000000000e+000  9.985074456368e-01 0.000000000000e+000  1.492554263161e-03 0.000000000000e+000  -3.689720781581e-06 0.000000000000e+000  3.689720815266e-06 0.000000000000e+000  -3.689777151024e-06 0.000000000000e+000  3.689777151355e-06 0.000000000000e+000  -3.689795612511e-06 0.000000000000e+000  3.689795611368e-06 0.000000000000e+000  -3.689038213478e-06 0.000000000000e+000  3.689038212226e-06 0.000000000000e+000  -3.689090241483e-06 0.000000000000e+000  3.689090238847e-06 0.000000000000e+000  
3.689745124735e-06 0.000000000000e+000  -3.689745240389e-06 0.000000000000e+000  3.689674069555e-06 0.000000000000e+000  -3.689674122085e-06 0.000000000000e+000  3.689781948956e-06 0.000000000000e+000  -3.689781972268e-06 0.000000000000e+000  3.689742686956e-06 0.000000000000e+000  -3.689742699235e-06 0.000000000000e+000  3.689720815218e-06 0.000000000000e+000  -3.689720781581e-06 0.000000000000e+000  1.488025717327e-03 0.000000000000e+000  9.985119742818e-01 0.000000000000e+000  3.689793866961e-06 0.000000000000e+000  -3.689793904680e-06 0.000000000000e+000  3.689812279437e-06 0.000000000000e+000  -3.689812413682e-06 0.000000000000e+000  3.689054930177e-06 0.000000000000e+000  -3.689054957664e-06 0.000000000000e+000  3.689106938078e-06 0.000000000000e+000  -3.689107005300e-06 0.000000000000e+000  
