5.458424468993e-03 0.000000000000e+000  9.945415754310e-01 0.000000000000e+000  5.701499096245e-06 0.000000000000e+000  -5.701499096245e-06 0.000000000000e+000  5.698259974111e-06 0.000000000000e+000  -5.698259974111e-06 0.000000000000e+000  5.697900192277e-06 0.000000000000e+000  -5.697900192277e-06 0.000000000000e+000  5.699026363668e-06 0.000000000000e+000  -5.699026363668e-06 0.000000000000e+000  5.698998958529e-06 0.000000000000e+000  -5.698998958529e-06 0.000000000000e+000  5.698091741467e-06 0.000000000000e+000  -5.698091741467e-06 0.000000000000e+000  5.698142273661e-06 0.000000000000e+000  -5.698142273661e-06 0.000000000000e+000  5.714255951939e-06 0.000000000000e+000  -5.714255951939e-06 0.000000000000e+000  5.714387524792e-06 0.000000000000e+000  -5.714387524792e-06 0.000000000000e+000  
9.945415754310e-01 0.000000000000e+000  5.458424468993e-03 0.000000000000e+000  -5.701499096245e-06 0.000000000000e+000  5.701499096245e-06 0.000000000000e+000  -5.698259974111e-06 0.000000000000e+000  5.698259974111e-06 0.000000000000e+000  -5.697900192277e-06 0.000000000000e+000  5.697900192277e-06 0.000000000000e+000  -5.699026363668e-06 0.000000000000e+000  5.699026363668e-06 0.000000000000e+000  -5.698998958529e-06 0.000000000000e+000  5.698998958529e-06 0.000000000000e+000  -5.698091741467e-06 0.000000000000e+000  5.698091741467e-06 0.000000000000e+000  -5.698142273661e-06 0.000000000000e+000  5.698142273661e-06 0.000000000000e+000  -5.714255951939e-06 0.000000000000e+000  5.714255951939e-06 0.000000000000e+000  -5.714387524792e-06 0.000000000000e+000  5.714387524792e-06 0.000000000000e+000  
5.701499096245e-06 0.000000000000e+000  -5.701499096245e-06 0.000000000000e+000  5.022883943639e-03 0.000000000000e+000  9.949771159563e-01 0.000000000000e+000  5.700755432754e-06 0.000000000000e+000  -5.700755432754e-06 0.000000000000e+000  5.700395493360e-06 0.000000000000e+000  -5.700395493360e-06 0.000000000000e+000  5.701522157939e-06 0.000000000000e+000  -5.701522157939e-06 0.000000000000e+000  5.701494740799e-06 0.000000000000e+000  -5.701494740799e-06 0.000000000000e+000  5.700587126436e-06 0.000000000000e+000  -5.700587126436e-06 0.000000000000e+000  5.700637680759e-06 0.000000000000e+000  -5.700637680760e-06 0.000000000000e+000  5.716758415756e-06 0.000000000000e+000  -5.716758415756e-06 0.000000000000e+000  5.716890046230e-06 0.000000000000e+000  -5.716890046230e-06 0.000000000000e+000  
-5.701499096245e-06 0.000000000000e+000  5.701499096245e-06 0.000000000000e+000  9.949771159563e-01 0.000000000000e+000  5.022883943639e-03 0.000000000000e+000  -5.700755432754e-06 0.000000000000e+000  5.700755432754e-06 0.000000000000e+000  -5.700395493360e-06 0.000000000000e+000  5.700395493360e-06 0.000000000000e+000  -5.701522157939e-06 0.000000000000e+000  5.701522157939e-06 0.000000000000e+000  -5.701494740799e-06 0.000000000000e+000  5.701494740799e-06 0.000000000000e+000  -5.700587126436e-06 0.000000000000e+000  5.700587126436e-06 0.000000000000e+000  -5.700637680760e-06 0.000000000000e+000  5.700637680760e-06 0.000000000000e+000  -5.716758415756e-06 0.000000000000e+000  5.716758415756e-06 0.000000000000e+000  -5.716890046230e-06 0.000000000000e+000  5.716890046230e-06 0.000000000000e+000  
5.698259974111e-06 0.000000000000e+000  -5.698259974111e-06 0.000000000000e+000  5.700755432754e-06 0.000000000000e+000  -5.700755432754e-06 0.000000000000e+000  5.588144742466e-03 0.000000000000e+000  9.944118551575e-01 0.000000000000e+000  5.697156998202e-06 0.000000000000e+000  -5.697156998202e-06 0.000000000000e+000  5.698283022703e-06 0.000000000000e+000  -5.698283022703e-06 0.000000000000e+000  5.698255621139e-06 0.000000000000e+000  -5.698255621139e-06 0.000000000000e+000  5.697348522408e-06 0.000000000000e+000  -5.697348522408e-06 0.000000000000e+000  5.697399048011e-06 0.000000000000e+000  -5.697399048011e-06 0.000000000000e+000  5.713510624534e-06 0.000000000000e+000  -5.713510624534e-06 0.000000000000e+000  5.713642180226e-06 0.000000000000e+000  -5.713642180226e-06 0.000000000000e+000  
-5.698259974111e-06 0.000000000000e+000  5.698259974111e-06 0.000000000000e+000  -5.700755432754e-06 0.000000000000e+000  5.700755432754e-06 0.000000000000e+000  9.944118551575e-01 0.000000000000e+000  5.588144742466e-03 0.000000000000e+000  -5.697156998202e-06 0.000000000000e+000  5.697156998202e-06 0.000000000000e+000  -5.698283022703e-06 0.000000000000e+000  5.698283022703e-06 0.000000000000e+000  -5.698255621139e-06 0.000000000000e+000  5.698255621139e-06 0.000000000000e+000  -5.697348522408e-06 0.000000000000e+000  5.697348522408e-06 0.000000000000e+000  -5.697399048011e-06 0.000000000000e+000  5.697399048011e-06 0.000000000000e+000  -5.713510624534e-06 0.000000000000e+000  5.713510624534e-06 0.000000000000e+000  -5.713642180226e-06 0.000000000000e+000  5.713642180226e-06 0.000000000000e+000  
5.697900192277e-06 0.000000000000e+000  -5.697900192277e-06 0.000000000000e+000  5.700395493360e-06 0.000000000000e+000  -5.700395493360e-06 0.000000000000e+000  5.697156998202e-06 0.000000000000e+000  -5.697156998202e-06 0.000000000000e+000  5.650930447691e-03 0.000000000000e+000  9.943490694523e-01 0.000000000000e+000  5.697923239414e-06 0.000000000000e+000  -5.697923239414e-06 0.000000000000e+000  5.697895839580e-06 0.000000000000e+000  -5.697895839580e-06 0.000000000000e+000  5.696988798122e-06 0.000000000000e+000  -5.696988798122e-06 0.000000000000e+000  5.697039320535e-06 0.000000000000e+000  -5.697039320535e-06 0.000000000000e+000  5.713149879791e-06 0.000000000000e+000  -5.713149879791e-06 0.000000000000e+000  5.713281427176e-06 0.000000000000e+000  -5.713281427176e-06 0.000000000000e+000  
-5.697900192277e-06 0.000000000000e+000  5.697900192277e-06 0.000000000000e+000  -5.700395493360e-06 0.000000000000e+000  5.700395493360e-06 0.000000000000e+000  -5.697156998202e-06 0.000000000000e+000  5.697156998202e-06 0.000000000000e+000  9.943490694523e-01 0.000000000000e+000  5.650930447690e-03 0.000000000000e+000  -5.697923239414e-06 0.000000000000e+000  5.697923239414e-06 0.000000000000e+000  -5.697895839580e-06 0.000000000000e+000  5.697895839580e-06 0.000000000000e+000  -5.696988798122e-06 0.000000000000e+000  5.696988798122e-06 0.000000000000e+000  -5.697039320535e-06 0.000000000000e+000  5.697039320535e-06 0.000000000000e+000  -5.713149879791e-06 0.000000000000e+000  5.713149879791e-06 0.000000000000e+000  -5.713281427176e-06 0.000000000000e+000  5.713281427176e-06 0.000000000000e+000  
5.699026363668e-06 0.000000000000e+000  -5.699026363668e-06 0.000000000000e+000  5.701522157939e-06 0.000000000000e+000  -5.701522157939e-06 0.000000000000e+000  5.698283022703e-06 0.000000000000e+000  -5.698283022703e-06 0.000000000000e+000  5.697923239414e-06 0.000000000000e+000  -5.697923239414e-06 0.000000000000e+000  5.454401723169e-03 0.000000000000e+000  9.945455981768e-01 0.000000000000e+000  5.699022010110e-06 0.000000000000e+000  -5.699022010110e-06 0.000000000000e+000  5.698114789379e-06 0.000000000000e+000  -5.698114789379e-06 0.000000000000e+000  5.698165321777e-06 0.000000000000e+000  -5.698165321777e-06 0.000000000000e+000  5.714279065232e-06 0.000000000000e+000  -5.714279065232e-06 0.000000000000e+000  5.714410638618e-06 0.000000000000e+000  -5.714410638618e-06 0.000000000000e+000  
-5.699026363668e-06 0.000000000000e+000  5.699026363668e-06 0.000000000000e+000  -5.701522157939e-06 0.000000000000e+000  5.701522157939e-06 0.000000000000e+000  -5.698283022703e-06 0.000000000000e+000  5.698283022703e-06 0.000000000000e+000  -5.697923239414e-06 0.000000000000e+000  5.697923239414e-06 0.000000000000e+000  9.945455981768e-01 0.000000000000e+000  5.454401723169e-03 0.000000000000e+000  -5.699022010110e-06 0.000000000000e+000  5.699022010110e-06 0.000000000000e+000  -5.698114789379e-06 0.000000000000e+000  5.698114789379e-06 0.000000000000e+000  -5.698165321777e-06 0.000000000000e+000  5.698165321777e-06 0.000000000000e+000  -5.714279065232e-06 0.000000000000e+000  5.714279065232e-06 0.000000000000e+000  -5.714410638618e-06 0.000000000000e+000  5.714410638618e-06 0.000000000000e+000  
5.698998958529e-06 0.000000000000e+000  -5.698998958529e-06 0.000000000000e+000  5.701494740799e-06 0.000000000000e+000  -5.701494740799e-06 0.000000000000e+000  5.698255621139e-06 0.000000000000e+000  -5.698255621139e-06 0.000000000000e+000  5.697895839580e-06 0.000000000000e+000  -5.697895839580e-06 0.000000000000e+000  5.699022010110e-06 0.000000000000e+000  -5.699022010110e-06 0.000000000000e+000  5.459184207361e-03 0.000000000000e+000  9.945408156926e-01 0.000000000000e+000  5.698087388624e-06 0.000000000000e+000  -5.698087388624e-06 0.000000000000e+000  5.698137920779e-06 0.000000000000e+000  -5.698137920779e-06 0.000000000000e+000  5.714251586747e-06 0.000000000000e+000  -5.714251586748e-06 0.000000000000e+000  5.714383159500e-06 0.000000000000e+000  -5.714383159500e-06 0.000000000000e+000  
