4.141469829404e-03 0.000000000000e+000  9.958585300706e-01 0.000000000000e+000  5.717444360435e-06 0.000000000000e+000  -5.717444349718e-06 0.000000000000e+000  5.715320467972e-06 0.000000000000e+000  -5.715320467990e-06 0.000000000000e+000  5.715066823734e-06 0.000000000000e+000  -5.715066823783e-06 0.000000000000e+000  5.715818210854e-06 0.000000000000e+000  -5.715818210811e-06 0.000000000000e+000  5.715797721510e-06 0.000000000000e+000  -5.715797721536e-06 0.000000000000e+000  5.715210589079e-06 0.000000000000e+000  -5.715210589067e-06 0.000000000000e+000  5.715248512139e-06 0.000000000000e+000  -5.715248512147e-06 0.000000000000e+000  5.726730189459e-06 0.000000000000e+000  -5.726730189424e-06 0.000000000000e+000  5.726841136669e-06 0.000000000000e+000  -5.726841136665e-06 0.000000000000e+000  
9.958585300706e-01 0.000000000000e+000  4.141469829404e-03 0.000000000000e+000  -5.717444349700e-06 0.000000000000e+000  5.717444360310e-06 0.000000000000e+000  -5.715320468007e-06 0.000000000000e+000  5.715320467981e-06 0.000000000000e+000  -5.715066823848e-06 0.000000000000e+000  5.715066823828e-06 0.000000000000e+000  -5.715818210918e-06 0.000000000000e+000  5.715818210847e-06 0.000000000000e+000  -5.715797721476e-06 0.000000000000e+000  5.715797721475e-06 0.000000000000e+000  -5.715210589068e-06 0.000000000000e+000  5.715210589073e-06 0.000000000000e+000  -5.715248512101e-06 0.000000000000e+000  5.715248512057e-06 0.000000000000e+000  -5.726730189338e-06 0.000000000000e+000  5.726730189372e-06 0.000000000000e+000  -5.726841136661e-06 0.000000000000e+000  5.726841136663e-06 0.000000000000e+000  
5.717444360435e-06 0.000000000000e+000  -5.717444349700e-06 0.000000000000e+000  3.855104162956e-03 0.000000000000e+000  9.961448958365e-01 0.000000000000e+000  5.716963956933e-06 0.000000000000e+000  -5.716963954567e-06 0.000000000000e+000  5.716710238273e-06 0.000000000000e+000  -5.716710238918e-06 0.000000000000e+000  5.717461843934e-06 0.000000000000e+000  -5.717461839493e-06 0.000000000000e+000  5.717441352618e-06 0.000000000000e+000  -5.717441340430e-06 0.000000000000e+000  5.716854055272e-06 0.000000000000e+000  -5.716854034646e-06 0.000000000000e+000  5.716891985081e-06 0.000000000000e+000  -5.716891973046e-06 0.000000000000e+000  5.728376936531e-06 0.000000000000e+000  -5.728376979761e-06 0.000000000000e+000  5.728487915665e-06 0.000000000000e+000  -5.728487958695e-06 0.000000000000e+000  
-5.717444349718e-06 0.000000000000e+000  5.717444360310e-06 0.000000000000e+000  9.961448958365e-01 0.000000000000e+000  3.855104162050e-03 0.000000000000e+000  -5.716963954320e-06 0.000000000000e+000  5.716963956925e-06 0.000000000000e+000  -5.716710239042e-06 0.000000000000e+000  5.716710238358e-06 0.000000000000e+000  -5.717461839543e-06 0.000000000000e+000  5.717461843971e-06 0.000000000000e+000  -5.717441340494e-06 0.000000000000e+000  5.717441352602e-06 0.000000000000e+000  -5.716854034705e-06 0.000000000000e+000  5.716854055188e-06 0.000000000000e+000  -5.716891973085e-06 0.000000000000e+000  5.716891984813e-06 0.000000000000e+000  -5.728376979297e-06 0.000000000000e+000  5.728376936553e-06 0.000000000000e+000  -5.728487958372e-06 0.000000000000e+000  5.728487915849e-06 0.000000000000e+000  
5.715320467972e-06 0.000000000000e+000  -5.715320468007e-06 0.000000000000e+000  5.716963956933e-06 0.000000000000e+000  -5.716963954320e-06 0.000000000000e+000  4.225144818128e-03 0.000000000000e+000  9.957748550819e-01 0.000000000000e+000  5.714586624093e-06 0.000000000000e+000  -5.714586623760e-06 0.000000000000e+000  5.715337947900e-06 0.000000000000e+000  -5.715337948311e-06 0.000000000000e+000  5.715317460709e-06 0.000000000000e+000  -5.715317460356e-06 0.000000000000e+000  5.714730376727e-06 0.000000000000e+000  -5.714730378316e-06 0.000000000000e+000  5.714768297851e-06 0.000000000000e+000  -5.714768297424e-06 0.000000000000e+000  5.726249009845e-06 0.000000000000e+000  -5.726249009709e-06 0.000000000000e+000  5.726359947173e-06 0.000000000000e+000  -5.726359948149e-06 0.000000000000e+000  
-5.715320467990e-06 0.000000000000e+000  5.715320467981e-06 0.000000000000e+000  -5.716963954567e-06 0.000000000000e+000  5.716963956925e-06 0.000000000000e+000  9.957748550819e-01 0.000000000000e+000  4.225144818128e-03 0.000000000000e+000  -5.714586624052e-06 0.000000000000e+000  5.714586624232e-06 0.000000000000e+000  -5.715337948478e-06 0.000000000000e+000  5.715337947763e-06 0.000000000000e+000  -5.715317460547e-06 0.000000000000e+000  5.715317460689e-06 0.000000000000e+000  -5.714730378258e-06 0.000000000000e+000  5.714730376740e-06 0.000000000000e+000  -5.714768297195e-06 0.000000000000e+000  5.714768297608e-06 0.000000000000e+000  -5.726249009656e-06 0.000000000000e+000  5.726249009880e-06 0.000000000000e+000  -5.726359948144e-06 0.000000000000e+000  5.726359947205e-06 0.000000000000e+000  
5.715066823734e-06 0.000000000000e+000  -5.715066823848e-06 0.000000000000e+000  5.716710238273e-06 0.000000000000e+000  -5.716710239042e-06 0.000000000000e+000  5.714586624093e-06 0.000000000000e+000  -5.714586624052e-06 0.000000000000e+000  4.269336744934e-03 0.000000000000e+000  9.957306631551e-01 0.000000000000e+000  5.715084304064e-06 0.000000000000e+000  -5.715084302596e-06 0.000000000000e+000  5.715063816483e-06 0.000000000000e+000  -5.715063816743e-06 0.000000000000e+000  5.714476760010e-06 0.000000000000e+000  -5.714476758650e-06 0.000000000000e+000  5.714514677825e-06 0.000000000000e+000  -5.714514677492e-06 0.000000000000e+000  5.725994880536e-06 0.000000000000e+000  -5.725994880649e-06 0.000000000000e+000  5.726105814438e-06 0.000000000000e+000  -5.726105812873e-06 0.000000000000e+000  
-5.715066823783e-06 0.000000000000e+000  5.715066823828e-06 0.000000000000e+000  -5.716710238918e-06 0.000000000000e+000  5.716710238358e-06 0.000000000000e+000  -5.714586623760e-06 0.000000000000e+000  5.714586624232e-06 0.000000000000e+000  9.957306631551e-01 0.000000000000e+000  4.269336744935e-03 0.000000000000e+000  -5.715084302603e-06 0.000000000000e+000  5.715084303987e-06 0.000000000000e+000  -5.715063816941e-06 0.000000000000e+000  5.715063816684e-06 0.000000000000e+000  -5.714476758567e-06 0.000000000000e+000  5.714476760024e-06 0.000000000000e+000  -5.714514677624e-06 0.000000000000e+000  5.714514677763e-06 0.000000000000e+000  -5.725994880708e-06 0.000000000000e+000  5.725994880425e-06 0.000000000000e+000  -5.726105812818e-06 0.000000000000e+000  5.726105814329e-06 0.000000000000e+000  
5.715818210854e-06 0.000000000000e+000  -5.715818210918e-06 0.000000000000e+000  5.717461843934e-06 0.000000000000e+000  -5.717461839543e-06 0.000000000000e+000  5.715337947900e-06 0.000000000000e+000  -5.715337948478e-06 0.000000000000e+000  5.715084304064e-06 0.000000000000e+000  -5.715084302603e-06 0.000000000000e+000  4.138424026826e-03 0.000000000000e+000  9.958615758732e-01 0.000000000000e+000  5.715815203414e-06 0.000000000000e+000  -5.715815203302e-06 0.000000000000e+000  5.715228067518e-06 0.000000000000e+000  -5.715228070596e-06 0.000000000000e+000  5.715265992278e-06 0.000000000000e+000  -5.715265991961e-06 0.000000000000e+000  5.726747704668e-06 0.000000000000e+000  -5.726747704273e-06 0.000000000000e+000  5.726858651264e-06 0.000000000000e+000  -5.726858653045e-06 0.000000000000e+000  
-5.715818210811e-06 0.000000000000e+000  5.715818210847e-06 0.000000000000e+000  -5.717461839493e-06 0.000000000000e+000  5.717461843971e-06 0.000000000000e+000  -5.715337948311e-06 0.000000000000e+000  5.715337947763e-06 0.000000000000e+000  -5.715084302596e-06 0.000000000000e+000  5.715084303987e-06 0.000000000000e+000  9.958615758732e-01 0.000000000000e+000  4.138424026827e-03 0.000000000000e+000  -5.715815202968e-06 0.000000000000e+000  5.715815203216e-06 0.000000000000e+000  -5.715228070475e-06 0.000000000000e+000  5.715228067523e-06 0.000000000000e+000  -5.715265991932e-06 0.000000000000e+000  5.715265992512e-06 0.000000000000e+000  -5.726747704407e-06 0.000000000000e+000  5.726747704688e-06 0.000000000000e+000  -5.726858653041e-06 0.000000000000e+000  5.726858651207e-06 0.000000000000e+000  
5.715797721510e-06 0.000000000000e+000  -5.715797721476e-06 0.000000000000e+000  5.717441352618e-06 0.000000000000e+000  -5.717441340494e-06 0.000000000000e+000  5.715317460709e-06 0.000000000000e+000  -5.715317460547e-06 0.000000000000e+000  5.715063816483e-06 0.000000000000e+000  -5.715063816941e-06 0.000000000000e+000  5.715815203414e-06 0.000000000000e+000  -5.715815202968e-06 0.000000000000e+000  4.141993841771e-03 0.000000000000e+000  9.958580060582e-01 0.000000000000e+000  5.715207581551e-06 0.000000000000e+000  -5.715207581919e-06 0.000000000000e+000  5.715245504661e-06 0.000000000000e+000  -5.715245504870e-06 0.000000000000e+000  5.726727176005e-06 0.000000000000e+000  -5.726727176053e-06 0.000000000000e+000  5.726838123151e-06 0.000000000000e+000  -5.726838123341e-06 0.000000000000e+000  
