1.522229583850e-03 0.000000000000e+000  9.984777703043e-01 0.000000000000e+000  2.082087047839e-05 0.000000000000e+000  -2.082087049039e-05 0.000000000000e+000  2.379735532301e-06 0.000000000000e+000  -2.379735526605e-06 0.000000000000e+000  1.447176021159e-06 0.000000000000e+000  -1.447176043519e-06 0.000000000000e+000  3.996361393465e-05 0.000000000000e+000  -3.996361397263e-05 0.000000000000e+000  2.164709111808e-05 0.000000000000e+000  -2.164709126551e-05 0.000000000000e+000  2.078908450243e-06 0.000000000000e+000  -2.078908493348e-06 0.000000000000e+000  2.379755058019e-06 0.000000000000e+000  -2.379755195564e-06 0.000000000000e+000  4.053118955223e-06 0.000000000000e+000  -4.053119070541e-06 0.000000000000e+000  2.236674989492e-05 0.000000000000e+000  -2.236674998062e-05 0.000000000000e+000  
9.984777703043e-01 0.000000000000e+000  1.522229583885e-03 0.000000000000e+000  -2.082087049023e-05 0.000000000000e+000  2.082087047836e-05 0.000000000000e+000  -2.379735526220e-06 0.000000000000e+000  2.379735531907e-06 0.000000000000e+000  -1.447176043507e-06 0.000000000000e+000  1.447176021014e-06 0.000000000000e+000  -3.996361397262e-05 0.000000000000e+000  3.996361393503e-05 0.000000000000e+000  -2.164709126537e-05 0.000000000000e+000  2.164709111817e-05 0.000000000000e+000  -2.078908493726e-06 0.000000000000e+000  2.078908450630e-06 0.000000000000e+000  -2.379755195033e-06 0.000000000000e+000  2.379755057803e-06 0.000000000000e+000  -4.053119070292e-06 0.000000000000e+000  4.053118955089e-06 0.000000000000e+000  -2.236674998020e-05 0.000000000000e+000  2.236674989485e-05 0.000000000000e+000  
2.082087047839e-05 0.000000000000e+000  -2.082087049023e-05 0.000000000000e+000  1.542290753834e-03 0.000000000000e+000  9.984577091462e-01 0.000000000000e+000  2.505752442138e-06 0.000000000000e+000  -2.505752442144e-06 0.000000000000e+000  1.579737019327e-06 0.000000000000e+000  -1.579737019289e-06 0.000000000000e+000  2.082073288671e-05 0.000000000000e+000  -2.082073288665e-05 0.000000000000e+000  2.154109397200e-05 0.000000000000e+000  -2.154109397196e-05 0.000000000000e+000  2.059165698104e-06 0.000000000000e+000  -2.059165698033e-06 0.000000000000e+000  2.505773077240e-06 0.000000000000e+000  -2.505773077303e-06 0.000000000000e+000  3.915689401237e-06 0.000000000000e+000  -3.915689401403e-06 0.000000000000e+000  3.195601060512e-06 0.000000000000e+000  -3.195601060527e-06 0.000000000000e+000  
-2.082087049039e-05 0.000000000000e+000  2.082087047836e-05 0.000000000000e+000  9.984577091462e-01 0.000000000000e+000  1.542290753834e-03 0.000000000000e+000  -2.505752442163e-06 0.000000000000e+000  2.505752442170e-06 0.000000000000e+000  -1.579737019252e-06 0.000000000000e+000  1.579737019283e-06 0.000000000000e+000  -2.082073288665e-05 0.000000000000e+000  2.082073288669e-05 0.000000000000e+000  -2.154109397196e-05 0.000000000000e+000  2.154109397200e-05 0.000000000000e+000  -2.059165698014e-06 0.000000000000e+000  2.059165698059e-06 0.000000000000e+000  -2.505773077326e-06 0.000000000000e+000  2.505773077271e-06 0.000000000000e+000  -3.915689401380e-06 0.000000000000e+000  3.915689401309e-06 0.000000000000e+000  -3.195601060505e-06 0.000000000000e+000  3.195601060500e-06 0.000000000000e+000  
2.379735532301e-06 0.000000000000e+000  -2.379735526220e-06 0.000000000000e+000  2.505752442138e-06 0.000000000000e+000  -2.505752442163e-06 0.000000000000e+000  1.512221024471e-03 0.000000000000e+000  9.984877788755e-01 0.000000000000e+000  4.374874081937e-06 0.000000000000e+000  -4.374874081992e-06 0.000000000000e+000  2.379719802430e-06 0.000000000000e+000  -2.379719802376e-06 0.000000000000e+000  2.384165431155e-06 0.000000000000e+000  -2.384165431177e-06 0.000000000000e+000  4.117845255637e-06 0.000000000000e+000  -4.117845255716e-06 0.000000000000e+000  3.990857260380e-05 0.000000000000e+000  -3.990857260386e-05 0.000000000000e+000  2.056622561153e-05 0.000000000000e+000  -2.056622561156e-05 0.000000000000e+000  2.056208158406e-05 0.000000000000e+000  -2.056208158414e-05 0.000000000000e+000  
-2.379735526605e-06 0.000000000000e+000  2.379735531907e-06 0.000000000000e+000  -2.505752442144e-06 0.000000000000e+000  2.505752442170e-06 0.000000000000e+000  9.984877788755e-01 0.000000000000e+000  1.512221024471e-03 0.000000000000e+000  -4.374874082010e-06 0.000000000000e+000  4.374874081936e-06 0.000000000000e+000  -2.379719802361e-06 0.000000000000e+000  2.379719802411e-06 0.000000000000e+000  -2.384165431151e-06 0.000000000000e+000  2.384165431184e-06 0.000000000000e+000  -4.117845255679e-06 0.000000000000e+000  4.117845255628e-06 0.000000000000e+000  -3.990857260383e-05 0.000000000000e+000  3.990857260378e-05 0.000000000000e+000  -2.056622561155e-05 0.000000000000e+000  2.056622561156e-05 0.000000000000e+000  -2.056208158412e-05 0.000000000000e+000  2.056208158406e-05 0.000000000000e+000  
1.447176021159e-06 0.000000000000e+000  -1.447176043507e-06 0.000000000000e+000  1.579737019327e-06 0.000000000000e+000  -1.579737019252e-06 0.000000000000e+000  4.374874081937e-06 0.000000000000e+000  -4.374874082010e-06 0.000000000000e+000  1.523531951395e-03 0.000000000000e+000  9.984764679486e-01 0.000000000000e+000  1.447166468468e-06 0.000000000000e+000  -1.447166468372e-06 0.000000000000e+000  1.456204028146e-06 0.000000000000e+000  -1.456204028140e-06 0.000000000000e+000  3.712959066988e-06 0.000000000000e+000  -3.712959066950e-06 0.000000000000e+000  4.374910109519e-06 0.000000000000e+000  -4.374910109505e-06 0.000000000000e+000  2.083676225605e-06 0.000000000000e+000  -2.083676225615e-06 0.000000000000e+000  2.074676159309e-06 0.000000000000e+000  -2.074676159269e-06 0.000000000000e+000  
-1.447176043519e-06 0.000000000000e+000  1.447176021014e-06 0.000000000000e+000  -1.579737019289e-06 0.000000000000e+000  1.579737019283e-06 0.000000000000e+000  -4.374874081992e-06 0.000000000000e+000  4.374874081936e-06 0.000000000000e+000  9.984764679486e-01 0.000000000000e+000  1.523531951395e-03 0.000000000000e+000  -1.447166468381e-06 0.000000000000e+000  1.447166468442e-06 0.000000000000e+000  -1.456204028154e-06 0.000000000000e+000  1.456204028125e-06 0.000000000000e+000  -3.712959066971e-06 0.000000000000e+000  3.712959066926e-06 0.000000000000e+000  -4.374910109544e-06 0.000000000000e+000  4.374910109473e-06 0.000000000000e+000  -2.083676225671e-06 0.000000000000e+000  2.083676225577e-06 0.000000000000e+000  -2.074676159323e-06 0.000000000000e+000  2.074676159282e-06 0.000000000000e+000  
3.996361393465e-05 0.000000000000e+000  -3.996361397262e-05 0.000000000000e+000  2.082073288671e-05 0.000000000000e+000  -2.082073288665e-05 0.000000000000e+000  2.379719802430e-06 0.000000000000e+000  -2.379719802361e-06 0.000000000000e+000  1.447166468468e-06 0.000000000000e+000  -1.447166468381e-06 0.000000000000e+000  1.528827907974e-03 0.000000000000e+000  9.984711719921e-01 0.000000000000e+000  2.164694813399e-05 0.000000000000e+000  -2.164694813390e-05 0.000000000000e+000  2.078894733254e-06 0.000000000000e+000  -2.078894733149e-06 0.000000000000e+000  2.379739399669e-06 0.000000000000e+000  -2.379739399590e-06 0.000000000000e+000  4.053092227235e-06 0.000000000000e+000  -4.053092227133e-06 0.000000000000e+000  2.236660212382e-05 0.000000000000e+000  -2.236660212374e-05 0.000000000000e+000  
-3.996361397263e-05 0.000000000000e+000  3.996361393503e-05 0.000000000000e+000  -2.082073288665e-05 0.000000000000e+000  2.082073288669e-05 0.000000000000e+000  -2.379719802376e-06 0.000000000000e+000  2.379719802411e-06 0.000000000000e+000  -1.447166468372e-06 0.000000000000e+000  1.447166468442e-06 0.000000000000e+000  9.984711719921e-01 0.000000000000e+000  1.528827907974e-03 0.000000000000e+000  -2.164694813394e-05 0.000000000000e+000  2.164694813399e-05 0.000000000000e+000  -2.078894733155e-06 0.000000000000e+000  2.078894733256e-06 0.000000000000e+000  -2.379739399617e-06 0.000000000000e+000  2.379739399661e-06 0.000000000000e+000  -4.053092227151e-06 0.000000000000e+000  4.053092227217e-06 0.000000000000e+000  -2.236660212376e-05 0.000000000000e+000  2.236660212382e-05 0.000000000000e+000  
2.164709111808e-05 0.000000000000e+000  -2.164709126537e-05 0.000000000000e+000  2.154109397200e-05 0.000000000000e+000  -2.154109397196e-05 0.000000000000e+000  2.384165431155e-06 0.000000000000e+000  -2.384165431151e-06 0.000000000000e+000  1.456204028146e-06 0.000000000000e+000  -1.456204028154e-06 0.000000000000e+000  2.164694813399e-05 0.000000000000e+000  -2.164694813394e-05 0.000000000000e+000  1.525221927718e-03 0.000000000000e+000  9.984747779724e-01 0.000000000000e+000  2.014137552102e-06 0.000000000000e+000  -2.014137552032e-06 0.000000000000e+000  2.384185065019e-06 0.000000000000e+000  -2.384185064983e-06 0.000000000000e+000  2.327054791362e-05 0.000000000000e+000  -2.327054791354e-05 0.000000000000e+000  4.035212714558e-06 0.000000000000e+000  -4.035212714533e-06 0.000000000000e+000  
