4.142460358371e-03 0.000000000000e+000  9.958575395416e-01 0.000000000000e+000  5.714561225153e-06 0.000000000000e+000  -5.714561225153e-06 0.000000000000e+000  5.712438098005e-06 0.000000000000e+000  -5.712438098005e-06 0.000000000000e+000  5.712184584007e-06 0.000000000000e+000  -5.712184584007e-06 0.000000000000e+000  5.712936031149e-06 0.000000000000e+000  -5.712936031149e-06 0.000000000000e+000  5.712915332870e-06 0.000000000000e+000  -5.712915332870e-06 0.000000000000e+000  5.712328803932e-06 0.000000000000e+000  -5.712328803932e-06 0.000000000000e+000  5.712366861413e-06 0.000000000000e+000  -5.712366846061e-06 0.000000000000e+000  5.723839887003e-06 0.000000000000e+000  -5.723839887003e-06 0.000000000000e+000  5.723945580388e-06 0.000000000000e+000  -5.723945580388e-06 0.000000000000e+000  
9.958575395416e-01 0.000000000000e+000  4.142460358371e-03 0.000000000000e+000  -5.714561225153e-06 0.000000000000e+000  5.714561225153e-06 0.000000000000e+000  -5.712438098005e-06 0.000000000000e+000  5.712438098005e-06 0.000000000000e+000  -5.712184584007e-06 0.000000000000e+000  5.712184584007e-06 0.000000000000e+000  -5.712936031149e-06 0.000000000000e+000  5.712936031149e-06 0.000000000000e+000  -5.712915332870e-06 0.000000000000e+000  5.712915332870e-06 0.000000000000e+000  -5.712328803932e-06 0.000000000000e+000  5.712328803932e-06 0.000000000000e+000  -5.712366846044e-06 0.000000000000e+000  5.712366861310e-06 0.000000000000e+000  -5.723839887003e-06 0.000000000000e+000  5.723839887003e-06 0.000000000000e+000  -5.723945580388e-06 0.000000000000e+000  5.723945580388e-06 0.000000000000e+000  
5.714561225153e-06 0.000000000000e+000  -5.714561225153e-06 0.000000000000e+000  3.856081929857e-03 0.000000000000e+000  9.961439179701e-01 0.000000000000e+000  5.714080831372e-06 0.000000000000e+000  -5.714080831429e-06 0.000000000000e+000  5.713827244495e-06 0.000000000000e+000  -5.713827244495e-06 0.000000000000e+000  5.714578907732e-06 0.000000000000e+000  -5.714578907732e-06 0.000000000000e+000  5.714558203501e-06 0.000000000000e+000  -5.714558203501e-06 0.000000000000e+000  5.713971505893e-06 0.000000000000e+000  -5.713971505893e-06 0.000000000000e+000  5.714009563968e-06 0.000000000000e+000  -5.714009569165e-06 0.000000000000e+000  5.725485899222e-06 0.000000000000e+000  -5.725485899222e-06 0.000000000000e+000  5.725591622978e-06 0.000000000000e+000  -5.725591623038e-06 0.000000000000e+000  
-5.714561225153e-06 0.000000000000e+000  5.714561225153e-06 0.000000000000e+000  9.961439179701e-01 0.000000000000e+000  3.856081929857e-03 0.000000000000e+000  -5.714080831425e-06 0.000000000000e+000  5.714080831361e-06 0.000000000000e+000  -5.713827244495e-06 0.000000000000e+000  5.713827244495e-06 0.000000000000e+000  -5.714578907732e-06 0.000000000000e+000  5.714578907732e-06 0.000000000000e+000  -5.714558203501e-06 0.000000000000e+000  5.714558203501e-06 0.000000000000e+000  -5.713971505893e-06 0.000000000000e+000  5.713971505893e-06 0.000000000000e+000  -5.714009569123e-06 0.000000000000e+000  5.714009564142e-06 0.000000000000e+000  -5.725485899222e-06 0.000000000000e+000  5.725485899222e-06 0.000000000000e+000  -5.725591623029e-06 0.000000000000e+000  5.725591622962e-06 0.000000000000e+000  
5.712438098005e-06 0.000000000000e+000  -5.712438098005e-06 0.000000000000e+000  5.714080831372e-06 0.000000000000e+000  -5.714080831425e-06 0.000000000000e+000  4.226176497014e-03 0.000000000000e+000  9.957738234030e-01 0.000000000000e+000  5.711704390043e-06 0.000000000000e+000  -5.711704390043e-06 0.000000000000e+000  5.712455774015e-06 0.000000000000e+000  -5.712455774015e-06 0.000000000000e+000  5.712435077476e-06 0.000000000000e+000  -5.712435077476e-06 0.000000000000e+000  5.711848597844e-06 0.000000000000e+000  -5.711848597844e-06 0.000000000000e+000  5.711886640988e-06 0.000000000000e+000  -5.711886647890e-06 0.000000000000e+000  5.723358713238e-06 0.000000000000e+000  -5.723358713238e-06 0.000000000000e+000  5.723464397690e-06 0.000000000000e+000  -5.723464397784e-06 0.000000000000e+000  
-5.712438098005e-06 0.000000000000e+000  5.712438098005e-06 0.000000000000e+000  -5.714080831429e-06 0.000000000000e+000  5.714080831361e-06 0.000000000000e+000  9.957738234030e-01 0.000000000000e+000  4.226176497014e-03 0.000000000000e+000  -5.711704390043e-06 0.000000000000e+000  5.711704390043e-06 0.000000000000e+000  -5.712455774015e-06 0.000000000000e+000  5.712455774015e-06 0.000000000000e+000  -5.712435077476e-06 0.000000000000e+000  5.712435077476e-06 0.000000000000e+000  -5.711848597844e-06 0.000000000000e+000  5.711848597844e-06 0.000000000000e+000  -5.711886647952e-06 0.000000000000e+000  5.711886641013e-06 0.000000000000e+000  -5.723358713238e-06 0.000000000000e+000  5.723358713238e-06 0.000000000000e+000  -5.723464397773e-06 0.000000000000e+000  5.723464397705e-06 0.000000000000e+000  
5.712184584007e-06 0.000000000000e+000  -5.712184584007e-06 0.000000000000e+000  5.713827244495e-06 0.000000000000e+000  -5.713827244495e-06 0.000000000000e+000  5.711704390043e-06 0.000000000000e+000  -5.711704390043e-06 0.000000000000e+000  4.270367987763e-03 0.000000000000e+000  9.957296319122e-01 0.000000000000e+000  5.712202259232e-06 0.000000000000e+000  -5.712202259232e-06 0.000000000000e+000  5.712181563612e-06 0.000000000000e+000  -5.712181563612e-06 0.000000000000e+000  5.711595110007e-06 0.000000000000e+000  -5.711595110007e-06 0.000000000000e+000  5.711633160917e-06 0.000000000000e+000  -5.711633148970e-06 0.000000000000e+000  5.723104714590e-06 0.000000000000e+000  -5.723104714590e-06 0.000000000000e+000  5.723210394400e-06 0.000000000000e+000  -5.723210394400e-06 0.000000000000e+000  
-5.712184584007e-06 0.000000000000e+000  5.712184584007e-06 0.000000000000e+000  -5.713827244495e-06 0.000000000000e+000  5.713827244495e-06 0.000000000000e+000  -5.711704390043e-06 0.000000000000e+000  5.711704390043e-06 0.000000000000e+000  9.957296319122e-01 0.000000000000e+000  4.270367987763e-03 0.000000000000e+000  -5.712202259232e-06 0.000000000000e+000  5.712202259232e-06 0.000000000000e+000  -5.712181563612e-06 0.000000000000e+000  5.712181563612e-06 0.000000000000e+000  -5.711595110007e-06 0.000000000000e+000  5.711595110007e-06 0.000000000000e+000  -5.711633148713e-06 0.000000000000e+000  5.711633160900e-06 0.000000000000e+000  -5.723104714590e-06 0.000000000000e+000  5.723104714590e-06 0.000000000000e+000  -5.723210394400e-06 0.000000000000e+000  5.723210394400e-06 0.000000000000e+000  
5.712936031149e-06 0.000000000000e+000  -5.712936031149e-06 0.000000000000e+000  5.714578907732e-06 0.000000000000e+000  -5.714578907732e-06 0.000000000000e+000  5.712455774015e-06 0.000000000000e+000  -5.712455774015e-06 0.000000000000e+000  5.712202259232e-06 0.000000000000e+000  -5.712202259232e-06 0.000000000000e+000  4.139378891965e-03 0.000000000000e+000  9.958606210080e-01 0.000000000000e+000  5.712933010356e-06 0.000000000000e+000  -5.712933010356e-06 0.000000000000e+000  5.712346479603e-06 0.000000000000e+000  -5.712346479603e-06 0.000000000000e+000  5.712384533673e-06 0.000000000000e+000  -5.712384525325e-06 0.000000000000e+000  5.723857598293e-06 0.000000000000e+000  -5.723857598293e-06 0.000000000000e+000  5.723963292005e-06 0.000000000000e+000  -5.723963292005e-06 0.000000000000e+000  
-5.712936031149e-06 0.000000000000e+000  5.712936031149e-06 0.000000000000e+000  -5.714578907732e-06 0.000000000000e+000  5.714578907732e-06 0.000000000000e+000  -5.712455774015e-06 0.000000000000e+000  5.712455774015e-06 0.000000000000e+000  -5.712202259232e-06 0.000000000000e+000  5.712202259232e-06 0.000000000000e+000  9.958606210080e-01 0.000000000000e+000  4.139378891965e-03 0.000000000000e+000  -5.712933010356e-06 0.000000000000e+000  5.712933010356e-06 0.000000000000e+000  -5.712346479603e-06 0.000000000000e+000  5.712346479603e-06 0.000000000000e+000  -5.712384525317e-06 0.000000000000e+000  5.712384533591e-06 0.000000000000e+000  -5.723857598293e-06 0.000000000000e+000  5.723857598293e-06 0.000000000000e+000  -5.723963292005e-06 0.000000000000e+000  5.723963292005e-06 0.000000000000e+000  
5.712915332870e-06 0.000000000000e+000  -5.712915332870e-06 0.000000000000e+000  5.714558203501e-06 0.000000000000e+000  -5.714558203501e-06 0.000000000000e+000  5.712435077476e-06 0.000000000000e+000  -5.712435077476e-06 0.000000000000e+000  5.712181563612e-06 0.000000000000e+000  -5.712181563612e-06 0.000000000000e+000  5.712933010356e-06 0.000000000000e+000  -5.712933010356e-06 0.000000000000e+000  4.142986928579e-03 0.000000000000e+000  9.958570129714e-01 0.000000000000e+000  5.712325783460e-06 0.000000000000e+000  -5.712325783460e-06 0.000000000000e+000  5.712363842141e-06 0.000000000000e+000  -5.712363824485e-06 0.000000000000e+000  5.723836860445e-06 0.000000000000e+000  -5.723836860445e-06 0.000000000000e+000  5.723942553774e-06 0.000000000000e+000  -5.723942553774e-06 0.000000000000e+000  
