1.915286987817e-03 0.000000000000e+000  9.980847129122e-01 0.000000000000e+000  5.742859803059e-06 0.000000000000e+000  -5.742859803059e-06 0.000000000000e+000  5.742698256595e-06 0.000000000000e+000  -5.742698256595e-06 0.000000000000e+000  5.742551138469e-06 0.000000000000e+000  -5.742551138469e-06 0.000000000000e+000  5.742632135118e-06 0.000000000000e+000  -5.742632135117e-06 0.000000000000e+000  5.742688936541e-06 0.000000000000e+000  -5.742688936541e-06 0.000000000000e+000  5.742705404322e-06 0.000000000000e+000  -5.742705404321e-06 0.000000000000e+000  5.742767468340e-06 0.000000000000e+000  -5.742767468340e-06 0.000000000000e+000  5.737675051217e-06 0.000000000000e+000  -5.737675051217e-06 0.000000000000e+000  5.737811637859e-06 0.000000000000e+000  -5.737811637859e-06 0.000000000000e+000  
9.980847129122e-01 0.000000000000e+000  1.915286987817e-03 0.000000000000e+000  -5.742859803059e-06 0.000000000000e+000  5.742859803059e-06 0.000000000000e+000  -5.742698256595e-06 0.000000000000e+000  5.742698256595e-06 0.000000000000e+000  -5.742551138469e-06 0.000000000000e+000  5.742551138469e-06 0.000000000000e+000  -5.742632135117e-06 0.000000000000e+000  5.742632135117e-06 0.000000000000e+000  -5.742688936541e-06 0.000000000000e+000  5.742688936541e-06 0.000000000000e+000  -5.742705404322e-06 0.000000000000e+000  5.742705404321e-06 0.000000000000e+000  -5.742767468340e-06 0.000000000000e+000  5.742767468340e-06 0.000000000000e+000  -5.737675051217e-06 0.000000000000e+000  5.737675051217e-06 0.000000000000e+000  -5.737811637859e-06 0.000000000000e+000  5.737811637859e-06 0.000000000000e+000  
5.742859803059e-06 0.000000000000e+000  -5.742859803059e-06 0.000000000000e+000  1.890835781495e-03 0.000000000000e+000  9.981091641186e-01 0.000000000000e+000  5.742838942757e-06 0.000000000000e+000  -5.742838942757e-06 0.000000000000e+000  5.742691821027e-06 0.000000000000e+000  -5.742691821027e-06 0.000000000000e+000  5.742772819660e-06 0.000000000000e+000  -5.742772819660e-06 0.000000000000e+000  5.742829622476e-06 0.000000000000e+000  -5.742829622475e-06 0.000000000000e+000  5.742846090659e-06 0.000000000000e+000  -5.742846090659e-06 0.000000000000e+000  5.742908156198e-06 0.000000000000e+000  -5.742908156198e-06 0.000000000000e+000  5.737815614319e-06 0.000000000000e+000  -5.737815614320e-06 0.000000000000e+000  5.737952204308e-06 0.000000000000e+000  -5.737952204308e-06 0.000000000000e+000  
-5.742859803059e-06 0.000000000000e+000  5.742859803059e-06 0.000000000000e+000  9.981091641186e-01 0.000000000000e+000  1.890835781495e-03 0.000000000000e+000  -5.742838942757e-06 0.000000000000e+000  5.742838942757e-06 0.000000000000e+000  -5.742691821027e-06 0.000000000000e+000  5.742691821027e-06 0.000000000000e+000  -5.742772819660e-06 0.000000000000e+000  5.742772819660e-06 0.000000000000e+000  -5.742829622475e-06 0.000000000000e+000  5.742829622475e-06 0.000000000000e+000  -5.742846090659e-06 0.000000000000e+000  5.742846090659e-06 0.000000000000e+000  -5.742908156198e-06 0.000000000000e+000  5.742908156197e-06 0.000000000000e+000  -5.737815614319e-06 0.000000000000e+000  5.737815614319e-06 0.000000000000e+000  -5.737952204308e-06 0.000000000000e+000  5.737952204308e-06 0.000000000000e+000  
5.742698256595e-06 0.000000000000e+000  -5.742698256595e-06 0.000000000000e+000  5.742838942757e-06 0.000000000000e+000  -5.742838942757e-06 0.000000000000e+000  1.918912399103e-03 0.000000000000e+000  9.980810875009e-01 0.000000000000e+000  5.742530279288e-06 0.000000000000e+000  -5.742530279288e-06 0.000000000000e+000  5.742611275643e-06 0.000000000000e+000  -5.742611275643e-06 0.000000000000e+000  5.742668076860e-06 0.000000000000e+000  -5.742668076860e-06 0.000000000000e+000  5.742684544581e-06 0.000000000000e+000  -5.742684544580e-06 0.000000000000e+000  5.742746608373e-06 0.000000000000e+000  -5.742746608373e-06 0.000000000000e+000  5.737654209748e-06 0.000000000000e+000  -5.737654209748e-06 0.000000000000e+000  5.737790795894e-06 0.000000000000e+000  -5.737790795894e-06 0.000000000000e+000  
-5.742698256595e-06 0.000000000000e+000  5.742698256595e-06 0.000000000000e+000  -5.742838942757e-06 0.000000000000e+000  5.742838942757e-06 0.000000000000e+000  9.980810875009e-01 0.000000000000e+000  1.918912399103e-03 0.000000000000e+000  -5.742530279288e-06 0.000000000000e+000  5.742530279288e-06 0.000000000000e+000  -5.742611275642e-06 0.000000000000e+000  5.742611275642e-06 0.000000000000e+000  -5.742668076860e-06 0.000000000000e+000  5.742668076860e-06 0.000000000000e+000  -5.742684544580e-06 0.000000000000e+000  5.742684544580e-06 0.000000000000e+000  -5.742746608373e-06 0.000000000000e+000  5.742746608373e-06 0.000000000000e+000  -5.737654209748e-06 0.000000000000e+000  5.737654209748e-06 0.000000000000e+000  -5.737790795894e-06 0.000000000000e+000  5.737790795894e-06 0.000000000000e+000  
5.742551138469e-06 0.000000000000e+000  -5.742551138469e-06 0.000000000000e+000  5.742691821027e-06 0.000000000000e+000  -5.742691821027e-06 0.000000000000e+000  5.742530279288e-06 0.000000000000e+000  -5.742530279288e-06 0.000000000000e+000  1.944481385628e-03 0.000000000000e+000  9.980555185144e-01 0.000000000000e+000  5.742464159745e-06 0.000000000000e+000  -5.742464159745e-06 0.000000000000e+000  5.742520959507e-06 0.000000000000e+000  -5.742520959507e-06 0.000000000000e+000  5.742537426806e-06 0.000000000000e+000  -5.742537426806e-06 0.000000000000e+000  5.742599489009e-06 0.000000000000e+000  -5.742599489009e-06 0.000000000000e+000  5.737507220842e-06 0.000000000000e+000  -5.737507220842e-06 0.000000000000e+000  5.737643803489e-06 0.000000000000e+000  -5.737643803489e-06 0.000000000000e+000  
-5.742551138469e-06 0.000000000000e+000  5.742551138469e-06 0.000000000000e+000  -5.742691821027e-06 0.000000000000e+000  5.742691821027e-06 0.000000000000e+000  -5.742530279288e-06 0.000000000000e+000  5.742530279288e-06 0.000000000000e+000  9.980555185144e-01 0.000000000000e+000  1.944481385628e-03 0.000000000000e+000  -5.742464159745e-06 0.000000000000e+000  5.742464159745e-06 0.000000000000e+000  -5.742520959507e-06 0.000000000000e+000  5.742520959507e-06 0.000000000000e+000  -5.742537426806e-06 0.000000000000e+000  5.742537426805e-06 0.000000000000e+000  -5.742599489009e-06 0.000000000000e+000  5.742599489008e-06 0.000000000000e+000  -5.737507220842e-06 0.000000000000e+000  5.737507220842e-06 0.000000000000e+000  -5.737643803489e-06 0.000000000000e+000  5.737643803489e-06 0.000000000000e+000  
5.742632135118e-06 0.000000000000e+000  -5.742632135117e-06 0.000000000000e+000  5.742772819660e-06 0.000000000000e+000  -5.742772819660e-06 0.000000000000e+000  5.742611275643e-06 0.000000000000e+000  -5.742611275642e-06 0.000000000000e+000  5.742464159745e-06 0.000000000000e+000  -5.742464159745e-06 0.000000000000e+000  1.930404247222e-03 0.000000000000e+000  9.980695956528e-01 0.000000000000e+000  5.742601955730e-06 0.000000000000e+000  -5.742601955730e-06 0.000000000000e+000  5.742618423261e-06 0.000000000000e+000  -5.742618423261e-06 0.000000000000e+000  5.742680486340e-06 0.000000000000e+000  -5.742680486339e-06 0.000000000000e+000  5.737588146348e-06 0.000000000000e+000  -5.737588146348e-06 0.000000000000e+000  5.737724730922e-06 0.000000000000e+000  -5.737724730922e-06 0.000000000000e+000  
-5.742632135117e-06 0.000000000000e+000  5.742632135117e-06 0.000000000000e+000  -5.742772819660e-06 0.000000000000e+000  5.742772819660e-06 0.000000000000e+000  -5.742611275643e-06 0.000000000000e+000  5.742611275642e-06 0.000000000000e+000  -5.742464159745e-06 0.000000000000e+000  5.742464159745e-06 0.000000000000e+000  9.980695956528e-01 0.000000000000e+000  1.930404247221e-03 0.000000000000e+000  -5.742601955730e-06 0.000000000000e+000  5.742601955730e-06 0.000000000000e+000  -5.742618423261e-06 0.000000000000e+000  5.742618423261e-06 0.000000000000e+000  -5.742680486339e-06 0.000000000000e+000  5.742680486339e-06 0.000000000000e+000  -5.737588146348e-06 0.000000000000e+000  5.737588146348e-06 0.000000000000e+000  -5.737724730922e-06 0.000000000000e+000  5.737724730922e-06 0.000000000000e+000  
5.742688936541e-06 0.000000000000e+000  -5.742688936541e-06 0.000000000000e+000  5.742829622476e-06 0.000000000000e+000  -5.742829622475e-06 0.000000000000e+000  5.742668076860e-06 0.000000000000e+000  -5.742668076860e-06 0.000000000000e+000  5.742520959507e-06 0.000000000000e+000  -5.742520959507e-06 0.000000000000e+000  5.742601955730e-06 0.000000000000e+000  -5.742601955730e-06 0.000000000000e+000  1.920532215292e-03 0.000000000000e+000  9.980794676847e-01 0.000000000000e+000  5.742675224549e-06 0.000000000000e+000  -5.742675224549e-06 0.000000000000e+000  5.742737288242e-06 0.000000000000e+000  -5.742737288241e-06 0.000000000000e+000  5.737644897881e-06 0.000000000000e+000  -5.737644897881e-06 0.000000000000e+000  5.737781483805e-06 0.000000000000e+000  -5.737781483805e-06 0.000000000000e+000  
