1.487875297883e-03 0.000000000000e+000  9.985121246021e-01 0.000000000000e+000  5.746649447057e-06 0.000000000000e+000  -5.746649447053e-06 0.000000000000e+000  5.746816377528e-06 0.000000000000e+000  -5.746816377536e-06 0.000000000000e+000  5.746752474621e-06 0.000000000000e+000  -5.746752474574e-06 0.000000000000e+000  5.746723963706e-06 0.000000000000e+000  -5.746723963685e-06 0.000000000000e+000  5.746747498219e-06 0.000000000000e+000  -5.746747498219e-06 0.000000000000e+000  5.746836686529e-06 0.000000000000e+000  -5.746836686474e-06 0.000000000000e+000  5.746862425211e-06 0.000000000000e+000  -5.746862425179e-06 0.000000000000e+000  5.745681084440e-06 0.000000000000e+000  -5.745681093900e-06 0.000000000000e+000  5.745765206015e-06 0.000000000000e+000  -5.745765206041e-06 0.000000000000e+000  
9.985121246021e-01 0.000000000000e+000  1.487875297883e-03 0.000000000000e+000  -5.746649447033e-06 0.000000000000e+000  5.746649447056e-06 0.000000000000e+000  -5.746816377559e-06 0.000000000000e+000  5.746816377557e-06 0.000000000000e+000  -5.746752474614e-06 0.000000000000e+000  5.746752474577e-06 0.000000000000e+000  -5.746723963674e-06 0.000000000000e+000  5.746723963685e-06 0.000000000000e+000  -5.746747498198e-06 0.000000000000e+000  5.746747498160e-06 0.000000000000e+000  -5.746836686505e-06 0.000000000000e+000  5.746836686526e-06 0.000000000000e+000  -5.746862425130e-06 0.000000000000e+000  5.746862425172e-06 0.000000000000e+000  -5.745681093858e-06 0.000000000000e+000  5.745681084237e-06 0.000000000000e+000  -5.745765206115e-06 0.000000000000e+000  5.745765206097e-06 0.000000000000e+000  
5.746649447057e-06 0.000000000000e+000  -5.746649447033e-06 0.000000000000e+000  1.507088374371e-03 0.000000000000e+000  9.984929115256e-01 0.000000000000e+000  5.746705797289e-06 0.000000000000e+000  -5.746705799098e-06 0.000000000000e+000  5.746641895801e-06 0.000000000000e+000  -5.746641896621e-06 0.000000000000e+000  5.746613386914e-06 0.000000000000e+000  -5.746613386962e-06 0.000000000000e+000  5.746636919976e-06 0.000000000000e+000  -5.746636920309e-06 0.000000000000e+000  5.746726106254e-06 0.000000000000e+000  -5.746726107471e-06 0.000000000000e+000  5.746751844786e-06 0.000000000000e+000  -5.746751845779e-06 0.000000000000e+000  5.745570526300e-06 0.000000000000e+000  -5.745570537473e-06 0.000000000000e+000  5.745654645901e-06 0.000000000000e+000  -5.745654648236e-06 0.000000000000e+000  
-5.746649447053e-06 0.000000000000e+000  5.746649447056e-06 0.000000000000e+000  9.984929115256e-01 0.000000000000e+000  1.507088374371e-03 0.000000000000e+000  -5.746705799081e-06 0.000000000000e+000  5.746705797275e-06 0.000000000000e+000  -5.746641896615e-06 0.000000000000e+000  5.746641895832e-06 0.000000000000e+000  -5.746613386812e-06 0.000000000000e+000  5.746613387062e-06 0.000000000000e+000  -5.746636920242e-06 0.000000000000e+000  5.746636919895e-06 0.000000000000e+000  -5.746726107587e-06 0.000000000000e+000  5.746726106147e-06 0.000000000000e+000  -5.746751845724e-06 0.000000000000e+000  5.746751844732e-06 0.000000000000e+000  -5.745570537516e-06 0.000000000000e+000  5.745570526247e-06 0.000000000000e+000  -5.745654648321e-06 0.000000000000e+000  5.745654645964e-06 0.000000000000e+000  
5.746816377528e-06 0.000000000000e+000  -5.746816377559e-06 0.000000000000e+000  5.746705797289e-06 0.000000000000e+000  -5.746705799081e-06 0.000000000000e+000  1.478084043499e-03 0.000000000000e+000  9.985219158565e-01 0.000000000000e+000  5.746808825773e-06 0.000000000000e+000  -5.746808826950e-06 0.000000000000e+000  5.746780316757e-06 0.000000000000e+000  -5.746780315851e-06 0.000000000000e+000  5.746803850297e-06 0.000000000000e+000  -5.746803849815e-06 0.000000000000e+000  5.746893040022e-06 0.000000000000e+000  -5.746893038662e-06 0.000000000000e+000  5.746918778833e-06 0.000000000000e+000  -5.746918777646e-06 0.000000000000e+000  5.745737411028e-06 0.000000000000e+000  -5.745737450474e-06 0.000000000000e+000  5.745821547504e-06 0.000000000000e+000  -5.745821549906e-06 0.000000000000e+000  
-5.746816377536e-06 0.000000000000e+000  5.746816377557e-06 0.000000000000e+000  -5.746705799098e-06 0.000000000000e+000  5.746705797275e-06 0.000000000000e+000  9.985219158565e-01 0.000000000000e+000  1.478084043499e-03 0.000000000000e+000  -5.746808826915e-06 0.000000000000e+000  5.746808826018e-06 0.000000000000e+000  -5.746780315797e-06 0.000000000000e+000  5.746780316758e-06 0.000000000000e+000  -5.746803849722e-06 0.000000000000e+000  5.746803850336e-06 0.000000000000e+000  -5.746893038761e-06 0.000000000000e+000  5.746893039864e-06 0.000000000000e+000  -5.746918777717e-06 0.000000000000e+000  5.746918778841e-06 0.000000000000e+000  -5.745737450397e-06 0.000000000000e+000  5.745737411035e-06 0.000000000000e+000  -5.745821549877e-06 0.000000000000e+000  5.745821547456e-06 0.000000000000e+000  
5.746752474621e-06 0.000000000000e+000  -5.746752474614e-06 0.000000000000e+000  5.746641895801e-06 0.000000000000e+000  -5.746641896615e-06 0.000000000000e+000  5.746808825773e-06 0.000000000000e+000  -5.746808826915e-06 0.000000000000e+000  1.489187284723e-03 0.000000000000e+000  9.985108126153e-01 0.000000000000e+000  5.746716412965e-06 0.000000000000e+000  -5.746716413995e-06 0.000000000000e+000  5.746739945932e-06 0.000000000000e+000  -5.746739947000e-06 0.000000000000e+000  5.746829135477e-06 0.000000000000e+000  -5.746829135231e-06 0.000000000000e+000  5.746854873649e-06 0.000000000000e+000  -5.746854874187e-06 0.000000000000e+000  5.745673527534e-06 0.000000000000e+000  -5.745673551537e-06 0.000000000000e+000  5.745757655690e-06 0.000000000000e+000  -5.745757657214e-06 0.000000000000e+000  
-5.746752474574e-06 0.000000000000e+000  5.746752474577e-06 0.000000000000e+000  -5.746641896621e-06 0.000000000000e+000  5.746641895832e-06 0.000000000000e+000  -5.746808826950e-06 0.000000000000e+000  5.746808826018e-06 0.000000000000e+000  9.985108126153e-01 0.000000000000e+000  1.489187284723e-03 0.000000000000e+000  -5.746716413941e-06 0.000000000000e+000  5.746716412803e-06 0.000000000000e+000  -5.746739946890e-06 0.000000000000e+000  5.746739946065e-06 0.000000000000e+000  -5.746829135291e-06 0.000000000000e+000  5.746829135624e-06 0.000000000000e+000  -5.746854874028e-06 0.000000000000e+000  5.746854873630e-06 0.000000000000e+000  -5.745673551898e-06 0.000000000000e+000  5.745673527405e-06 0.000000000000e+000  -5.745757657265e-06 0.000000000000e+000  5.745757655651e-06 0.000000000000e+000  
5.746723963706e-06 0.000000000000e+000  -5.746723963674e-06 0.000000000000e+000  5.746613386914e-06 0.000000000000e+000  -5.746613386812e-06 0.000000000000e+000  5.746780316757e-06 0.000000000000e+000  -5.746780315797e-06 0.000000000000e+000  5.746716412965e-06 0.000000000000e+000  -5.746716413941e-06 0.000000000000e+000  1.494140911833e-03 0.000000000000e+000  9.985058589882e-01 0.000000000000e+000  5.746711438203e-06 0.000000000000e+000  -5.746711437648e-06 0.000000000000e+000  5.746800625666e-06 0.000000000000e+000  -5.746800624698e-06 0.000000000000e+000  5.746826363208e-06 0.000000000000e+000  -5.746826363857e-06 0.000000000000e+000  5.745645026095e-06 0.000000000000e+000  -5.745645044105e-06 0.000000000000e+000  5.745729151144e-06 0.000000000000e+000  -5.745729151766e-06 0.000000000000e+000  
-5.746723963685e-06 0.000000000000e+000  5.746723963685e-06 0.000000000000e+000  -5.746613386962e-06 0.000000000000e+000  5.746613387062e-06 0.000000000000e+000  -5.746780315851e-06 0.000000000000e+000  5.746780316758e-06 0.000000000000e+000  -5.746716413995e-06 0.000000000000e+000  5.746716412803e-06 0.000000000000e+000  9.985058589882e-01 0.000000000000e+000  1.494140911833e-03 0.000000000000e+000  -5.746711437600e-06 0.000000000000e+000  5.746711438141e-06 0.000000000000e+000  -5.746800624715e-06 0.000000000000e+000  5.746800625579e-06 0.000000000000e+000  -5.746826363933e-06 0.000000000000e+000  5.746826363177e-06 0.000000000000e+000  -5.745645043903e-06 0.000000000000e+000  5.745645026176e-06 0.000000000000e+000  -5.745729151710e-06 0.000000000000e+000  5.745729151139e-06 0.000000000000e+000  
5.746747498219e-06 0.000000000000e+000  -5.746747498198e-06 0.000000000000e+000  5.746636919976e-06 0.000000000000e+000  -5.746636920242e-06 0.000000000000e+000  5.746803850297e-06 0.000000000000e+000  -5.746803849722e-06 0.000000000000e+000  5.746739945932e-06 0.000000000000e+000  -5.746739946890e-06 0.000000000000e+000  5.746711438203e-06 0.000000000000e+000  -5.746711437600e-06 0.000000000000e+000  1.490051934448e-03 0.000000000000e+000  9.985099479656e-01 0.000000000000e+000  5.746824159524e-06 0.000000000000e+000  -5.746824158501e-06 0.000000000000e+000  5.746849898147e-06 0.000000000000e+000  -5.746849897061e-06 0.000000000000e+000  5.745668540164e-06 0.000000000000e+000  -5.745668588100e-06 0.000000000000e+000  5.745752681524e-06 0.000000000000e+000  -5.745752680239e-06 0.000000000000e+000  
