5.452633316934e-03 0.000000000000e+000  9.945473665831e-01 0.000000000000e+000  5.771387747933e-06 0.000000000000e+000  -5.771387747938e-06 0.000000000000e+000  5.768108727768e-06 0.000000000000e+000  -5.768108727778e-06 0.000000000000e+000  5.767732121326e-06 0.000000000000e+000  -5.767732121334e-06 0.000000000000e+000  5.768885914674e-06 0.000000000000e+000  -5.768885914661e-06 0.000000000000e+000  5.768858376316e-06 0.000000000000e+000  -5.768858376315e-06 0.000000000000e+000  5.767930139874e-06 0.000000000000e+000  -5.767930139868e-06 0.000000000000e+000  5.767990472198e-06 0.000000000000e+000  -5.767990463054e-06 0.000000000000e+000  5.784298225523e-06 0.000000000000e+000  -5.784298225526e-06 0.000000000000e+000  5.784438206584e-06 0.000000000000e+000  -5.784438206616e-06 0.000000000000e+000  
9.945473665831e-01 0.000000000000e+000  5.452633316934e-03 0.000000000000e+000  -5.771387747865e-06 0.000000000000e+000  5.771387747862e-06 0.000000000000e+000  -5.768108727776e-06 0.000000000000e+000  5.768108727765e-06 0.000000000000e+000  -5.767732121376e-06 0.000000000000e+000  5.767732121364e-06 0.000000000000e+000  -5.768885914744e-06 0.000000000000e+000  5.768885914674e-06 0.000000000000e+000  -5.768858376274e-06 0.000000000000e+000  5.768858376287e-06 0.000000000000e+000  -5.767930139852e-06 0.000000000000e+000  5.767930139863e-06 0.000000000000e+000  -5.767990462865e-06 0.000000000000e+000  5.767990472089e-06 0.000000000000e+000  -5.784298225600e-06 0.000000000000e+000  5.784298225598e-06 0.000000000000e+000  -5.784438206732e-06 0.000000000000e+000  5.784438206701e-06 0.000000000000e+000  
5.771387747933e-06 0.000000000000e+000  -5.771387747865e-06 0.000000000000e+000  5.016786456040e-03 0.000000000000e+000  9.949832134440e-01 0.000000000000e+000  5.770636536720e-06 0.000000000000e+000  -5.770636538514e-06 0.000000000000e+000  5.770259765895e-06 0.000000000000e+000  -5.770259766478e-06 0.000000000000e+000  5.771414065186e-06 0.000000000000e+000  -5.771414065010e-06 0.000000000000e+000  5.771386516224e-06 0.000000000000e+000  -5.771386513538e-06 0.000000000000e+000  5.770457871572e-06 0.000000000000e+000  -5.770457871476e-06 0.000000000000e+000  5.770518222179e-06 0.000000000000e+000  -5.770518228687e-06 0.000000000000e+000  5.786833130351e-06 0.000000000000e+000  -5.786833130120e-06 0.000000000000e+000  5.786973172542e-06 0.000000000000e+000  -5.786973172969e-06 0.000000000000e+000  
-5.771387747938e-06 0.000000000000e+000  5.771387747862e-06 0.000000000000e+000  9.949832134440e-01 0.000000000000e+000  5.016786456040e-03 0.000000000000e+000  -5.770636538545e-06 0.000000000000e+000  5.770636536521e-06 0.000000000000e+000  -5.770259766647e-06 0.000000000000e+000  5.770259765887e-06 0.000000000000e+000  -5.771414065071e-06 0.000000000000e+000  5.771414065274e-06 0.000000000000e+000  -5.771386513412e-06 0.000000000000e+000  5.771386516121e-06 0.000000000000e+000  -5.770457871570e-06 0.000000000000e+000  5.770457871697e-06 0.000000000000e+000  -5.770518228752e-06 0.000000000000e+000  5.770518222524e-06 0.000000000000e+000  -5.786833130348e-06 0.000000000000e+000  5.786833130403e-06 0.000000000000e+000  -5.786973173191e-06 0.000000000000e+000  5.786973172722e-06 0.000000000000e+000  
5.768108727768e-06 0.000000000000e+000  -5.768108727776e-06 0.000000000000e+000  5.770636536720e-06 0.000000000000e+000  -5.770636538545e-06 0.000000000000e+000  5.582083952083e-03 0.000000000000e+000  9.944179159479e-01 0.000000000000e+000  5.766981387205e-06 0.000000000000e+000  -5.766981387417e-06 0.000000000000e+000  5.768135028255e-06 0.000000000000e+000  -5.768135031529e-06 0.000000000000e+000  5.768107494455e-06 0.000000000000e+000  -5.768107496070e-06 0.000000000000e+000  5.767179379595e-06 0.000000000000e+000  -5.767179379404e-06 0.000000000000e+000  5.767239707509e-06 0.000000000000e+000  -5.767239691605e-06 0.000000000000e+000  5.783545334026e-06 0.000000000000e+000  -5.783545335965e-06 0.000000000000e+000  5.783685297282e-06 0.000000000000e+000  -5.783685298222e-06 0.000000000000e+000  
-5.768108727778e-06 0.000000000000e+000  5.768108727765e-06 0.000000000000e+000  -5.770636538514e-06 0.000000000000e+000  5.770636536521e-06 0.000000000000e+000  9.944179159479e-01 0.000000000000e+000  5.582083952083e-03 0.000000000000e+000  -5.766981387292e-06 0.000000000000e+000  5.766981387396e-06 0.000000000000e+000  -5.768135031549e-06 0.000000000000e+000  5.768135028275e-06 0.000000000000e+000  -5.768107496279e-06 0.000000000000e+000  5.768107494410e-06 0.000000000000e+000  -5.767179379393e-06 0.000000000000e+000  5.767179379492e-06 0.000000000000e+000  -5.767239691673e-06 0.000000000000e+000  5.767239707234e-06 0.000000000000e+000  -5.783545335917e-06 0.000000000000e+000  5.783545333855e-06 0.000000000000e+000  -5.783685298363e-06 0.000000000000e+000  5.783685297451e-06 0.000000000000e+000  
5.767732121326e-06 0.000000000000e+000  -5.767732121376e-06 0.000000000000e+000  5.770259765895e-06 0.000000000000e+000  -5.770259766647e-06 0.000000000000e+000  5.766981387205e-06 0.000000000000e+000  -5.766981387292e-06 0.000000000000e+000  5.647010261062e-03 0.000000000000e+000  9.943529896389e-01 0.000000000000e+000  5.767758422150e-06 0.000000000000e+000  -5.767758421441e-06 0.000000000000e+000  5.767730889136e-06 0.000000000000e+000  -5.767730888898e-06 0.000000000000e+000  5.766802833540e-06 0.000000000000e+000  -5.766802834740e-06 0.000000000000e+000  5.766863152498e-06 0.000000000000e+000  -5.766863146996e-06 0.000000000000e+000  5.783167719925e-06 0.000000000000e+000  -5.783167721052e-06 0.000000000000e+000  5.783307674759e-06 0.000000000000e+000  -5.783307674041e-06 0.000000000000e+000  
-5.767732121334e-06 0.000000000000e+000  5.767732121364e-06 0.000000000000e+000  -5.770259766478e-06 0.000000000000e+000  5.770259765887e-06 0.000000000000e+000  -5.766981387417e-06 0.000000000000e+000  5.766981387396e-06 0.000000000000e+000  9.943529896389e-01 0.000000000000e+000  5.647010261062e-03 0.000000000000e+000  -5.767758421571e-06 0.000000000000e+000  5.767758422336e-06 0.000000000000e+000  -5.767730889013e-06 0.000000000000e+000  5.767730889132e-06 0.000000000000e+000  -5.766802834664e-06 0.000000000000e+000  5.766802833478e-06 0.000000000000e+000  -5.766863147003e-06 0.000000000000e+000  5.766863152318e-06 0.000000000000e+000  -5.783167720968e-06 0.000000000000e+000  5.783167720203e-06 0.000000000000e+000  -5.783307673939e-06 0.000000000000e+000  5.783307674734e-06 0.000000000000e+000  
5.768885914674e-06 0.000000000000e+000  -5.768885914744e-06 0.000000000000e+000  5.771414065186e-06 0.000000000000e+000  -5.771414065071e-06 0.000000000000e+000  5.768135028255e-06 0.000000000000e+000  -5.768135031549e-06 0.000000000000e+000  5.767758422150e-06 0.000000000000e+000  -5.767758421571e-06 0.000000000000e+000  5.448098277578e-03 0.000000000000e+000  9.945519016224e-01 0.000000000000e+000  5.768884681982e-06 0.000000000000e+000  -5.768884681662e-06 0.000000000000e+000  5.767956441533e-06 0.000000000000e+000  -5.767956441013e-06 0.000000000000e+000  5.768016774296e-06 0.000000000000e+000  -5.768016763881e-06 0.000000000000e+000  5.784324602169e-06 0.000000000000e+000  -5.784324600985e-06 0.000000000000e+000  5.784464582062e-06 0.000000000000e+000  -5.784464584559e-06 0.000000000000e+000  
-5.768885914661e-06 0.000000000000e+000  5.768885914674e-06 0.000000000000e+000  -5.771414065010e-06 0.000000000000e+000  5.771414065274e-06 0.000000000000e+000  -5.768135031529e-06 0.000000000000e+000  5.768135028275e-06 0.000000000000e+000  -5.767758421441e-06 0.000000000000e+000  5.767758422336e-06 0.000000000000e+000  9.945519016224e-01 0.000000000000e+000  5.448098277578e-03 0.000000000000e+000  -5.768884681733e-06 0.000000000000e+000  5.768884682009e-06 0.000000000000e+000  -5.767956441017e-06 0.000000000000e+000  5.767956441609e-06 0.000000000000e+000  -5.768016763870e-06 0.000000000000e+000  5.768016774088e-06 0.000000000000e+000  -5.784324600911e-06 0.000000000000e+000  5.784324602253e-06 0.000000000000e+000  -5.784464584558e-06 0.000000000000e+000  5.784464582055e-06 0.000000000000e+000  
5.768858376316e-06 0.000000000000e+000  -5.768858376274e-06 0.000000000000e+000  5.771386516224e-06 0.000000000000e+000  -5.771386513412e-06 0.000000000000e+000  5.768107494455e-06 0.000000000000e+000  -5.768107496279e-06 0.000000000000e+000  5.767730889136e-06 0.000000000000e+000  -5.767730889013e-06 0.000000000000e+000  5.768884681982e-06 0.000000000000e+000  -5.768884681733e-06 0.000000000000e+000  5.452845817359e-03 0.000000000000e+000  9.945471540826e-01 0.000000000000e+000  5.767928907816e-06 0.000000000000e+000  -5.767928907220e-06 0.000000000000e+000  5.767989244665e-06 0.000000000000e+000  -5.767989225916e-06 0.000000000000e+000  5.784296990677e-06 0.000000000000e+000  -5.784296988702e-06 0.000000000000e+000  5.784436971575e-06 0.000000000000e+000  -5.784436969793e-06 0.000000000000e+000  
