1.936888253911e-03 0.000000000000e+000  9.980631116462e-01 0.000000000000e+000  5.740906443859e-06 0.000000000000e+000  -5.740906443859e-06 0.000000000000e+000  5.740660142206e-06 0.000000000000e+000  -5.740660142206e-06 0.000000000000e+000  5.740585714431e-06 0.000000000000e+000  -5.740585714431e-06 0.000000000000e+000  5.740706397801e-06 0.000000000000e+000  -5.740706397801e-06 0.000000000000e+000  5.740698809649e-06 0.000000000000e+000  -5.740698809649e-06 0.000000000000e+000  5.740650385375e-06 0.000000000000e+000  -5.740650385375e-06 0.000000000000e+000  5.740667302785e-06 0.000000000000e+000  -5.740667302785e-06 0.000000000000e+000  5.744346538927e-06 0.000000000000e+000  -5.744346538927e-06 0.000000000000e+000  5.744413021363e-06 0.000000000000e+000  -5.744413088077e-06 0.000000000000e+000  
9.980631116462e-01 0.000000000000e+000  1.936888253910e-03 0.000000000000e+000  -5.740906443859e-06 0.000000000000e+000  5.740906443859e-06 0.000000000000e+000  -5.740660142206e-06 0.000000000000e+000  5.740660142206e-06 0.000000000000e+000  -5.740585714431e-06 0.000000000000e+000  5.740585714431e-06 0.000000000000e+000  -5.740706397801e-06 0.000000000000e+000  5.740706397801e-06 0.000000000000e+000  -5.740698809649e-06 0.000000000000e+000  5.740698809649e-06 0.000000000000e+000  -5.740650385375e-06 0.000000000000e+000  5.740650385375e-06 0.000000000000e+000  -5.740667302785e-06 0.000000000000e+000  5.740667302785e-06 0.000000000000e+000  -5.744346538927e-06 0.000000000000e+000  5.744346538927e-06 0.000000000000e+000  -5.744413088043e-06 0.000000000000e+000  5.744413021649e-06 0.000000000000e+000  
5.740906443859e-06 0.000000000000e+000  -5.740906443859e-06 0.000000000000e+000  1.900832367552e-03 0.000000000000e+000  9.980991675325e-01 0.000000000000e+000  5.740867529672e-06 0.000000000000e+000  -5.740867529672e-06 0.000000000000e+000  5.740793099209e-06 0.000000000000e+000  -5.740793099209e-06 0.000000000000e+000  5.740913786939e-06 0.000000000000e+000  -5.740913786939e-06 0.000000000000e+000  5.740906198512e-06 0.000000000000e+000  -5.740906198512e-06 0.000000000000e+000  5.740857772489e-06 0.000000000000e+000  -5.740857772489e-06 0.000000000000e+000  5.740874690510e-06 0.000000000000e+000  -5.740874690510e-06 0.000000000000e+000  5.744554059569e-06 0.000000000000e+000  -5.744554059569e-06 0.000000000000e+000  5.744620565761e-06 0.000000000000e+000  -5.744620589861e-06 0.000000000000e+000  
-5.740906443859e-06 0.000000000000e+000  5.740906443859e-06 0.000000000000e+000  9.980991675325e-01 0.000000000000e+000  1.900832367552e-03 0.000000000000e+000  -5.740867529672e-06 0.000000000000e+000  5.740867529672e-06 0.000000000000e+000  -5.740793099209e-06 0.000000000000e+000  5.740793099209e-06 0.000000000000e+000  -5.740913786939e-06 0.000000000000e+000  5.740913786939e-06 0.000000000000e+000  -5.740906198512e-06 0.000000000000e+000  5.740906198512e-06 0.000000000000e+000  -5.740857772489e-06 0.000000000000e+000  5.740857772489e-06 0.000000000000e+000  -5.740874690510e-06 0.000000000000e+000  5.740874690510e-06 0.000000000000e+000  -5.744554059569e-06 0.000000000000e+000  5.744554059569e-06 0.000000000000e+000  -5.744620589934e-06 0.000000000000e+000  5.744620565830e-06 0.000000000000e+000  
5.740660142206e-06 0.000000000000e+000  -5.740660142206e-06 0.000000000000e+000  5.740867529672e-06 0.000000000000e+000  -5.740867529672e-06 0.000000000000e+000  1.943653490611e-03 0.000000000000e+000  9.980563464095e-01 0.000000000000e+000  5.740546802419e-06 0.000000000000e+000  -5.740546802419e-06 0.000000000000e+000  5.740667484970e-06 0.000000000000e+000  -5.740667484970e-06 0.000000000000e+000  5.740659896869e-06 0.000000000000e+000  -5.740659896869e-06 0.000000000000e+000  5.740611472924e-06 0.000000000000e+000  -5.740611472924e-06 0.000000000000e+000  5.740628390219e-06 0.000000000000e+000  -5.740628390219e-06 0.000000000000e+000  5.744307601422e-06 0.000000000000e+000  -5.744307601422e-06 0.000000000000e+000  5.744374079506e-06 0.000000000000e+000  -5.744374154065e-06 0.000000000000e+000  
-5.740660142206e-06 0.000000000000e+000  5.740660142206e-06 0.000000000000e+000  -5.740867529672e-06 0.000000000000e+000  5.740867529672e-06 0.000000000000e+000  9.980563464095e-01 0.000000000000e+000  1.943653490611e-03 0.000000000000e+000  -5.740546802419e-06 0.000000000000e+000  5.740546802419e-06 0.000000000000e+000  -5.740667484970e-06 0.000000000000e+000  5.740667484970e-06 0.000000000000e+000  -5.740659896869e-06 0.000000000000e+000  5.740659896869e-06 0.000000000000e+000  -5.740611472924e-06 0.000000000000e+000  5.740611472924e-06 0.000000000000e+000  -5.740628390219e-06 0.000000000000e+000  5.740628390219e-06 0.000000000000e+000  -5.744307601422e-06 0.000000000000e+000  5.744307601422e-06 0.000000000000e+000  -5.744374154135e-06 0.000000000000e+000  5.744374079587e-06 0.000000000000e+000  
5.740585714431e-06 0.000000000000e+000  -5.740585714431e-06 0.000000000000e+000  5.740793099209e-06 0.000000000000e+000  -5.740793099209e-06 0.000000000000e+000  5.740546802419e-06 0.000000000000e+000  -5.740546802419e-06 0.000000000000e+000  1.956593236772e-03 0.000000000000e+000  9.980434066633e-01 0.000000000000e+000  5.740593057101e-06 0.000000000000e+000  -5.740593057101e-06 0.000000000000e+000  5.740585469098e-06 0.000000000000e+000  -5.740585469098e-06 0.000000000000e+000  5.740537045781e-06 0.000000000000e+000  -5.740537045781e-06 0.000000000000e+000  5.740553962856e-06 0.000000000000e+000  -5.740553962856e-06 0.000000000000e+000  5.744233126359e-06 0.000000000000e+000  -5.744233126359e-06 0.000000000000e+000  5.744299628722e-06 0.000000000000e+000  -5.744299653085e-06 0.000000000000e+000  
-5.740585714431e-06 0.000000000000e+000  5.740585714431e-06 0.000000000000e+000  -5.740793099209e-06 0.000000000000e+000  5.740793099209e-06 0.000000000000e+000  -5.740546802419e-06 0.000000000000e+000  5.740546802419e-06 0.000000000000e+000  9.980434066633e-01 0.000000000000e+000  1.956593236772e-03 0.000000000000e+000  -5.740593057101e-06 0.000000000000e+000  5.740593057101e-06 0.000000000000e+000  -5.740585469098e-06 0.000000000000e+000  5.740585469098e-06 0.000000000000e+000  -5.740537045781e-06 0.000000000000e+000  5.740537045781e-06 0.000000000000e+000  -5.740553962856e-06 0.000000000000e+000  5.740553962856e-06 0.000000000000e+000  -5.744233126359e-06 0.000000000000e+000  5.744233126359e-06 0.000000000000e+000  -5.744299653050e-06 0.000000000000e+000  5.744299628844e-06 0.000000000000e+000  
5.740706397801e-06 0.000000000000e+000  -5.740706397801e-06 0.000000000000e+000  5.740913786939e-06 0.000000000000e+000  -5.740913786939e-06 0.000000000000e+000  5.740667484970e-06 0.000000000000e+000  -5.740667484970e-06 0.000000000000e+000  5.740593057101e-06 0.000000000000e+000  -5.740593057101e-06 0.000000000000e+000  1.935611658469e-03 0.000000000000e+000  9.980643882416e-01 0.000000000000e+000  5.740706152463e-06 0.000000000000e+000  -5.740706152463e-06 0.000000000000e+000  5.740657728128e-06 0.000000000000e+000  -5.740657728128e-06 0.000000000000e+000  5.740674645558e-06 0.000000000000e+000  -5.740674645558e-06 0.000000000000e+000  5.744353886407e-06 0.000000000000e+000  -5.744353886407e-06 0.000000000000e+000  5.744420390799e-06 0.000000000000e+000  -5.744420413857e-06 0.000000000000e+000  
-5.740706397801e-06 0.000000000000e+000  5.740706397801e-06 0.000000000000e+000  -5.740913786939e-06 0.000000000000e+000  5.740913786939e-06 0.000000000000e+000  -5.740667484970e-06 0.000000000000e+000  5.740667484970e-06 0.000000000000e+000  -5.740593057101e-06 0.000000000000e+000  5.740593057101e-06 0.000000000000e+000  9.980643882416e-01 0.000000000000e+000  1.935611658469e-03 0.000000000000e+000  -5.740706152463e-06 0.000000000000e+000  5.740706152463e-06 0.000000000000e+000  -5.740657728128e-06 0.000000000000e+000  5.740657728128e-06 0.000000000000e+000  -5.740674645558e-06 0.000000000000e+000  5.740674645558e-06 0.000000000000e+000  -5.744353886407e-06 0.000000000000e+000  5.744353886407e-06 0.000000000000e+000  -5.744420413876e-06 0.000000000000e+000  5.744420390975e-06 0.000000000000e+000  
5.740698809649e-06 0.000000000000e+000  -5.740698809649e-06 0.000000000000e+000  5.740906198512e-06 0.000000000000e+000  -5.740906198512e-06 0.000000000000e+000  5.740659896869e-06 0.000000000000e+000  -5.740659896869e-06 0.000000000000e+000  5.740585469098e-06 0.000000000000e+000  -5.740585469098e-06 0.000000000000e+000  5.740706152463e-06 0.000000000000e+000  -5.740706152463e-06 0.000000000000e+000  1.936930907500e-03 0.000000000000e+000  9.980630689925e-01 0.000000000000e+000  5.740650140039e-06 0.000000000000e+000  -5.740650140039e-06 0.000000000000e+000  5.740667057448e-06 0.000000000000e+000  -5.740667057448e-06 0.000000000000e+000  5.744346293433e-06 0.000000000000e+000  -5.744346293433e-06 0.000000000000e+000  5.744412800591e-06 0.000000000000e+000  -5.744412818024e-06 0.000000000000e+000  
