4.137631657012e-03 0.000000000000e+000  9.958623682430e-01 0.000000000000e+000  5.714897120374e-06 0.000000000000e+000  -5.714897120348e-06 0.000000000000e+000  5.712772605346e-06 0.000000000000e+000  -5.712772605357e-06 0.000000000000e+000  5.712519249097e-06 0.000000000000e+000  -5.712519267998e-06 0.000000000000e+000  5.713270861024e-06 0.000000000000e+000  -5.713270861022e-06 0.000000000000e+000  5.713251975108e-06 0.000000000000e+000  -5.713251975136e-06 0.000000000000e+000  5.712663596576e-06 0.000000000000e+000  -5.712663596578e-06 0.000000000000e+000  5.712701523067e-06 0.000000000000e+000  -5.712701523049e-06 0.000000000000e+000  5.724176434897e-06 0.000000000000e+000  -5.724176434869e-06 0.000000000000e+000  5.724286283462e-06 0.000000000000e+000  -5.724286283453e-06 0.000000000000e+000  
9.958623682430e-01 0.000000000000e+000  4.137631657012e-03 0.000000000000e+000  -5.714897120330e-06 0.000000000000e+000  5.714897120319e-06 0.000000000000e+000  -5.712772605405e-06 0.000000000000e+000  5.712772605396e-06 0.000000000000e+000  -5.712519267960e-06 0.000000000000e+000  5.712519249208e-06 0.000000000000e+000  -5.713270860971e-06 0.000000000000e+000  5.713270860954e-06 0.000000000000e+000  -5.713251975067e-06 0.000000000000e+000  5.713251975139e-06 0.000000000000e+000  -5.712663596617e-06 0.000000000000e+000  5.712663596611e-06 0.000000000000e+000  -5.712701523019e-06 0.000000000000e+000  5.712701522984e-06 0.000000000000e+000  -5.724176434811e-06 0.000000000000e+000  5.724176434838e-06 0.000000000000e+000  -5.724286283413e-06 0.000000000000e+000  5.724286283482e-06 0.000000000000e+000  
5.714897120374e-06 0.000000000000e+000  -5.714897120330e-06 0.000000000000e+000  3.851306788425e-03 0.000000000000e+000  9.961486931116e-01 0.000000000000e+000  5.714415119283e-06 0.000000000000e+000  -5.714415120187e-06 0.000000000000e+000  5.714161704167e-06 0.000000000000e+000  -5.714161695592e-06 0.000000000000e+000  5.714913517856e-06 0.000000000000e+000  -5.714913519524e-06 0.000000000000e+000  5.714894629006e-06 0.000000000000e+000  -5.714894625480e-06 0.000000000000e+000  5.714306078771e-06 0.000000000000e+000  -5.714306080393e-06 0.000000000000e+000  5.714344016849e-06 0.000000000000e+000  -5.714344016882e-06 0.000000000000e+000  5.725822226851e-06 0.000000000000e+000  -5.725822229584e-06 0.000000000000e+000  5.725932108158e-06 0.000000000000e+000  -5.725932108530e-06 0.000000000000e+000  
-5.714897120348e-06 0.000000000000e+000  5.714897120319e-06 0.000000000000e+000  9.961486931116e-01 0.000000000000e+000  3.851306788424e-03 0.000000000000e+000  -5.714415120018e-06 0.000000000000e+000  5.714415119019e-06 0.000000000000e+000  -5.714161695382e-06 0.000000000000e+000  5.714161704179e-06 0.000000000000e+000  -5.714913519687e-06 0.000000000000e+000  5.714913517830e-06 0.000000000000e+000  -5.714894625448e-06 0.000000000000e+000  5.714894628810e-06 0.000000000000e+000  -5.714306080287e-06 0.000000000000e+000  5.714306078856e-06 0.000000000000e+000  -5.714344016881e-06 0.000000000000e+000  5.714344016871e-06 0.000000000000e+000  -5.725822229518e-06 0.000000000000e+000  5.725822226803e-06 0.000000000000e+000  -5.725932108560e-06 0.000000000000e+000  5.725932108018e-06 0.000000000000e+000  
5.712772605346e-06 0.000000000000e+000  -5.712772605405e-06 0.000000000000e+000  5.714415119283e-06 0.000000000000e+000  -5.714415120018e-06 0.000000000000e+000  4.221623296112e-03 0.000000000000e+000  9.957783766039e-01 0.000000000000e+000  5.712037461587e-06 0.000000000000e+000  -5.712037455460e-06 0.000000000000e+000  5.712788997081e-06 0.000000000000e+000  -5.712788997682e-06 0.000000000000e+000  5.712770113499e-06 0.000000000000e+000  -5.712770112939e-06 0.000000000000e+000  5.712181784242e-06 0.000000000000e+000  -5.712181783937e-06 0.000000000000e+000  5.712219707672e-06 0.000000000000e+000  -5.712219707472e-06 0.000000000000e+000  5.723693650602e-06 0.000000000000e+000  -5.723693652361e-06 0.000000000000e+000  5.723803490883e-06 0.000000000000e+000  -5.723803490893e-06 0.000000000000e+000  
-5.712772605357e-06 0.000000000000e+000  5.712772605396e-06 0.000000000000e+000  -5.714415120187e-06 0.000000000000e+000  5.714415119019e-06 0.000000000000e+000  9.957783766039e-01 0.000000000000e+000  4.221623296112e-03 0.000000000000e+000  -5.712037455273e-06 0.000000000000e+000  5.712037461685e-06 0.000000000000e+000  -5.712788997958e-06 0.000000000000e+000  5.712788997206e-06 0.000000000000e+000  -5.712770112861e-06 0.000000000000e+000  5.712770113491e-06 0.000000000000e+000  -5.712181783772e-06 0.000000000000e+000  5.712181784334e-06 0.000000000000e+000  -5.712219707379e-06 0.000000000000e+000  5.712219707535e-06 0.000000000000e+000  -5.723693652321e-06 0.000000000000e+000  5.723693650660e-06 0.000000000000e+000  -5.723803490788e-06 0.000000000000e+000  5.723803490895e-06 0.000000000000e+000  
5.712519249097e-06 0.000000000000e+000  -5.712519267960e-06 0.000000000000e+000  5.714161704167e-06 0.000000000000e+000  -5.714161695382e-06 0.000000000000e+000  5.712037461587e-06 0.000000000000e+000  -5.712037455273e-06 0.000000000000e+000  4.265783296683e-03 0.000000000000e+000  9.957342167028e-01 0.000000000000e+000  5.712535653114e-06 0.000000000000e+000  -5.712535647157e-06 0.000000000000e+000  5.712516764202e-06 0.000000000000e+000  -5.712516768674e-06 0.000000000000e+000  5.711928470847e-06 0.000000000000e+000  -5.711928457289e-06 0.000000000000e+000  5.711966375020e-06 0.000000000000e+000  -5.711966396080e-06 0.000000000000e+000  5.723439800734e-06 0.000000000000e+000  -5.723439840275e-06 0.000000000000e+000  5.723549643678e-06 0.000000000000e+000  -5.723549666045e-06 0.000000000000e+000  
-5.712519267998e-06 0.000000000000e+000  5.712519249208e-06 0.000000000000e+000  -5.714161695592e-06 0.000000000000e+000  5.714161704179e-06 0.000000000000e+000  -5.712037455460e-06 0.000000000000e+000  5.712037461685e-06 0.000000000000e+000  9.957342167028e-01 0.000000000000e+000  4.265783295816e-03 0.000000000000e+000  -5.712535647392e-06 0.000000000000e+000  5.712535653072e-06 0.000000000000e+000  -5.712516768761e-06 0.000000000000e+000  5.712516764220e-06 0.000000000000e+000  -5.711928457303e-06 0.000000000000e+000  5.711928470778e-06 0.000000000000e+000  -5.711966395802e-06 0.000000000000e+000  5.711966375332e-06 0.000000000000e+000  -5.723439840261e-06 0.000000000000e+000  5.723439800743e-06 0.000000000000e+000  -5.723549666224e-06 0.000000000000e+000  5.723549644035e-06 0.000000000000e+000  
5.713270861024e-06 0.000000000000e+000  -5.713270860971e-06 0.000000000000e+000  5.714913517856e-06 0.000000000000e+000  -5.714913519687e-06 0.000000000000e+000  5.712788997081e-06 0.000000000000e+000  -5.712788997958e-06 0.000000000000e+000  5.712535653114e-06 0.000000000000e+000  -5.712535647392e-06 0.000000000000e+000  4.134774139088e-03 0.000000000000e+000  9.958652257609e-01 0.000000000000e+000  5.713268368529e-06 0.000000000000e+000  -5.713268368378e-06 0.000000000000e+000  5.712679988743e-06 0.000000000000e+000  -5.712679988313e-06 0.000000000000e+000  5.712717915169e-06 0.000000000000e+000  -5.712717915050e-06 0.000000000000e+000  5.724192858534e-06 0.000000000000e+000  -5.724192861263e-06 0.000000000000e+000  5.724302708766e-06 0.000000000000e+000  -5.724302708797e-06 0.000000000000e+000  
-5.713270861022e-06 0.000000000000e+000  5.713270860954e-06 0.000000000000e+000  -5.714913519524e-06 0.000000000000e+000  5.714913517830e-06 0.000000000000e+000  -5.712788997682e-06 0.000000000000e+000  5.712788997206e-06 0.000000000000e+000  -5.712535647157e-06 0.000000000000e+000  5.712535653072e-06 0.000000000000e+000  9.958652257609e-01 0.000000000000e+000  4.134774139088e-03 0.000000000000e+000  -5.713268368456e-06 0.000000000000e+000  5.713268368458e-06 0.000000000000e+000  -5.712679988406e-06 0.000000000000e+000  5.712679988863e-06 0.000000000000e+000  -5.712717915046e-06 0.000000000000e+000  5.712717915283e-06 0.000000000000e+000  -5.724192861178e-06 0.000000000000e+000  5.724192858469e-06 0.000000000000e+000  -5.724302708738e-06 0.000000000000e+000  5.724302708707e-06 0.000000000000e+000  
5.713251975108e-06 0.000000000000e+000  -5.713251975067e-06 0.000000000000e+000  5.714894629006e-06 0.000000000000e+000  -5.714894625448e-06 0.000000000000e+000  5.712770113499e-06 0.000000000000e+000  -5.712770112861e-06 0.000000000000e+000  5.712516764202e-06 0.000000000000e+000  -5.712516768761e-06 0.000000000000e+000  5.713268368529e-06 0.000000000000e+000  -5.713268368456e-06 0.000000000000e+000  4.138066107806e-03 0.000000000000e+000  9.958619337922e-01 0.000000000000e+000  5.712661103355e-06 0.000000000000e+000  -5.712661105532e-06 0.000000000000e+000  5.712699030505e-06 0.000000000000e+000  -5.712699031260e-06 0.000000000000e+000  5.724173937967e-06 0.000000000000e+000  -5.724173937425e-06 0.000000000000e+000  5.724283785184e-06 0.000000000000e+000  -5.724283787228e-06 0.000000000000e+000  
