5.450625084974e-03 0.000000000000e+000  9.945493748150e-01 0.000000000000e+000  5.774565155707e-06 0.000000000000e+000  -5.774565155707e-06 0.000000000000e+000  5.771297800657e-06 0.000000000000e+000  -5.771297800657e-06 0.000000000000e+000  5.770921428840e-06 0.000000000000e+000  -5.770921428840e-06 0.000000000000e+000  5.772078066692e-06 0.000000000000e+000  -5.772078066692e-06 0.000000000000e+000  5.772050310819e-06 0.000000000000e+000  -5.772050310819e-06 0.000000000000e+000  5.771116215739e-06 0.000000000000e+000  -5.771116215739e-06 0.000000000000e+000  5.771179559961e-06 0.000000000000e+000  -5.771179559961e-06 0.000000000000e+000  5.787504108425e-06 0.000000000000e+000  -5.787504108425e-06 0.000000000000e+000  5.787637058266e-06 0.000000000000e+000  -5.787637058266e-06 0.000000000000e+000  
9.945493748150e-01 0.000000000000e+000  5.450625084974e-03 0.000000000000e+000  -5.774565155707e-06 0.000000000000e+000  5.774565155707e-06 0.000000000000e+000  -5.771297800658e-06 0.000000000000e+000  5.771297800658e-06 0.000000000000e+000  -5.770921428840e-06 0.000000000000e+000  5.770921428840e-06 0.000000000000e+000  -5.772078066692e-06 0.000000000000e+000  5.772078066692e-06 0.000000000000e+000  -5.772050310819e-06 0.000000000000e+000  5.772050310819e-06 0.000000000000e+000  -5.771116215739e-06 0.000000000000e+000  5.771116215739e-06 0.000000000000e+000  -5.771179559961e-06 0.000000000000e+000  5.771179559961e-06 0.000000000000e+000  -5.787504108425e-06 0.000000000000e+000  5.787504108425e-06 0.000000000000e+000  -5.787637058266e-06 0.000000000000e+000  5.787637058266e-06 0.000000000000e+000  
5.774565155707e-06 0.000000000000e+000  -5.774565155707e-06 0.000000000000e+000  5.015584020405e-03 0.000000000000e+000  9.949844158796e-01 0.000000000000e+000  5.773822327022e-06 0.000000000000e+000  -5.773822327022e-06 0.000000000000e+000  5.773445790569e-06 0.000000000000e+000  -5.773445790569e-06 0.000000000000e+000  5.774602934366e-06 0.000000000000e+000  -5.774602934366e-06 0.000000000000e+000  5.774575166352e-06 0.000000000000e+000  -5.774575166352e-06 0.000000000000e+000  5.773640662673e-06 0.000000000000e+000  -5.773640662673e-06 0.000000000000e+000  5.773704034604e-06 0.000000000000e+000  -5.773704034604e-06 0.000000000000e+000  5.790035723880e-06 0.000000000000e+000  -5.790035723880e-06 0.000000000000e+000  5.790168731876e-06 0.000000000000e+000  -5.790168731876e-06 0.000000000000e+000  
-5.774565155707e-06 0.000000000000e+000  5.774565155707e-06 0.000000000000e+000  9.949844158796e-01 0.000000000000e+000  5.015584020405e-03 0.000000000000e+000  -5.773822327022e-06 0.000000000000e+000  5.773822327022e-06 0.000000000000e+000  -5.773445790569e-06 0.000000000000e+000  5.773445790569e-06 0.000000000000e+000  -5.774602934366e-06 0.000000000000e+000  5.774602934366e-06 0.000000000000e+000  -5.774575166352e-06 0.000000000000e+000  5.774575166352e-06 0.000000000000e+000  -5.773640662673e-06 0.000000000000e+000  5.773640662673e-06 0.000000000000e+000  -5.773704034604e-06 0.000000000000e+000  5.773704034604e-06 0.000000000000e+000  -5.790035723880e-06 0.000000000000e+000  5.790035723880e-06 0.000000000000e+000  -5.790168731876e-06 0.000000000000e+000  5.790168731876e-06 0.000000000000e+000  
5.771297800657e-06 0.000000000000e+000  -5.771297800658e-06 0.000000000000e+000  5.773822327022e-06 0.000000000000e+000  -5.773822327022e-06 0.000000000000e+000  5.578561214768e-03 0.000000000000e+000  9.944214386852e-01 0.000000000000e+000  5.770179068877e-06 0.000000000000e+000  -5.770179068877e-06 0.000000000000e+000  5.771335557941e-06 0.000000000000e+000  -5.771335557941e-06 0.000000000000e+000  5.771307805638e-06 0.000000000000e+000  -5.771307805638e-06 0.000000000000e+000  5.770373830719e-06 0.000000000000e+000  -5.770373830719e-06 0.000000000000e+000  5.770437166793e-06 0.000000000000e+000  -5.770437166793e-06 0.000000000000e+000  5.786759615299e-06 0.000000000000e+000  -5.786759615299e-06 0.000000000000e+000  5.786892548037e-06 0.000000000000e+000  -5.786892548037e-06 0.000000000000e+000  
-5.771297800657e-06 0.000000000000e+000  5.771297800658e-06 0.000000000000e+000  -5.773822327022e-06 0.000000000000e+000  5.773822327022e-06 0.000000000000e+000  9.944214386852e-01 0.000000000000e+000  5.578561214768e-03 0.000000000000e+000  -5.770179068877e-06 0.000000000000e+000  5.770179068877e-06 0.000000000000e+000  -5.771335557941e-06 0.000000000000e+000  5.771335557941e-06 0.000000000000e+000  -5.771307805638e-06 0.000000000000e+000  5.771307805638e-06 0.000000000000e+000  -5.770373830719e-06 0.000000000000e+000  5.770373830719e-06 0.000000000000e+000  -5.770437166793e-06 0.000000000000e+000  5.770437166793e-06 0.000000000000e+000  -5.786759615299e-06 0.000000000000e+000  5.786759615299e-06 0.000000000000e+000  -5.786892548037e-06 0.000000000000e+000  5.786892548037e-06 0.000000000000e+000  
5.770921428840e-06 0.000000000000e+000  -5.770921428840e-06 0.000000000000e+000  5.773445790569e-06 0.000000000000e+000  -5.773445790569e-06 0.000000000000e+000  5.770179068877e-06 0.000000000000e+000  -5.770179068877e-06 0.000000000000e+000  5.643411452107e-03 0.000000000000e+000  9.943565884479e-01 0.000000000000e+000  5.770959183661e-06 0.000000000000e+000  -5.770959183662e-06 0.000000000000e+000  5.770931433169e-06 0.000000000000e+000  -5.770931433169e-06 0.000000000000e+000  5.769997519158e-06 0.000000000000e+000  -5.769997519158e-06 0.000000000000e+000  5.770060851101e-06 0.000000000000e+000  -5.770060851101e-06 0.000000000000e+000  5.786382235149e-06 0.000000000000e+000  -5.786382235149e-06 0.000000000000e+000  5.786515159217e-06 0.000000000000e+000  -5.786515159217e-06 0.000000000000e+000  
-5.770921428840e-06 0.000000000000e+000  5.770921428840e-06 0.000000000000e+000  -5.773445790569e-06 0.000000000000e+000  5.773445790569e-06 0.000000000000e+000  -5.770179068877e-06 0.000000000000e+000  5.770179068877e-06 0.000000000000e+000  9.943565884479e-01 0.000000000000e+000  5.643411452107e-03 0.000000000000e+000  -5.770959183661e-06 0.000000000000e+000  5.770959183662e-06 0.000000000000e+000  -5.770931433169e-06 0.000000000000e+000  5.770931433169e-06 0.000000000000e+000  -5.769997519158e-06 0.000000000000e+000  5.769997519158e-06 0.000000000000e+000  -5.770060851101e-06 0.000000000000e+000  5.770060851101e-06 0.000000000000e+000  -5.786382235149e-06 0.000000000000e+000  5.786382235149e-06 0.000000000000e+000  -5.786515159217e-06 0.000000000000e+000  5.786515159217e-06 0.000000000000e+000  
5.772078066692e-06 0.000000000000e+000  -5.772078066692e-06 0.000000000000e+000  5.774602934366e-06 0.000000000000e+000  -5.774602934366e-06 0.000000000000e+000  5.771335557941e-06 0.000000000000e+000  -5.771335557941e-06 0.000000000000e+000  5.770959183661e-06 0.000000000000e+000  -5.770959183661e-06 0.000000000000e+000  5.444118530307e-03 0.000000000000e+000  9.945558813697e-01 0.000000000000e+000  5.772088073025e-06 0.000000000000e+000  -5.772088073025e-06 0.000000000000e+000  5.771153971835e-06 0.000000000000e+000  -5.771153971835e-06 0.000000000000e+000  5.771217316471e-06 0.000000000000e+000  -5.771217316471e-06 0.000000000000e+000  5.787541971734e-06 0.000000000000e+000  -5.787541971735e-06 0.000000000000e+000  5.787674922445e-06 0.000000000000e+000  -5.787674922445e-06 0.000000000000e+000  
-5.772078066692e-06 0.000000000000e+000  5.772078066692e-06 0.000000000000e+000  -5.774602934366e-06 0.000000000000e+000  5.774602934366e-06 0.000000000000e+000  -5.771335557941e-06 0.000000000000e+000  5.771335557941e-06 0.000000000000e+000  -5.770959183662e-06 0.000000000000e+000  5.770959183662e-06 0.000000000000e+000  9.945558813697e-01 0.000000000000e+000  5.444118530307e-03 0.000000000000e+000  -5.772088073025e-06 0.000000000000e+000  5.772088073025e-06 0.000000000000e+000  -5.771153971835e-06 0.000000000000e+000  5.771153971835e-06 0.000000000000e+000  -5.771217316471e-06 0.000000000000e+000  5.771217316471e-06 0.000000000000e+000  -5.787541971734e-06 0.000000000000e+000  5.787541971735e-06 0.000000000000e+000  -5.787674922445e-06 0.000000000000e+000  5.787674922445e-06 0.000000000000e+000  
5.772050310819e-06 0.000000000000e+000  -5.772050310819e-06 0.000000000000e+000  5.774575166352e-06 0.000000000000e+000  -5.774575166352e-06 0.000000000000e+000  5.771307805638e-06 0.000000000000e+000  -5.771307805638e-06 0.000000000000e+000  5.770931433169e-06 0.000000000000e+000  -5.770931433169e-06 0.000000000000e+000  5.772088073025e-06 0.000000000000e+000  -5.772088073025e-06 0.000000000000e+000  5.448900968503e-03 0.000000000000e+000  9.945510989315e-01 0.000000000000e+000  5.771126220405e-06 0.000000000000e+000  -5.771126220405e-06 0.000000000000e+000  5.771189564737e-06 0.000000000000e+000  -5.771189564737e-06 0.000000000000e+000  5.787514141501e-06 0.000000000000e+000  -5.787514141501e-06 0.000000000000e+000  5.787647091572e-06 0.000000000000e+000  -5.787647091572e-06 0.000000000000e+000  
